Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,41699,860,802,781,810,800,771,772,808,805,902,957,930,881,832,874,824,805,826,791,806,823,823,857,878,862,844,781,667,718,936,937,938,929,903,856,779,724,781,706,797,868,802,760,647,699,609,728,798,638,684,589,701,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
TOTAL CAUSAS SISTEMA RESPIRATORIO,9068,118,124,88,108,91,110,115,100,97,152,180,193,192,178,184,172,232,196,204,214,247,237,269,247,284,267,248,216,224,277,311,276,293,246,209,164,167,206,173,134,212,167,99,66,91,64,122,122,92,111,85,94,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
IRA Alta (J00-J06),3118,34,41,29,41,27,37,41,37,34,72,65,69,66,65,43,47,90,81,82,98,107,111,103,98,63,125,73,61,77,61,101,103,87,67,80,44,46,67,84,41,69,47,28,15,37,28,48,38,28,33,20,29,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
Influenza (J09-J11),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
Neumonía (J12-J18),662,7,9,5,5,8,2,8,7,5,7,11,8,13,8,9,7,13,8,14,9,22,16,21,20,36,18,21,13,16,31,29,22,33,23,18,10,13,23,18,7,8,13,9,1,7,3,9,7,7,10,6,9,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
Bronquitis/bronquiolitis aguda (J20-J21),765,7,5,15,7,4,7,5,5,3,2,12,8,18,12,34,16,17,18,24,12,26,23,22,35,33,27,35,32,12,15,22,22,24,25,15,11,13,11,5,15,14,13,5,11,6,9,7,6,5,8,14,13,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
Crisis obstructiva bronquial (J40-J46),1306,40,18,21,10,12,15,23,6,4,8,6,16,9,20,37,40,35,34,9,11,26,27,44,38,59,19,14,50,11,62,51,29,38,23,30,34,34,16,17,33,40,38,24,26,17,16,35,13,21,13,6,28,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3212,30,51,18,45,40,49,38,45,51,63,86,92,86,73,61,62,77,55,75,84,66,60,75,56,93,78,105,59,108,108,108,100,111,108,66,65,61,89,49,38,81,56,33,13,24,8,23,58,31,47,39,15,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
TOTAL CAUSAS SISTEMA CIRCULATORIO,1259,31,39,31,29,21,17,24,18,20,18,26,36,23,16,13,11,20,26,15,18,27,32,24,22,25,45,25,24,29,34,17,45,25,46,29,22,30,21,15,19,28,17,29,23,22,15,20,20,19,17,22,19,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
Infarto agudo miocardio,62,4,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,13,0,0,3,2,0,20,0,1,1,0,2,1,0,0,2,2,1,1,0,2,0,0,0,0,0,0,2016,Antofagasta,Hospital,Hospital Dr. Marcos Macuada (Tocopilla)
