Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,14911,275,253,224,212,237,227,214,215,188,224,241,235,278,237,297,264,264,329,302,253,321,335,376,333,355,317,353,294,303,349,381,381,388,319,343,333,284,267,276,298,317,296,250,272,252,246,326,341,245,273,271,247,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL CAUSAS SISTEMA RESPIRATORIO,3999,77,33,40,29,39,31,32,27,28,25,34,52,54,33,68,49,68,78,97,76,100,130,131,119,143,119,123,114,112,143,159,147,156,107,127,121,102,72,77,73,92,90,59,64,48,38,47,63,35,49,35,34,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
IRA Alta (J00-J06),2696,55,27,35,19,30,20,25,16,20,15,14,43,40,23,54,32,43,52,76,54,80,102,113,81,96,73,82,72,59,85,80,98,112,58,78,90,62,47,49,48,63,55,41,41,32,27,30,48,21,33,24,23,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Influenza (J09-J11),265,1,1,0,1,1,1,0,1,0,1,2,0,1,1,1,3,6,7,2,2,5,9,3,4,8,8,13,14,22,25,16,13,5,10,18,4,10,5,1,3,8,4,3,2,4,0,4,2,4,4,0,2,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Neumonía (J12-J18),96,0,1,1,2,0,1,0,1,0,0,1,0,2,1,2,0,1,1,1,3,1,2,1,4,0,28,1,2,3,1,3,4,1,4,0,6,3,0,1,2,1,0,1,2,2,2,0,0,0,2,1,0,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Bronquitis/bronquiolitis aguda (J20-J21),774,18,2,2,2,8,8,6,5,5,5,14,8,11,7,10,11,16,13,9,13,12,16,10,24,37,6,20,23,24,27,58,30,33,32,25,19,23,15,24,13,16,30,11,13,9,4,7,11,9,6,8,6,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Crisis obstructiva bronquial (J40-J46),82,3,0,0,3,0,0,0,2,2,1,1,0,0,0,1,2,1,2,4,3,1,0,2,4,2,3,4,2,1,1,2,0,1,3,2,0,1,3,0,4,3,0,1,3,1,4,4,1,0,1,1,2,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",86,0,2,2,2,0,1,1,2,1,3,2,1,0,1,0,1,1,3,5,1,1,1,2,2,0,1,3,1,3,4,0,2,4,0,4,2,3,2,2,3,1,1,2,3,0,1,2,1,1,3,1,1,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL CAUSAS SISTEMA CIRCULATORIO,112,1,1,2,1,2,2,1,0,0,0,1,3,4,4,0,2,2,2,1,3,0,5,4,3,3,2,2,3,3,0,3,1,1,5,5,1,1,3,1,1,2,4,4,2,3,1,2,3,3,1,5,3,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Infarto agudo miocardio,11,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Accidente vascular encefálico,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Crisis hipertensiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Arritmia grave,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,2,0,0,1,0,0,0,1,0,0,2,0,1,1,1,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Otras causas circulatorias,68,1,1,0,1,2,1,1,0,0,0,0,2,4,3,0,0,1,1,1,2,0,3,4,2,3,2,2,2,2,0,1,0,0,4,0,1,0,1,0,1,0,4,3,2,1,1,1,0,3,0,3,1,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1990,38,35,33,34,35,39,29,30,33,33,35,29,39,44,41,33,31,50,41,44,52,34,36,47,44,37,41,25,33,35,52,33,46,43,37,48,36,31,21,42,45,51,33,42,35,46,45,53,30,35,34,42,2016,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
