Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,12767,96,148,171,161,131,183,191,168,122,127,161,199,123,142,126,81,143,247,293,264,347,301,295,320,325,357,380,372,328,334,314,365,349,324,372,353,285,276,282,309,346,349,231,220,208,189,225,245,228,219,184,258,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
TOTAL CAUSAS SISTEMA RESPIRATORIO,6727,33,60,58,60,41,55,58,57,56,66,108,94,67,53,71,30,67,137,186,151,214,195,212,201,214,248,282,288,228,227,193,200,195,171,192,204,156,128,124,157,159,162,107,99,72,67,86,96,84,89,71,98,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
IRA Alta (J00-J06),4617,26,41,51,48,30,45,50,50,47,53,94,72,31,42,37,14,52,107,125,112,158,150,165,129,139,157,194,187,116,125,123,132,133,115,130,137,106,79,84,109,113,104,72,73,49,51,52,73,60,62,47,66,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Influenza (J09-J11),62,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,9,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,2,1,0,2,1,0,2,0,0,0,1,1,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Neumonía (J12-J18),200,0,1,0,1,1,1,0,0,1,1,2,2,2,0,0,0,2,1,1,0,0,0,0,0,4,9,11,2,16,18,10,9,6,7,8,11,11,6,4,5,5,11,8,1,6,0,3,3,3,0,4,3,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Bronquitis/bronquiolitis aguda (J20-J21),1658,4,17,7,9,9,8,8,6,8,11,10,20,22,9,8,7,8,26,58,38,53,43,42,65,64,74,74,92,92,77,52,53,51,41,49,47,37,36,30,35,36,38,25,15,15,14,21,11,18,22,15,28,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Crisis obstructiva bronquial (J40-J46),88,3,0,0,2,1,1,0,1,0,1,1,0,0,1,2,0,5,1,1,0,2,0,3,2,0,4,1,2,2,4,1,2,4,4,1,3,1,2,4,4,1,4,0,3,1,0,3,4,0,5,0,1,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",102,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,1,1,2,2,5,7,3,2,5,2,1,4,3,0,4,4,6,0,3,1,4,2,4,2,5,1,2,7,4,2,0,5,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
TOTAL CAUSAS SISTEMA CIRCULATORIO,65,3,0,0,1,2,0,0,5,0,1,0,0,0,0,1,0,1,2,1,1,0,1,0,1,3,0,0,1,1,2,4,1,3,4,3,3,0,1,0,1,3,1,0,1,2,0,0,2,2,1,5,1,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Infarto agudo miocardio,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Accidente vascular encefálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Crisis hipertensiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Arritmia grave,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Otras causas circulatorias,50,3,0,0,1,2,0,0,3,0,1,0,0,0,0,1,0,1,2,1,1,0,1,0,0,3,0,0,1,0,0,3,1,3,3,2,2,0,1,0,0,2,0,0,1,1,0,0,1,2,1,5,1,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,694,8,9,9,8,8,23,15,10,13,6,4,9,9,12,2,5,7,15,11,12,13,13,6,10,4,13,11,6,6,5,12,11,11,18,18,19,15,52,17,17,13,30,20,18,17,15,14,17,32,12,10,24,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Accidentes del tránsito,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,3,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
Otras causas externas,678,8,9,9,8,8,23,15,10,13,6,4,9,9,12,2,5,7,12,11,12,13,13,6,10,4,13,11,6,6,5,12,11,11,18,18,19,15,50,16,10,10,30,20,18,17,15,14,17,32,12,10,24,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
DIARREA AGUDA (A00-A09),408,6,2,12,7,5,6,5,10,2,2,7,4,1,2,4,12,8,0,3,0,0,6,11,4,9,4,4,1,0,5,7,9,8,13,16,9,19,12,9,6,12,14,15,12,18,10,15,15,9,10,10,18,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
TOTAL DEMÁS CAUSAS,4873,46,77,92,85,75,99,113,86,51,52,42,92,46,75,48,34,60,93,92,100,120,86,66,104,95,92,83,76,93,95,98,144,132,118,143,118,95,83,132,128,159,142,89,90,99,97,110,115,101,107,88,117,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Atacama,SAPU,Centro de Salud Familiar Baquedano
