Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,4598,67,57,68,75,72,65,62,79,65,43,93,65,100,75,70,90,85,69,74,57,95,85,115,108,115,91,95,102,127,70,108,127,142,133,78,101,92,152,114,93,84,71,70,82,115,118,93,75,91,99,59,67,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
TOTAL CAUSAS SISTEMA RESPIRATORIO,1072,16,11,10,10,11,2,4,15,6,7,12,10,18,6,14,13,17,7,15,14,21,18,32,32,43,22,33,39,42,21,18,52,68,59,23,27,22,42,21,16,19,18,9,12,23,31,19,13,17,16,11,15,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
IRA Alta (J00-J06),634,10,10,7,4,7,2,1,4,4,3,10,7,8,1,10,8,14,1,6,8,9,13,18,10,26,12,17,27,22,13,10,34,41,38,9,13,13,22,12,14,13,9,7,10,18,18,14,6,9,11,8,13,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Neumonía (J12-J18),37,1,0,0,0,0,0,1,0,1,1,1,2,0,2,1,0,1,0,2,1,1,0,1,2,0,1,0,1,2,1,0,1,1,1,0,1,1,3,0,0,0,1,0,0,0,0,2,1,1,0,1,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Bronquitis/bronquiolitis aguda (J20-J21),52,1,0,2,0,1,0,0,3,0,0,0,0,2,0,2,2,0,2,0,1,1,0,5,0,2,3,2,0,2,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Crisis obstructiva bronquial (J40-J46),12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",337,4,1,1,6,3,0,2,8,1,3,1,1,8,3,1,3,2,4,7,4,10,5,8,20,15,6,13,11,16,4,7,12,24,17,14,13,8,17,9,2,6,8,0,0,0,4,3,6,7,5,2,2,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
TOTAL CAUSAS SISTEMA CIRCULATORIO,42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,1,1,0,0,0,2,0,1,2,0,3,1,1,0,0,1,0,0,0,2,1,6,1,0,1,1,0,5,2,1,0,1,1,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Infarto agudo miocardio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Accidente vascular encefálico,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,6,1,0,1,0,0,0,1,1,0,1,1,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Crisis hipertensiva,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Arritmia grave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
Otras causas circulatorias,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2016,Coquimbo,Hospital,Hospital San Juan de Dios (Combarbalá)
