Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,101147,1916,1982,1987,1930,1822,2022,1931,1963,1949,1928,2070,2010,2119,2139,2022,2057,2189,2150,2296,2104,2059,2168,1913,2164,2154,1732,1952,1822,1764,1868,1835,1855,1777,1852,1982,1962,1854,1945,1854,1887,1852,1907,1940,1840,2003,1898,1837,1906,1842,1757,1669,1711,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
TOTAL CAUSAS SISTEMA RESPIRATORIO,9608,95,133,105,111,105,126,121,105,114,117,119,136,155,160,168,230,201,218,291,260,301,368,335,310,282,225,257,301,212,213,205,240,208,192,196,232,184,195,157,184,178,182,156,170,171,137,135,141,145,123,97,106,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
IRA Alta (J00-J06),3590,36,68,60,51,43,68,51,50,54,60,49,56,66,69,59,72,74,70,94,94,107,112,95,96,82,60,94,86,74,71,63,82,63,68,74,84,64,87,59,86,87,88,49,58,77,61,56,60,61,56,47,39,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Influenza (J09-J11),118,0,1,0,1,2,4,0,0,0,1,0,0,0,2,2,5,0,3,1,4,4,4,4,1,1,3,2,0,7,7,4,6,4,8,3,2,8,4,0,0,1,2,0,3,8,1,1,1,1,1,1,0,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Neumonía (J12-J18),1086,12,7,7,4,8,8,14,11,8,3,13,16,15,19,14,16,14,27,36,32,26,52,44,36,43,36,30,43,31,27,29,31,18,23,21,37,24,25,16,17,23,21,15,18,19,15,9,13,10,17,16,17,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Bronquitis/bronquiolitis aguda (J20-J21),1132,6,7,3,7,3,9,7,11,8,9,15,8,12,10,14,38,22,20,30,32,46,57,40,54,62,64,49,56,18,21,14,22,22,18,30,37,14,24,14,28,23,18,13,18,17,12,11,14,20,12,5,8,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Crisis obstructiva bronquial (J40-J46),3074,29,41,29,33,40,27,38,31,31,34,32,47,49,53,68,75,76,87,113,91,111,126,131,105,79,52,68,101,71,71,84,89,79,67,58,63,65,45,50,40,35,39,60,57,46,40,45,44,50,24,23,32,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",608,12,9,6,15,9,10,11,2,13,10,10,9,13,7,11,24,15,11,17,7,7,17,21,18,15,10,14,15,11,16,11,10,22,8,10,9,9,10,18,13,9,14,19,16,4,8,13,9,3,13,5,10,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
TOTAL CAUSAS SISTEMA CIRCULATORIO,2729,74,59,57,42,66,41,47,45,51,64,39,52,61,54,39,61,44,64,63,52,57,65,56,56,54,45,56,47,54,59,41,53,65,54,47,51,48,40,59,47,54,69,48,47,51,40,49,58,52,38,43,51,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Infarto agudo miocardio,156,3,4,3,0,1,0,1,2,1,6,2,2,6,6,1,7,1,5,9,4,2,1,3,1,1,1,4,2,3,1,2,3,8,3,2,5,5,0,4,4,8,3,6,2,1,5,3,2,2,0,4,1,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Accidente vascular encefálico,221,5,5,1,6,9,3,3,4,4,5,5,1,5,6,3,1,4,6,2,7,6,6,2,7,4,6,4,8,3,4,5,4,2,2,5,5,2,3,3,1,8,8,5,4,6,2,4,4,3,2,2,6,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Crisis hipertensiva,764,23,15,21,17,18,15,20,6,12,18,10,19,22,16,9,14,13,13,10,16,16,17,21,19,16,16,14,12,15,12,10,23,19,16,19,17,16,16,14,9,8,16,9,12,12,10,14,16,16,7,11,9,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Arritmia grave,251,5,7,6,6,5,5,4,6,6,3,3,4,6,5,2,4,4,4,5,3,2,10,5,7,3,3,11,3,5,3,4,3,5,9,3,5,5,0,2,6,3,7,4,6,4,7,4,11,6,5,1,6,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Otras causas circulatorias,1337,38,28,26,13,33,18,19,27,28,32,19,26,22,21,24,35,22,36,37,22,31,31,25,22,30,19,23,22,28,39,20,20,31,24,18,19,20,21,36,27,27,35,24,23,28,16,24,25,25,24,25,29,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,24004,414,411,400,432,442,442,418,407,433,470,527,493,560,556,499,493,559,521,569,535,535,503,408,512,506,438,442,298,334,373,448,414,395,482,477,512,472,384,440,496,438,507,430,458,494,531,500,497,489,457,383,370,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Accidentes del tránsito,967,16,7,11,13,19,26,26,13,16,11,18,24,17,8,17,19,15,11,24,24,12,29,13,18,23,37,11,9,8,22,19,7,9,9,14,38,23,10,17,16,23,25,23,40,20,13,28,33,18,33,18,14,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
Otras causas externas,23037,398,404,389,419,423,416,392,394,417,459,509,469,543,548,482,474,544,510,545,511,523,474,395,494,483,401,431,289,326,351,429,407,386,473,463,474,449,374,423,480,415,482,407,418,474,518,472,464,471,424,365,356,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
DIARREA AGUDA (A00-A09),4893,110,151,131,135,148,133,117,134,130,83,119,128,114,110,114,145,162,126,117,79,89,82,88,80,88,106,119,84,102,68,58,65,60,65,56,49,64,97,97,57,74,74,79,57,77,68,54,62,75,59,66,88,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
TOTAL DEMÁS CAUSAS,59913,1223,1228,1294,1210,1061,1280,1228,1272,1221,1194,1266,1201,1229,1259,1202,1128,1223,1221,1256,1178,1077,1150,1026,1206,1224,918,1078,1092,1062,1155,1083,1083,1049,1059,1206,1118,1086,1229,1101,1103,1108,1075,1227,1108,1210,1122,1099,1148,1081,1080,1080,1096,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,11349,246,251,226,218,205,233,242,265,212,179,233,200,273,238,221,220,284,154,193,214,218,220,205,269,269,231,224,262,259,247,248,203,202,165,242,249,232,222,194,57,70,209,271,238,200,174,193,254,224,236,171,184,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
- CAUSAS SISTEMA CIRCULATORIO,858,27,26,16,11,17,14,14,20,14,17,14,10,19,25,6,17,19,18,13,14,15,21,10,23,17,16,16,17,17,21,19,19,15,17,15,19,21,12,17,5,24,27,20,18,13,10,12,17,13,15,12,14,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
- CAUSAS SISTEMA RESPIRATORIO,834,12,8,5,12,8,14,10,12,5,6,17,11,10,13,14,26,17,11,15,19,23,28,28,27,33,28,23,33,34,24,18,15,20,14,13,20,13,19,9,9,16,13,20,11,11,11,16,16,12,15,10,7,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
- TRAUMATISMOS Y ENVENENAMIENTOS,1523,33,27,30,34,29,31,42,26,34,21,28,34,31,35,35,30,40,23,27,30,30,29,18,34,40,43,36,32,19,29,38,27,28,15,31,32,29,32,21,18,10,38,30,29,20,27,23,26,31,32,33,23,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
- LAS DEMÁS CAUSAS,8134,174,190,175,161,151,174,176,207,159,135,174,145,213,165,166,147,208,102,138,151,150,142,149,185,179,144,149,180,189,173,173,142,139,119,183,178,169,159,147,25,20,131,201,180,156,126,142,195,168,174,116,140,2016,Iquique,Hospital,Hospital Dr. Ernesto Torres Galdames (Iquique)
