Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,65270,1338,1401,1442,1343,1394,1341,1399,1383,1484,1396,1409,1410,1446,1303,1177,996,1266,1362,1312,1086,958,881,1177,1188,1272,1200,1361,1251,1224,1214,1190,1262,1343,1243,1256,1171,1109,1285,1207,1278,1295,1360,1151,1051,1128,1003,1121,1298,1253,1344,1218,1290,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,4993,68,78,66,65,62,60,71,69,66,69,86,91,101,92,81,58,90,94,91,84,72,62,111,109,133,127,172,195,176,186,156,152,143,141,116,107,94,130,93,90,93,110,88,75,62,51,53,69,65,67,86,67,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
IRA Alta (J00-J06),1888,30,26,26,32,30,25,36,23,23,35,47,43,43,32,22,10,38,26,36,25,23,16,51,43,55,38,61,70,67,51,43,43,62,67,44,34,38,56,28,27,36,40,38,18,21,24,25,31,36,31,33,30,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Influenza (J09-J11),17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Neumonía (J12-J18),580,8,13,4,6,6,2,5,4,4,6,9,9,9,10,11,6,6,6,9,13,9,10,12,11,23,19,20,22,24,31,21,29,12,14,23,17,12,17,13,10,11,10,9,9,5,6,2,6,6,6,9,6,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Bronquitis/bronquiolitis aguda (J20-J21),710,9,11,13,5,1,6,8,8,8,3,9,12,12,14,21,17,9,18,13,17,3,9,17,18,15,23,33,20,26,41,26,20,24,23,9,18,10,20,12,17,11,18,14,17,3,2,7,12,2,10,10,6,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Crisis obstructiva bronquial (J40-J46),448,8,5,6,7,9,8,5,11,10,6,5,8,6,6,11,4,8,18,9,7,11,9,8,8,9,13,18,12,4,11,7,15,12,11,9,14,8,8,7,6,6,12,3,10,10,9,5,2,4,7,13,10,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1350,13,22,17,15,16,19,17,23,21,19,16,19,31,30,16,21,29,26,24,22,26,18,23,28,31,33,40,71,54,49,58,42,33,26,31,23,26,27,32,30,29,30,24,21,23,10,14,18,16,13,20,15,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL CAUSAS SISTEMA CIRCULATORIO,3265,59,77,73,54,48,62,64,80,67,74,46,53,74,55,61,52,65,69,56,66,47,54,73,73,75,62,70,61,78,68,70,61,68,70,73,69,58,57,66,72,59,63,65,53,48,50,63,71,54,65,38,56,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Infarto agudo miocardio,85,0,2,0,1,1,5,3,4,2,1,4,1,3,1,2,1,3,3,1,0,3,2,1,3,1,2,1,2,4,1,2,2,1,0,2,1,2,4,1,3,0,1,1,0,1,1,0,4,0,0,1,0,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Accidente vascular encefálico,568,11,9,13,10,8,7,12,9,7,12,10,3,12,8,10,8,8,14,10,14,11,6,9,10,9,12,19,12,16,15,20,8,13,19,12,11,6,9,12,12,9,11,13,11,3,10,13,18,9,8,11,16,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Crisis hipertensiva,22,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,6,1,0,0,1,2,0,1,0,0,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Arritmia grave,312,5,3,8,5,5,6,8,7,6,7,4,3,6,5,5,5,8,4,5,9,5,11,4,5,9,5,4,3,5,8,6,5,9,4,7,9,9,8,5,5,8,9,7,4,8,3,6,6,4,7,5,5,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Otras causas circulatorias,2278,42,63,52,38,34,44,40,60,51,54,27,45,53,41,44,38,46,48,40,43,27,35,59,55,56,43,46,44,53,44,42,46,45,47,52,48,41,36,47,51,40,41,38,37,36,36,43,41,41,49,21,35,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,16841,269,289,297,288,321,343,408,326,342,336,376,354,356,343,332,265,328,313,312,281,272,253,283,363,293,295,297,295,278,313,293,309,337,310,325,335,331,348,319,348,331,330,301,316,331,326,352,407,385,375,350,361,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Accidentes del tránsito,2129,68,64,43,45,56,22,41,39,44,49,42,42,46,38,34,25,40,41,42,33,30,37,48,52,38,40,28,38,34,31,38,26,47,33,34,43,45,53,50,50,46,40,30,33,35,34,40,34,42,56,54,36,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Otras causas externas,14712,201,225,254,243,265,321,367,287,298,287,334,312,310,305,298,240,288,272,270,248,242,216,235,311,255,255,269,257,244,282,255,283,290,277,291,292,286,295,269,298,285,290,271,283,296,292,312,373,343,319,296,325,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
DIARREA AGUDA (A00-A09),736,16,19,12,18,3,4,15,14,26,6,12,19,18,17,14,8,24,26,28,12,4,5,14,10,22,11,7,8,12,9,13,13,26,14,23,22,2,10,6,17,32,16,13,4,7,14,10,18,19,15,15,14,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL DEMÁS CAUSAS,39435,926,938,994,918,960,872,841,894,983,911,889,893,897,796,689,613,759,860,825,643,563,507,696,633,749,705,815,692,680,638,658,727,769,708,719,638,624,740,723,751,780,841,684,603,680,562,643,733,730,822,729,792,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,10783,247,237,211,220,226,196,234,221,214,229,232,170,220,200,191,170,207,202,202,188,171,174,206,251,200,208,234,223,209,203,215,220,211,221,222,191,196,211,227,201,195,191,189,170,169,173,186,208,234,233,204,220,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
- CAUSAS SISTEMA CIRCULATORIO,1600,29,27,32,27,23,29,27,32,29,38,21,22,38,24,29,27,35,39,28,37,26,26,39,44,37,29,49,32,41,32,41,28,32,40,35,28,30,30,35,27,22,27,22,31,28,23,27,38,28,35,20,25,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
- CAUSAS SISTEMA RESPIRATORIO,850,13,13,12,9,12,9,11,11,13,13,15,14,8,16,16,15,12,14,13,17,22,17,14,19,15,25,34,31,25,32,30,30,20,18,23,21,21,21,13,12,17,19,11,12,15,11,6,13,10,11,15,11,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
- TRAUMATISMOS Y ENVENENAMIENTOS,2217,41,54,51,53,48,40,54,59,51,48,46,30,41,54,31,29,42,48,43,36,25,25,40,52,41,32,33,47,42,29,38,48,56,38,45,36,43,54,51,46,48,43,37,30,25,33,46,41,45,55,49,45,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
- LAS DEMÁS CAUSAS,6116,164,143,116,131,143,118,142,119,121,130,150,104,133,106,115,99,118,101,118,98,98,106,113,136,107,122,118,113,101,110,106,114,103,125,119,106,102,106,128,116,108,102,119,97,101,106,107,116,151,132,120,139,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
CIRUGÍAS DE URGENCIA,4879,93,117,110,136,104,94,115,108,102,107,115,82,95,85,91,46,111,103,93,81,55,51,77,118,87,90,90,92,70,79,95,107,96,111,110,78,85,106,114,111,101,88,82,55,61,70,97,105,93,115,101,101,2016,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
