Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Norte,SAR,SAR Recoleta
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,37715,884,736,737,755,640,698,563,616,573,679,789,745,825,753,695,653,719,744,723,704,693,603,735,706,835,881,840,705,744,713,779,860,857,826,834,890,801,874,809,758,703,672,709,657,656,633,671,598,674,595,565,608,2016,Metropolitano Norte,SAR,SAR Recoleta
TOTAL CAUSAS SISTEMA RESPIRATORIO,16302,259,184,149,161,150,151,143,180,146,197,304,317,315,340,292,281,344,321,293,326,335,282,379,383,475,546,552,463,480,395,443,502,490,454,459,490,442,435,362,303,291,258,275,258,250,252,211,192,215,168,203,206,2016,Metropolitano Norte,SAR,SAR Recoleta
IRA Alta (J00-J06),13647,237,163,129,145,129,140,129,165,135,181,260,276,274,298,260,247,276,267,262,185,287,241,316,305,384,441,463,352,348,305,351,403,403,367,395,406,386,349,304,255,246,195,240,228,217,217,189,172,195,153,184,192,2016,Metropolitano Norte,SAR,SAR Recoleta
Influenza (J09-J11),43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,5,1,4,8,2,2,5,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
Neumonía (J12-J18),241,0,2,2,2,1,0,0,1,2,3,0,2,4,6,1,4,7,3,5,3,2,2,0,5,7,10,10,12,9,12,10,11,4,13,7,13,10,11,10,6,6,5,4,3,2,1,1,4,1,0,1,1,2016,Metropolitano Norte,SAR,SAR Recoleta
Bronquitis/bronquiolitis aguda (J20-J21),1356,13,11,8,11,12,10,13,9,7,9,38,14,27,21,23,27,37,25,21,23,31,21,29,44,48,49,59,57,95,43,52,51,37,37,30,42,22,27,20,32,25,29,11,16,13,21,12,9,9,9,11,6,2016,Metropolitano Norte,SAR,SAR Recoleta
Crisis obstructiva bronquial (J40-J46),825,9,8,7,3,8,1,1,5,2,3,6,25,10,14,8,3,16,15,3,23,15,16,34,22,25,41,18,36,23,20,25,29,33,33,24,18,22,46,25,10,12,25,19,11,18,11,9,5,10,6,7,7,2016,Metropolitano Norte,SAR,SAR Recoleta
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",190,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,8,11,2,92,0,2,0,7,10,1,0,6,3,10,4,4,5,2,1,6,0,0,1,0,2,3,1,0,0,2,0,2,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Norte,SAR,SAR Recoleta
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Norte,SAR,SAR Recoleta
TOTAL CAUSAS SISTEMA CIRCULATORIO,440,4,7,4,8,6,7,2,5,2,12,6,10,5,5,6,6,12,10,8,10,5,7,13,16,12,12,7,4,7,9,15,12,10,11,12,10,8,5,10,19,12,14,15,5,7,16,7,6,5,3,4,7,2016,Metropolitano Norte,SAR,SAR Recoleta
Infarto agudo miocardio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
Accidente vascular encefálico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
Crisis hipertensiva,428,4,7,4,8,6,7,2,5,2,12,6,10,5,5,6,6,9,9,8,10,5,7,13,16,11,11,7,4,7,9,15,10,10,11,12,10,8,5,10,19,9,14,15,4,7,16,7,6,5,3,4,7,2016,Metropolitano Norte,SAR,SAR Recoleta
Arritmia grave,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
Otras causas circulatorias,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,872,7,20,10,22,35,32,23,8,12,15,11,23,10,10,7,26,5,25,6,7,7,10,13,20,22,16,20,12,9,20,12,12,19,11,26,20,14,20,22,18,22,20,20,21,19,14,26,23,17,17,13,23,2016,Metropolitano Norte,SAR,SAR Recoleta
Accidentes del tránsito,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
Otras causas externas,870,7,20,10,22,35,32,23,8,12,15,11,23,10,10,7,26,5,25,6,7,7,10,13,19,22,16,20,12,9,20,12,12,19,11,26,20,14,19,22,18,22,20,20,21,19,14,26,23,17,17,13,23,2016,Metropolitano Norte,SAR,SAR Recoleta
DIARREA AGUDA (A00-A09),470,13,20,8,11,13,13,1,8,17,17,2,7,11,6,9,9,12,1,4,17,7,3,3,13,6,2,3,38,2,1,0,5,10,9,5,4,10,10,13,5,13,10,9,12,10,5,11,5,11,16,11,9,2016,Metropolitano Norte,SAR,SAR Recoleta
TOTAL DEMÁS CAUSAS,19631,601,505,566,553,436,495,394,415,396,438,466,388,484,392,381,331,346,387,412,344,339,301,327,274,320,305,258,188,246,288,309,329,328,341,332,366,327,404,402,413,365,370,390,361,370,346,416,372,426,391,334,363,2016,Metropolitano Norte,SAR,SAR Recoleta
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Norte,SAR,SAR Recoleta
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Norte,SAR,SAR Recoleta
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Norte,SAR,SAR Recoleta
