Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27009,534,425,483,442,428,438,415,459,346,315,570,595,551,555,524,450,546,589,578,534,597,537,588,613,664,702,641,581,582,549,585,606,626,647,560,670,479,566,598,567,608,461,534,479,514,440,444,424,405,350,352,263,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
TOTAL CAUSAS SISTEMA RESPIRATORIO,9536,133,66,104,71,58,72,82,113,67,79,157,209,165,209,163,160,200,231,177,211,207,227,282,286,356,400,358,302,244,218,290,276,261,282,270,306,184,233,209,184,198,138,170,153,123,129,106,95,95,86,79,62,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
IRA Alta (J00-J06),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Influenza (J09-J11),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Neumonía (J12-J18),159,0,0,1,0,1,0,1,0,0,0,2,1,1,2,0,2,2,4,3,8,1,4,0,8,5,6,10,4,7,1,4,4,2,10,7,6,5,5,6,3,5,1,3,3,1,3,3,2,3,3,2,4,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Bronquitis/bronquiolitis aguda (J20-J21),185,3,3,1,0,2,0,2,5,1,1,6,8,4,3,5,6,6,3,12,8,2,5,11,17,24,18,7,0,0,0,0,0,0,0,0,6,0,0,5,0,0,3,0,4,0,0,0,3,0,0,0,1,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Crisis obstructiva bronquial (J40-J46),750,8,1,4,2,5,2,0,1,0,1,4,9,7,2,4,6,2,7,6,34,11,12,12,7,19,30,29,34,42,25,36,29,38,36,30,39,27,25,19,25,13,10,23,5,18,9,14,1,4,7,9,7,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",8438,122,62,98,69,50,70,79,107,66,77,145,191,153,202,154,146,190,217,156,161,193,206,259,254,308,346,312,264,195,192,248,242,221,236,233,254,152,203,179,156,180,124,144,141,104,117,89,89,88,76,68,50,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
TOTAL CAUSAS SISTEMA CIRCULATORIO,133,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,1,4,6,2,0,1,5,1,0,9,14,7,1,6,6,2,2,3,4,8,2,2,3,5,0,6,2,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Infarto agudo miocardio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Accidente vascular encefálico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Crisis hipertensiva,116,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,4,6,1,0,1,5,1,0,9,14,7,1,6,6,2,2,3,4,8,2,2,3,5,0,6,2,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
Arritmia grave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Occidente,SAPU,SAPU-Dr. Albertz
