Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,39996,749,659,709,674,603,642,621,645,697,647,799,849,814,772,746,693,806,750,793,797,867,748,796,910,939,899,931,813,872,868,844,872,990,900,892,922,765,917,850,810,890,719,705,753,706,691,679,672,626,552,580,553,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
TOTAL CAUSAS SISTEMA RESPIRATORIO,15862,214,171,172,164,134,109,157,160,156,170,327,314,299,277,303,299,331,309,360,311,405,364,403,489,484,506,539,478,493,438,451,440,512,462,438,430,337,346,302,283,330,263,257,249,234,209,194,198,161,141,139,150,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
IRA Alta (J00-J06),10072,142,114,128,114,94,79,105,106,118,105,168,176,170,160,216,186,206,203,200,188,259,226,221,299,298,282,362,267,288,284,292,289,324,286,267,302,219,223,178,180,200,163,190,149,141,128,158,155,126,117,100,121,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Influenza (J09-J11),28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,1,2,0,0,1,2,1,5,0,0,0,1,1,0,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Neumonía (J12-J18),532,5,1,3,5,7,4,3,2,2,4,5,4,7,6,6,13,14,7,5,7,16,8,20,19,24,9,19,28,14,20,16,24,24,18,17,20,13,16,16,5,6,12,7,6,10,2,7,6,5,1,7,7,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Bronquitis/bronquiolitis aguda (J20-J21),1855,24,18,5,8,8,6,11,17,7,13,30,20,50,23,30,36,31,26,56,37,45,41,64,63,71,50,64,99,66,50,49,48,59,70,49,57,44,52,33,37,30,24,22,22,17,46,21,23,22,18,25,18,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Crisis obstructiva bronquial (J40-J46),385,5,2,2,7,1,7,2,5,1,6,5,8,8,8,2,4,1,5,10,5,11,38,13,20,7,5,26,19,10,13,6,11,14,13,8,5,3,0,3,4,5,10,5,4,4,4,5,9,6,2,5,3,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2990,38,36,34,30,24,13,36,30,28,42,119,106,64,80,49,60,79,68,89,74,72,50,85,88,84,160,68,65,115,71,88,63,88,75,94,46,58,55,71,55,89,54,32,66,61,24,3,5,2,2,1,1,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
TOTAL CAUSAS SISTEMA CIRCULATORIO,242,4,2,2,5,1,6,3,1,3,7,5,1,4,6,4,6,5,3,4,2,4,3,2,4,6,3,8,5,6,9,3,5,9,12,7,7,5,3,5,2,5,2,5,3,4,3,10,7,8,4,6,3,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Infarto agudo miocardio,20,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Accidente vascular encefálico,19,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,2,0,2,1,0,0,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Crisis hipertensiva,119,2,2,2,2,1,5,3,0,1,3,3,0,3,3,4,3,2,1,1,1,3,1,1,3,3,2,3,3,5,7,2,4,4,6,4,2,5,3,0,1,5,1,2,2,1,0,1,1,0,0,2,0,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Arritmia grave,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Otras causas circulatorias,80,1,0,0,3,0,0,0,0,0,3,2,0,1,1,0,2,3,1,3,0,1,2,1,0,2,0,4,2,1,1,0,1,1,5,2,5,0,0,2,0,0,1,2,1,1,2,7,5,5,3,2,1,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,755,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,0,7,29,5,0,0,1,5,0,14,0,14,14,0,12,0,22,29,17,8,21,17,10,12,3,9,0,0,11,9,56,68,63,84,56,80,61,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Accidentes del tránsito,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
Otras causas externas,753,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,7,29,5,0,0,0,5,0,14,0,14,14,0,12,0,22,29,17,8,21,17,10,12,3,9,0,0,11,9,56,68,63,84,56,80,61,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
DIARREA AGUDA (A00-A09),213,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,10,1,0,1,2,2,0,2,2,2,3,2,4,1,7,0,8,4,0,0,0,7,5,3,1,16,17,24,19,22,18,16,7,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
TOTAL DEMÁS CAUSAS,22924,530,486,535,505,468,527,460,484,538,469,466,533,510,488,423,388,463,408,423,474,457,380,385,415,433,390,368,314,371,406,388,401,439,402,439,456,402,558,531,522,539,449,440,489,443,406,383,385,351,333,339,332,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Sur,SAPU,SAPU-Carol Urzúa de San Bernardo
