Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,25320,479,408,472,477,437,303,412,402,447,521,468,446,453,557,468,468,516,519,507,479,532,418,512,541,547,606,536,462,495,522,571,579,637,519,493,602,485,585,505,557,579,462,488,468,434,393,465,403,432,385,403,465,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
TOTAL CAUSAS SISTEMA RESPIRATORIO,8600,92,82,90,85,104,76,81,86,64,133,142,125,150,149,196,130,150,254,219,195,211,179,244,226,230,368,311,247,221,277,312,267,305,212,197,278,185,210,164,196,176,132,134,119,91,86,88,83,69,59,56,64,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
IRA Alta (J00-J06),6510,69,61,74,69,93,51,69,64,46,97,111,107,133,130,144,101,131,146,143,126,163,126,139,165,183,239,167,184,161,188,237,173,245,181,176,235,137,180,142,176,163,120,115,104,75,70,70,53,48,44,39,47,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Influenza (J09-J11),851,0,1,0,1,0,14,0,0,0,23,1,0,0,0,41,10,0,66,38,22,0,33,71,50,19,96,69,25,24,68,56,46,26,0,6,14,19,0,1,1,0,0,0,0,0,0,0,8,0,2,0,0,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Neumonía (J12-J18),187,3,4,0,0,3,0,2,0,1,0,2,4,1,2,0,1,1,13,2,8,3,1,17,1,6,5,35,3,5,1,4,7,4,8,1,5,5,0,3,1,0,1,2,1,3,3,5,0,3,2,3,2,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Bronquitis/bronquiolitis aguda (J20-J21),726,8,13,8,9,8,9,6,14,13,7,25,9,12,13,9,14,10,20,22,31,39,14,12,9,18,19,15,16,28,13,10,21,14,22,9,20,15,17,12,18,8,9,15,13,13,8,12,20,13,6,5,3,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Crisis obstructiva bronquial (J40-J46),182,10,2,7,3,0,2,2,6,4,3,2,2,1,1,0,1,3,8,4,5,5,3,3,0,0,4,14,4,2,4,2,10,10,1,4,2,4,6,3,0,3,1,2,0,0,4,1,2,5,5,7,5,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",144,2,1,1,3,0,0,2,2,0,3,1,3,3,3,2,3,5,1,10,3,1,2,2,1,4,5,11,15,1,3,3,10,6,0,1,2,5,7,3,0,2,1,0,1,0,1,0,0,0,0,2,7,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
TOTAL CAUSAS SISTEMA CIRCULATORIO,220,7,3,6,11,2,5,4,7,4,6,2,2,8,6,2,9,6,7,7,4,7,4,3,5,6,3,6,4,4,8,3,2,1,2,9,1,2,1,1,1,6,3,3,5,2,2,2,4,5,3,1,3,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Infarto agudo miocardio,23,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,3,0,2,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Accidente vascular encefálico,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Crisis hipertensiva,84,4,0,4,5,0,0,0,0,0,2,0,1,5,5,0,2,5,3,0,4,6,1,0,0,2,0,6,0,0,1,1,2,0,2,0,0,0,0,0,0,2,1,1,2,1,1,1,3,5,3,0,3,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Arritmia grave,18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,3,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Otras causas circulatorias,88,1,2,2,5,1,4,3,5,4,3,2,1,2,1,1,5,1,2,1,0,1,1,0,2,2,1,0,2,2,3,0,0,1,0,8,1,2,1,1,1,4,2,1,3,1,0,1,0,0,0,1,0,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1286,21,35,37,32,36,25,36,44,42,19,24,15,15,9,20,7,10,33,28,15,20,9,17,15,35,15,16,19,33,18,19,57,11,20,26,21,29,49,46,42,47,24,13,14,18,21,50,25,49,0,4,1,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Accidentes del tránsito,92,0,3,0,0,0,7,0,0,0,2,5,8,1,0,1,1,0,12,11,9,1,3,2,4,2,0,0,3,0,2,1,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
Otras causas externas,1194,21,32,37,32,36,18,36,44,42,17,19,7,14,9,19,6,10,21,17,6,19,6,15,11,33,15,16,16,33,16,18,52,11,20,26,21,29,49,37,42,47,24,13,14,18,21,50,25,49,0,4,1,2016,Metropolitano Suroriente,SAPU,SAPU Poetisa Gabriela Mistral
