Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,93544,2235,2099,2180,2245,2214,2158,2089,2036,1759,1935,1924,1971,2089,1965,1831,1763,1760,1849,1890,1867,1874,1823,1818,1915,1788,1846,1731,1593,1805,1806,1775,1849,1726,1629,1642,1652,1642,1664,1615,1735,1748,1645,1592,1579,1592,1515,1573,1541,1558,1485,1359,1570,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
TOTAL CAUSAS SISTEMA RESPIRATORIO,9407,117,89,131,114,123,111,112,107,88,142,179,199,190,171,194,164,178,216,220,254,209,247,274,272,274,315,342,252,326,277,258,295,239,251,190,187,225,210,167,179,195,157,142,136,99,104,113,111,73,64,55,70,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
IRA Alta (J00-J06),2409,14,23,51,39,42,41,40,25,25,45,62,42,51,55,61,58,59,73,80,77,69,58,59,54,71,55,78,35,69,73,56,71,40,52,60,48,55,25,36,46,50,46,38,23,17,23,27,39,21,15,12,25,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
Influenza (J09-J11),75,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,2,1,1,0,1,0,0,0,0,1,1,4,1,6,3,8,11,11,6,3,1,0,2,0,2,2,1,0,0,0,0,0,1,0,0,0,0,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
Neumonía (J12-J18),648,3,2,7,7,5,10,8,6,7,7,16,9,13,11,12,7,9,4,11,10,11,8,23,15,17,29,22,25,21,23,21,27,24,26,19,15,28,8,12,13,18,12,7,11,6,4,13,5,10,3,6,2,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
Bronquitis/bronquiolitis aguda (J20-J21),1465,9,10,11,9,18,15,22,19,10,24,12,13,23,26,36,30,26,30,26,43,39,48,54,56,44,48,68,42,62,56,47,43,40,50,14,34,39,43,27,22,25,24,15,13,11,24,14,14,13,11,6,7,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
Crisis obstructiva bronquial (J40-J46),2043,17,16,27,18,22,15,14,29,16,35,35,44,42,31,39,38,36,33,42,49,36,47,53,73,73,93,82,80,80,61,55,47,47,49,50,54,47,61,36,52,35,30,24,42,24,24,23,20,11,14,9,13,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2767,74,37,33,41,36,29,28,28,30,31,53,91,61,47,46,29,47,75,61,74,54,86,85,74,68,89,88,69,88,61,71,96,77,68,44,35,56,71,56,44,65,44,58,47,41,29,36,32,18,21,22,23,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Valparaíso San Antonio,Hospital,Hospital Claudio Vicuña ( San Antonio)
