Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,76372,1642,1494,1404,1427,1418,1399,1395,1470,1407,1559,1636,1763,1749,1689,1409,1626,1645,1613,1426,1515,1646,1562,1511,1609,1625,1505,1620,1403,1371,1471,1564,1610,1475,1471,1523,1527,1438,1391,1393,1416,1412,1362,1332,1198,1317,1294,1376,1341,1205,1182,1226,1310,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
TOTAL CAUSAS SISTEMA RESPIRATORIO,16053,170,156,160,149,127,107,116,148,144,235,301,342,331,319,272,284,300,350,352,389,439,473,438,518,534,515,587,527,440,443,455,516,467,393,337,398,328,340,280,280,310,311,270,244,180,211,210,196,179,151,163,168,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
IRA Alta (J00-J06),9170,121,88,118,101,77,67,75,92,88,149,189,208,193,176,181,162,214,220,231,235,254,277,226,284,277,262,297,225,171,225,269,302,238,219,182,198,178,194,157,169,176,186,164,157,98,136,128,124,115,91,102,104,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Influenza (J09-J11),568,0,3,1,2,1,3,1,1,1,5,3,10,8,2,4,3,2,4,7,5,13,5,14,17,13,18,29,51,31,49,30,45,40,27,26,21,9,7,8,7,8,2,6,5,7,3,5,0,2,1,2,1,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Neumonía (J12-J18),1263,3,17,9,10,6,6,3,6,9,13,12,8,10,14,17,3,11,14,20,20,29,34,56,48,52,48,51,64,73,43,35,41,41,36,24,33,25,24,18,16,36,25,30,24,21,21,18,17,17,9,19,24,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Bronquitis/bronquiolitis aguda (J20-J21),1868,18,13,7,15,17,5,12,9,14,22,18,36,36,40,17,38,21,27,31,42,44,68,59,54,70,73,77,87,95,59,45,58,67,51,31,53,47,38,42,41,36,36,30,25,13,20,25,22,18,23,11,12,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Crisis obstructiva bronquial (J40-J46),2664,17,29,19,14,21,20,18,33,24,38,67,75,70,72,41,64,41,75,47,77,93,86,78,99,119,110,119,86,56,54,64,55,64,50,65,80,57,71,41,42,41,50,31,27,21,21,20,18,22,20,19,23,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",520,11,6,6,7,5,6,7,7,8,8,12,5,14,15,12,14,11,10,16,10,6,3,5,16,3,4,14,14,14,13,12,15,17,10,9,13,12,6,14,5,13,12,9,6,20,10,14,15,5,7,10,4,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
TOTAL CAUSAS SISTEMA CIRCULATORIO,2274,31,27,31,20,17,19,34,25,25,28,37,39,38,36,31,31,18,42,61,47,49,43,55,61,65,40,43,42,64,44,48,49,41,58,49,60,45,42,37,48,51,53,68,52,57,60,53,50,46,51,53,60,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Infarto agudo miocardio,131,2,1,1,0,0,0,1,0,1,0,1,1,0,1,1,2,0,2,3,4,3,3,4,5,6,2,5,0,2,2,3,4,5,4,2,5,2,2,2,5,3,2,11,4,2,5,2,3,3,2,3,4,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Accidente vascular encefálico,422,5,5,3,1,0,5,5,3,9,0,0,8,6,2,6,3,4,2,13,4,11,10,13,9,19,3,10,8,15,12,10,7,9,16,14,17,17,9,6,9,8,7,11,13,11,12,9,8,7,12,12,4,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Crisis hipertensiva,547,5,9,15,8,4,5,16,8,9,14,18,13,18,17,11,13,8,10,16,17,8,9,6,10,11,13,8,16,14,9,7,12,10,3,11,10,11,10,5,11,10,13,12,9,9,13,6,7,10,8,7,15,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Arritmia grave,251,1,1,1,1,3,3,2,2,1,3,3,1,5,4,0,3,2,4,6,3,5,4,7,7,9,4,2,1,6,5,2,4,4,14,9,5,6,5,7,7,8,6,5,7,10,6,7,11,3,7,12,7,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Otras causas circulatorias,923,18,11,11,10,10,6,10,12,5,11,15,16,9,12,13,10,4,24,23,19,22,17,25,30,20,18,18,17,27,16,26,22,13,21,13,23,9,16,17,16,22,25,29,19,25,24,29,21,23,22,19,30,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,10608,253,246,190,166,198,217,210,242,236,223,218,231,321,308,295,267,264,305,268,242,265,237,240,228,258,198,204,181,173,235,239,252,255,258,251,218,272,229,236,277,210,199,253,241,97,1,0,0,0,0,0,1,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Accidentes del tránsito,154,8,14,5,10,11,8,10,15,16,5,4,8,6,17,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
Otras causas externas,10454,245,232,185,156,187,209,200,227,220,218,214,223,315,291,285,261,263,305,268,242,265,237,240,228,258,198,204,181,173,235,239,252,255,258,251,218,272,229,236,277,210,199,253,241,97,1,0,0,0,0,0,1,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
DIARREA AGUDA (A00-A09),4809,121,109,116,105,127,118,100,111,104,98,128,118,112,105,51,80,87,88,69,49,66,72,76,81,87,89,72,58,67,53,92,97,69,88,113,117,87,105,111,93,103,76,71,55,236,78,77,84,83,95,72,90,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
TOTAL DEMÁS CAUSAS,42628,1067,956,907,987,949,938,935,944,898,975,952,1033,947,921,760,964,976,828,676,788,827,737,702,721,681,663,714,595,627,696,730,696,643,674,773,734,706,675,729,718,738,723,670,606,747,944,1036,1011,897,885,938,991,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,3871,74,80,62,66,65,56,60,55,82,70,74,69,73,85,69,75,73,73,79,80,73,80,65,56,80,73,88,87,86,86,80,83,89,91,87,75,80,80,80,90,62,92,97,61,63,71,76,67,61,61,77,54,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
- CAUSAS SISTEMA CIRCULATORIO,544,15,16,7,8,8,8,7,13,10,7,8,8,10,9,10,10,9,8,12,15,8,3,10,9,10,8,15,9,4,13,7,5,11,14,9,10,9,6,9,15,8,9,23,14,10,26,19,10,11,8,14,10,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
- CAUSAS SISTEMA RESPIRATORIO,621,9,8,7,4,3,3,8,4,9,10,5,8,8,10,11,11,6,9,13,10,8,15,13,13,25,23,17,34,31,17,16,18,28,20,19,13,11,16,14,8,7,19,12,8,10,4,7,7,2,11,13,6,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
- TRAUMATISMOS Y ENVENENAMIENTOS,286,5,10,7,3,2,9,6,4,11,4,5,4,5,7,4,3,4,6,6,6,9,10,2,1,8,4,4,2,4,8,1,7,4,6,4,15,2,9,4,8,4,3,9,3,0,4,11,9,12,2,4,2,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
- LAS DEMÁS CAUSAS,2420,45,46,41,51,52,36,39,34,52,49,56,49,50,59,44,51,54,50,48,49,48,52,40,33,37,38,52,42,47,48,56,53,46,51,55,37,58,49,53,59,43,61,53,36,43,37,39,41,36,40,46,36,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
CIRUGÍAS DE URGENCIA,570,9,16,19,13,13,14,15,13,8,14,13,16,13,10,11,13,11,11,4,10,11,9,5,8,11,10,8,8,12,10,11,11,8,12,13,13,13,11,11,8,13,10,17,9,10,9,14,8,4,6,10,11,2016,Viña Del Mar Quillota,Hospital,Hospital San Martín (Quillota)
