Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,24643,368,369,385,391,399,383,404,393,358,419,450,454,475,517,529,459,501,505,586,540,552,527,451,511,472,546,451,454,423,422,472,513,546,511,478,558,526,566,521,511,540,528,480,544,481,515,454,457,472,509,347,420,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
TOTAL CAUSAS SISTEMA RESPIRATORIO,11972,130,110,96,97,106,127,135,128,122,150,220,226,230,293,277,269,280,299,344,312,333,314,277,272,260,321,267,235,211,200,244,299,303,276,254,324,266,295,256,269,268,253,244,229,237,257,214,187,210,217,117,112,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
IRA Alta (J00-J06),9340,99,82,72,79,87,91,107,107,96,112,170,176,167,242,240,236,235,262,279,257,279,232,218,231,210,236,206,189,165,147,176,245,231,223,179,277,197,207,160,192,217,185,179,172,179,216,147,155,158,170,81,85,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Influenza (J09-J11),4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Neumonía (J12-J18),54,0,3,1,1,0,1,1,0,0,0,0,0,1,0,4,2,1,4,0,0,0,3,1,2,0,11,1,1,0,1,1,0,0,0,0,0,1,1,1,1,3,1,1,0,1,0,0,3,1,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Bronquitis/bronquiolitis aguda (J20-J21),1711,25,20,12,12,14,29,21,15,22,26,37,40,45,39,26,18,17,15,50,26,29,49,43,30,35,58,42,34,35,30,40,42,51,39,47,19,32,82,49,51,36,49,46,28,27,26,20,21,33,29,30,20,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Crisis obstructiva bronquial (J40-J46),326,5,3,4,4,0,4,1,5,2,4,8,5,13,4,5,4,12,6,5,16,8,17,0,5,6,5,8,0,4,2,5,1,14,12,5,20,31,5,9,2,4,7,5,3,3,13,8,2,5,3,0,4,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",537,1,2,7,1,4,2,4,1,2,8,5,5,4,8,2,9,15,10,10,13,17,13,15,4,9,11,10,11,7,20,22,11,7,2,23,8,5,0,37,23,8,11,13,26,27,2,39,6,13,15,6,3,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
TOTAL CAUSAS SISTEMA CIRCULATORIO,124,1,0,2,3,7,2,3,1,4,3,1,3,1,1,1,2,4,3,3,1,1,2,0,0,1,3,3,3,1,2,4,2,1,5,6,2,3,4,1,6,3,1,2,2,1,2,1,2,1,6,4,3,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Infarto agudo miocardio,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Accidente vascular encefálico,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Crisis hipertensiva,18,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Arritmia grave,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Otras causas circulatorias,94,0,0,2,3,7,0,2,1,4,3,1,2,0,0,0,1,1,3,3,1,1,0,0,0,1,1,2,2,1,1,3,1,0,2,6,2,3,4,0,4,3,1,2,1,1,2,0,2,1,6,4,3,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,340,7,2,9,24,11,25,28,17,26,11,9,20,0,0,6,3,5,4,0,0,2,7,0,3,5,17,0,1,5,6,3,7,13,5,2,0,5,3,0,3,3,9,6,2,3,4,7,7,1,4,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
Accidentes del tránsito,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,Antofagasta,SAPU,Centro de Salud Familiar Centro Sur de Antofagasta
