Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Araucanía Norte,Hospital,Hospital de Collipulli
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,41634,714,748,772,706,729,755,708,650,662,667,734,900,953,912,958,979,868,828,890,817,845,851,934,909,888,841,790,771,802,744,695,760,769,832,864,899,830,795,844,826,838,802,845,796,730,904,708,659,722,702,746,743,2017,Araucanía Norte,Hospital,Hospital de Collipulli
TOTAL CAUSAS SISTEMA RESPIRATORIO,12073,112,125,129,91,120,143,112,69,76,124,215,321,290,333,303,316,293,235,253,267,333,324,354,338,368,242,240,263,330,257,210,232,224,258,328,361,323,308,244,247,272,234,210,220,235,197,212,164,176,166,153,123,2017,Araucanía Norte,Hospital,Hospital de Collipulli
IRA Alta (J00-J06),8363,81,85,86,62,78,102,80,46,52,84,164,250,222,250,227,259,220,177,183,188,237,230,258,237,230,169,182,166,232,159,136,135,148,185,221,232,214,197,152,175,175,164,155,144,170,133,144,111,106,102,92,76,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Influenza (J09-J11),378,3,7,5,5,1,0,0,0,0,0,0,3,14,3,3,1,2,5,0,10,10,18,5,27,36,1,9,15,5,11,5,20,4,9,9,7,5,19,16,9,9,8,8,0,8,1,8,1,8,11,5,9,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Neumonía (J12-J18),398,2,6,5,5,5,7,4,1,1,4,6,9,3,11,3,2,8,2,2,5,35,12,3,6,8,13,5,7,8,9,9,13,7,4,9,11,10,11,17,15,14,6,9,12,5,9,15,5,4,5,6,5,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Bronquitis/bronquiolitis aguda (J20-J21),2505,21,16,17,14,22,20,18,16,15,22,38,52,48,64,59,45,51,48,59,54,47,56,76,48,78,56,39,71,77,72,52,60,63,56,85,93,89,72,50,35,72,48,34,62,44,51,38,36,37,39,42,28,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Crisis obstructiva bronquial (J40-J46),241,2,3,9,2,9,9,1,0,6,9,7,6,2,2,7,3,11,2,4,6,2,6,12,4,7,2,2,4,4,2,6,2,1,4,4,10,2,8,7,6,1,2,3,1,7,2,4,7,9,7,3,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",188,3,8,7,3,5,5,9,6,2,5,0,1,1,3,4,6,1,1,5,4,2,2,0,16,9,1,3,0,4,4,2,2,1,0,0,8,3,1,2,7,1,6,1,1,1,1,3,4,12,2,5,5,2017,Araucanía Norte,Hospital,Hospital de Collipulli
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Araucanía Norte,Hospital,Hospital de Collipulli
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Araucanía Norte,Hospital,Hospital de Collipulli
TOTAL CAUSAS SISTEMA CIRCULATORIO,235,9,8,13,8,10,8,12,5,2,7,5,2,5,5,4,4,3,2,6,6,0,5,5,2,3,2,2,6,5,1,7,3,2,2,3,2,0,6,3,6,2,5,3,3,8,0,1,6,7,5,5,1,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Infarto agudo miocardio,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Accidente vascular encefálico,17,0,3,0,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Crisis hipertensiva,63,2,0,3,4,0,1,4,0,0,2,0,1,2,0,0,2,2,2,0,1,0,1,1,1,1,0,0,1,1,0,2,3,2,1,2,0,0,3,1,1,1,1,1,1,4,0,1,3,0,1,3,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Arritmia grave,68,4,2,5,0,2,0,3,2,1,2,2,1,1,5,3,0,0,0,3,3,0,3,3,0,1,1,1,4,1,1,1,0,0,1,0,0,0,2,1,1,1,3,1,1,0,0,0,1,0,0,0,1,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Otras causas circulatorias,78,3,3,5,4,7,5,3,3,0,2,2,0,1,0,0,2,1,0,2,1,0,1,1,1,1,0,1,0,2,0,2,0,0,0,0,1,0,1,1,3,0,1,1,1,4,0,0,2,6,3,1,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1229,17,56,106,32,38,67,49,46,33,32,38,34,37,46,30,22,34,25,17,2,20,19,18,24,16,1,16,13,32,0,3,18,17,14,15,15,19,13,22,4,10,23,33,7,35,13,0,0,0,22,15,11,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Accidentes del tránsito,23,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
Otras causas externas,1206,17,56,106,32,38,45,49,46,33,32,38,34,37,46,30,22,34,25,17,2,20,19,18,24,16,0,16,13,32,0,3,18,17,14,15,15,19,13,22,4,10,23,33,7,35,13,0,0,0,22,15,11,2017,Araucanía Norte,Hospital,Hospital de Collipulli
DIARREA AGUDA (A00-A09),1693,111,53,72,66,44,33,25,31,22,20,26,33,26,36,27,27,46,41,44,26,19,19,26,26,35,5,19,31,16,15,27,25,21,27,24,32,27,29,43,38,19,27,21,29,37,22,24,25,31,30,45,70,2017,Araucanía Norte,Hospital,Hospital de Collipulli
TOTAL DEMÁS CAUSAS,26404,465,506,452,509,517,504,510,499,529,484,450,510,595,492,594,610,492,525,570,516,473,484,531,519,466,591,513,458,419,471,448,482,505,531,494,489,461,439,532,531,535,513,578,537,415,672,471,464,508,479,528,538,2017,Araucanía Norte,Hospital,Hospital de Collipulli
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,651,7,9,5,10,11,15,14,15,9,5,12,15,16,20,12,16,17,12,10,14,15,11,13,15,10,10,19,14,16,20,19,18,10,8,17,8,9,16,16,13,17,10,10,10,9,10,7,8,6,14,15,14,2017,Araucanía Norte,Hospital,Hospital de Collipulli
- CAUSAS SISTEMA CIRCULATORIO,25,1,2,0,0,1,3,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,1,0,1,2017,Araucanía Norte,Hospital,Hospital de Collipulli
- CAUSAS SISTEMA RESPIRATORIO,145,0,1,1,0,2,3,5,3,1,1,1,4,3,5,2,4,5,4,3,3,4,1,6,3,2,1,3,2,2,9,6,7,3,3,4,3,2,4,2,2,5,0,1,1,4,1,1,1,1,3,5,2,2017,Araucanía Norte,Hospital,Hospital de Collipulli
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Araucanía Norte,Hospital,Hospital de Collipulli
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Araucanía Norte,Hospital,Hospital de Collipulli
- TRAUMATISMOS Y ENVENENAMIENTOS,59,0,2,1,4,2,1,1,1,0,0,3,1,4,2,3,1,0,1,1,1,2,0,1,2,2,0,2,0,1,2,1,4,1,0,0,0,0,0,1,0,0,0,4,1,1,0,0,1,1,2,1,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
- LAS DEMÁS CAUSAS,422,6,4,3,6,6,8,7,9,8,4,8,10,9,12,7,11,11,7,5,10,9,9,6,10,6,9,14,10,13,9,11,7,6,5,13,5,7,10,12,11,12,9,5,8,3,9,6,6,3,8,9,11,2017,Araucanía Norte,Hospital,Hospital de Collipulli
CIRUGÍAS DE URGENCIA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2017,Araucanía Norte,Hospital,Hospital de Collipulli
