Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Chiloé,Hospital,Hospital de Quellón
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,30286,566,519,553,554,518,490,560,541,488,551,634,638,586,621,580,628,640,633,658,614,620,587,653,594,571,525,559,489,456,484,527,568,542,516,539,594,592,582,619,619,605,625,604,623,661,692,667,585,606,624,602,584,2017,Chiloé,Hospital,Hospital de Quellón
TOTAL CAUSAS SISTEMA RESPIRATORIO,5713,111,77,80,73,52,65,68,42,47,71,113,136,107,107,102,130,123,138,186,168,193,161,221,195,153,121,125,131,111,93,73,87,110,95,85,121,102,108,96,94,92,79,93,100,129,109,129,112,90,118,99,92,2017,Chiloé,Hospital,Hospital de Quellón
IRA Alta (J00-J06),3948,84,61,49,51,45,49,41,37,40,59,94,88,84,85,78,87,79,92,114,110,129,116,144,129,98,71,94,85,74,65,46,63,72,60,60,78,75,79,56,69,59,63,68,70,77,75,98,84,59,69,67,69,2017,Chiloé,Hospital,Hospital de Quellón
Influenza (J09-J11),180,0,0,2,0,0,0,0,0,0,0,2,0,1,2,2,1,2,2,5,8,10,10,31,25,18,10,4,12,9,2,4,1,3,1,0,0,1,0,3,1,2,1,1,2,0,1,0,0,0,1,0,0,2017,Chiloé,Hospital,Hospital de Quellón
Neumonía (J12-J18),278,5,3,5,6,1,1,6,0,2,1,3,5,2,1,3,4,5,11,7,5,8,9,9,8,8,9,6,3,7,7,5,6,10,7,7,10,7,2,7,4,5,2,4,5,13,3,2,3,7,9,7,3,2017,Chiloé,Hospital,Hospital de Quellón
Bronquitis/bronquiolitis aguda (J20-J21),712,7,8,11,9,2,6,3,3,1,2,10,22,10,10,12,22,30,27,33,30,22,15,21,24,19,25,12,22,11,13,9,6,15,15,15,17,13,17,16,11,10,8,7,11,11,17,17,14,11,18,5,7,2017,Chiloé,Hospital,Hospital de Quellón
Crisis obstructiva bronquial (J40-J46),357,9,4,10,7,2,3,4,1,4,6,4,12,7,7,6,7,5,5,9,12,8,10,12,7,5,3,4,6,6,6,8,8,9,10,1,12,5,10,10,2,11,4,4,9,6,7,6,9,10,6,7,12,2017,Chiloé,Hospital,Hospital de Quellón
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",238,6,1,3,0,2,6,14,1,0,3,0,9,3,2,1,9,2,1,18,3,16,1,4,2,5,3,5,3,4,0,1,3,1,2,2,4,1,0,4,7,5,1,9,3,22,6,6,2,3,15,13,1,2017,Chiloé,Hospital,Hospital de Quellón
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Chiloé,Hospital,Hospital de Quellón
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Chiloé,Hospital,Hospital de Quellón
TOTAL CAUSAS SISTEMA CIRCULATORIO,510,7,10,4,14,16,4,7,14,9,14,11,12,4,10,10,8,16,11,10,7,9,14,14,3,12,9,6,5,10,20,13,10,15,3,5,10,17,4,13,9,5,11,7,14,16,11,6,7,7,11,8,8,2017,Chiloé,Hospital,Hospital de Quellón
Infarto agudo miocardio,22,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,2,0,0,1,0,0,0,2017,Chiloé,Hospital,Hospital de Quellón
Accidente vascular encefálico,67,0,0,1,0,0,0,1,2,1,3,0,1,0,2,1,1,2,1,2,2,4,5,3,0,1,1,1,0,0,0,2,2,3,0,0,2,2,1,3,0,1,3,0,1,3,1,0,1,1,2,2,2,2017,Chiloé,Hospital,Hospital de Quellón
Crisis hipertensiva,69,1,0,0,0,2,0,1,4,0,2,1,1,0,2,1,0,4,2,2,2,0,1,3,0,1,0,2,1,0,1,3,1,1,0,2,3,4,1,1,0,2,3,0,2,5,1,1,0,2,2,1,0,2017,Chiloé,Hospital,Hospital de Quellón
Arritmia grave,84,1,4,0,5,7,1,1,2,3,1,2,4,1,0,4,3,3,0,1,1,1,0,0,0,2,0,0,1,2,4,3,0,1,2,0,3,2,2,2,2,1,0,2,1,2,1,1,0,1,1,1,2,2017,Chiloé,Hospital,Hospital de Quellón
Otras causas circulatorias,268,5,6,3,9,5,3,4,6,5,8,7,6,3,6,4,3,6,8,4,2,3,3,7,3,7,8,3,3,8,15,5,7,10,1,3,2,8,0,6,4,1,5,5,10,6,6,4,6,2,6,4,4,2017,Chiloé,Hospital,Hospital de Quellón
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,5091,80,81,99,86,98,91,102,88,60,97,113,127,121,100,100,104,119,110,113,104,106,90,91,90,75,78,90,85,53,71,76,113,94,85,100,102,79,75,115,123,117,133,102,100,103,116,113,112,135,113,85,78,2017,Chiloé,Hospital,Hospital de Quellón
Accidentes del tránsito,142,4,2,0,2,8,4,3,5,7,3,4,1,2,0,0,5,5,1,5,4,2,1,2,4,2,6,0,3,2,1,3,7,2,0,0,2,5,0,6,0,6,2,0,1,0,2,0,0,5,10,3,0,2017,Chiloé,Hospital,Hospital de Quellón
Otras causas externas,4949,76,79,99,84,90,87,99,83,53,94,109,126,119,100,100,99,114,109,108,100,104,89,89,86,73,72,90,82,51,70,73,106,92,85,100,100,74,75,109,123,111,131,102,99,103,114,113,112,130,103,82,78,2017,Chiloé,Hospital,Hospital de Quellón
DIARREA AGUDA (A00-A09),2231,49,36,45,43,39,34,35,41,28,33,45,52,23,34,31,53,32,39,38,32,31,29,49,23,34,25,27,34,26,34,43,63,56,52,39,62,73,77,44,56,51,52,54,40,34,43,66,37,43,58,53,61,2017,Chiloé,Hospital,Hospital de Quellón
TOTAL DEMÁS CAUSAS,16741,319,315,325,338,313,296,348,356,344,336,352,311,331,370,337,333,350,335,311,303,281,293,278,283,297,292,311,234,256,266,322,295,267,281,310,299,321,318,351,337,340,350,348,369,379,413,353,317,331,324,357,345,2017,Chiloé,Hospital,Hospital de Quellón
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,1255,19,19,22,23,24,23,21,17,23,27,33,20,19,24,27,22,20,27,26,18,30,29,29,30,26,21,27,15,17,19,23,20,31,37,33,27,21,21,29,24,27,26,24,18,24,30,13,24,25,33,20,28,2017,Chiloé,Hospital,Hospital de Quellón
- CAUSAS SISTEMA CIRCULATORIO,189,2,3,5,6,4,8,5,3,8,6,4,5,4,3,5,5,3,7,5,2,4,4,5,4,5,1,2,1,2,2,4,3,3,1,0,1,5,3,3,5,0,2,4,5,4,4,0,0,4,6,4,5,2017,Chiloé,Hospital,Hospital de Quellón
- CAUSAS SISTEMA RESPIRATORIO,188,3,2,4,3,2,1,3,1,1,2,2,2,4,1,3,1,1,7,5,3,7,4,4,8,6,4,5,4,4,6,6,2,5,5,4,4,2,3,6,5,4,5,2,1,5,3,0,5,4,6,4,4,2017,Chiloé,Hospital,Hospital de Quellón
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Chiloé,Hospital,Hospital de Quellón
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Chiloé,Hospital,Hospital de Quellón
- TRAUMATISMOS Y ENVENENAMIENTOS,77,4,1,1,1,1,3,1,1,2,1,2,0,1,2,5,0,1,1,1,2,3,0,0,1,1,4,1,2,1,1,0,0,2,4,4,1,1,0,1,2,2,2,1,0,1,4,1,1,2,2,0,1,2017,Chiloé,Hospital,Hospital de Quellón
- LAS DEMÁS CAUSAS,801,10,13,12,13,17,11,12,12,12,18,25,13,10,18,14,16,15,12,15,11,16,21,20,17,14,12,19,8,10,10,13,15,21,27,25,21,13,15,19,12,21,17,17,12,14,19,12,18,15,19,12,18,2017,Chiloé,Hospital,Hospital de Quellón
CIRUGÍAS DE URGENCIA,99,1,5,0,2,1,3,3,0,2,2,2,3,3,5,2,2,3,1,3,0,2,1,2,2,4,1,0,0,1,1,1,4,0,2,1,1,5,3,3,2,3,1,2,1,0,2,0,2,1,2,6,0,2017,Chiloé,Hospital,Hospital de Quellón
