Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,17840,307,258,283,280,309,309,281,269,292,263,354,381,403,329,335,400,361,397,378,406,402,391,390,395,384,432,401,339,323,301,284,353,360,369,357,359,337,417,329,347,354,382,370,305,303,317,349,330,328,338,309,290,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
TOTAL CAUSAS SISTEMA RESPIRATORIO,5685,59,42,49,48,46,50,33,32,44,42,99,99,109,90,84,102,130,134,116,172,174,221,181,153,160,215,191,184,125,102,95,142,179,158,149,149,133,141,114,99,93,126,121,95,79,83,81,68,62,70,78,84,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
IRA Alta (J00-J06),3386,43,27,38,31,30,41,29,19,30,31,70,64,79,54,51,68,80,88,52,110,96,122,108,78,81,159,78,89,49,51,37,55,94,80,83,78,88,89,71,60,59,97,80,60,41,68,55,39,46,51,52,57,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
Influenza (J09-J11),194,0,0,0,2,0,0,0,0,1,0,3,6,2,1,3,3,12,16,8,3,7,8,17,6,8,6,8,6,6,2,5,11,10,12,2,3,1,0,1,1,2,1,6,2,0,0,0,2,0,0,1,0,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
Neumonía (J12-J18),209,8,5,1,1,3,1,1,1,2,0,3,3,2,1,4,1,2,4,1,5,8,3,3,4,5,10,5,10,3,5,2,2,5,10,3,9,5,13,6,6,7,2,3,3,6,4,3,2,3,4,3,3,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
Bronquitis/bronquiolitis aguda (J20-J21),1028,4,3,4,10,3,0,2,5,5,6,13,20,16,25,16,20,25,19,34,36,33,45,21,22,16,32,39,32,30,24,21,34,27,31,31,44,27,30,25,22,18,18,23,20,26,9,11,20,10,9,5,7,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
Crisis obstructiva bronquial (J40-J46),128,1,0,0,2,2,3,1,1,1,3,4,4,2,6,2,3,4,3,0,3,1,6,3,0,0,2,0,2,0,3,0,0,1,3,0,5,5,6,6,3,2,6,2,1,4,0,2,3,2,2,4,9,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",740,3,7,6,2,8,5,0,6,5,2,6,2,8,3,8,7,7,4,21,15,29,37,29,43,50,6,61,45,37,17,30,40,42,22,30,10,7,3,5,7,5,2,7,9,2,2,10,2,1,4,13,8,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Concepción,Hospital,Hospital Clorinda Avello (Santa Juana)
