Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Concepción,SAPU,SAPU Yobilo
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27458,422,399,402,368,376,314,392,379,382,442,498,586,504,463,545,494,492,555,549,623,694,773,713,690,560,608,528,521,448,431,479,483,596,593,572,689,609,741,641,392,554,632,606,539,569,521,487,509,550,521,500,524,2017,Concepción,SAPU,SAPU Yobilo
TOTAL CAUSAS SISTEMA RESPIRATORIO,12734,126,103,85,74,95,71,79,89,96,139,235,278,229,203,234,191,210,235,285,343,404,474,462,442,319,329,289,290,209,198,216,245,344,296,309,392,349,391,314,185,253,308,258,249,240,253,224,214,249,221,196,212,2017,Concepción,SAPU,SAPU Yobilo
IRA Alta (J00-J06),10220,114,85,74,67,85,61,67,84,83,121,207,249,203,179,198,159,190,204,250,286,335,383,354,362,257,271,222,222,167,133,160,191,272,236,260,325,260,306,263,139,174,231,198,188,156,208,185,149,187,141,138,181,2017,Concepción,SAPU,SAPU Yobilo
Influenza (J09-J11),81,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,3,3,14,16,12,6,1,1,0,1,0,0,2,3,2,0,2,0,4,1,0,1,2,0,0,1,1,0,0,0,0,0,0,2017,Concepción,SAPU,SAPU Yobilo
Neumonía (J12-J18),104,0,2,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2,0,3,3,3,5,5,9,2,3,0,4,3,4,1,3,1,4,3,2,4,1,3,3,2,1,4,0,3,2,1,3,1,2,2017,Concepción,SAPU,SAPU Yobilo
Bronquitis/bronquiolitis aguda (J20-J21),1643,6,12,7,4,3,3,6,1,8,9,14,27,22,17,29,15,11,19,29,46,57,61,71,50,38,38,51,48,31,45,39,33,55,38,35,54,56,55,34,38,40,36,39,38,47,35,24,37,38,36,36,22,2017,Concepción,SAPU,SAPU Yobilo
Crisis obstructiva bronquial (J40-J46),200,6,2,2,2,6,7,5,3,2,8,12,1,3,5,7,14,7,4,1,7,5,3,8,7,3,3,2,2,1,3,5,3,2,4,3,0,3,3,0,3,2,0,0,2,8,4,1,3,2,1,7,3,2017,Concepción,SAPU,SAPU Yobilo
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",486,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,2,1,1,10,10,6,10,7,11,15,9,13,9,12,11,13,10,7,27,21,12,4,33,36,19,20,24,5,11,23,21,40,14,4,2017,Concepción,SAPU,SAPU Yobilo
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Concepción,SAPU,SAPU Yobilo
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Concepción,SAPU,SAPU Yobilo
TOTAL CAUSAS SISTEMA CIRCULATORIO,438,5,8,5,9,5,10,7,14,13,15,1,7,15,9,12,26,8,24,7,8,2,10,10,4,5,4,6,9,5,2,7,2,6,19,4,7,7,2,9,13,10,7,5,18,17,9,5,2,6,6,8,4,2017,Concepción,SAPU,SAPU Yobilo
Infarto agudo miocardio,18,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2017,Concepción,SAPU,SAPU Yobilo
Accidente vascular encefálico,23,0,1,0,1,1,1,0,0,0,2,0,3,0,1,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,2017,Concepción,SAPU,SAPU Yobilo
Crisis hipertensiva,72,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,3,0,2,0,0,1,0,0,0,2,2,1,3,0,1,3,1,4,3,1,3,4,0,4,2,3,3,4,4,2,2,2,0,3,0,2,2,2017,Concepción,SAPU,SAPU Yobilo
Arritmia grave,18,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,2,2,0,1,0,2017,Concepción,SAPU,SAPU Yobilo
