Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,19824,359,364,368,269,288,336,338,385,301,355,372,374,299,441,330,384,353,265,247,382,457,461,491,373,532,500,457,378,384,395,369,434,463,295,442,391,446,410,453,419,430,456,445,418,436,321,354,384,281,349,289,301,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
TOTAL CAUSAS SISTEMA RESPIRATORIO,7477,99,76,87,51,62,74,68,88,81,105,149,156,106,175,158,148,145,116,106,132,189,232,264,220,270,250,219,179,166,149,168,190,211,104,217,140,176,153,172,163,154,157,162,153,147,91,122,124,97,95,82,79,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
IRA Alta (J00-J06),5351,73,60,56,41,51,58,51,66,72,71,103,118,79,119,124,110,107,86,83,90,140,166,200,186,206,212,141,139,116,107,131,119,57,18,128,67,138,114,132,119,110,113,131,118,114,68,93,87,71,72,59,61,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
Influenza (J09-J11),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,2,4,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
Neumonía (J12-J18),97,2,1,2,1,2,1,2,2,0,0,1,1,1,1,1,0,2,0,0,2,2,3,1,3,3,4,2,4,4,0,4,1,0,0,2,10,1,0,4,4,0,4,3,2,2,0,3,5,0,0,2,2,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
Bronquitis/bronquiolitis aguda (J20-J21),1016,17,10,15,7,8,8,8,7,5,16,21,23,11,27,21,20,14,15,19,18,19,31,28,21,29,15,25,13,25,25,24,37,42,31,30,26,20,29,20,17,26,23,15,20,21,12,18,22,21,17,12,12,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
Crisis obstructiva bronquial (J40-J46),129,1,1,1,0,0,2,2,2,0,4,4,4,2,6,2,4,2,3,1,3,2,0,1,0,3,1,3,4,3,2,1,3,4,5,8,4,2,0,7,6,8,1,4,4,3,3,1,0,0,1,1,0,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",857,6,4,13,2,1,5,5,11,4,14,20,10,13,22,10,14,20,12,3,18,26,32,29,10,23,16,44,18,17,15,7,30,108,50,49,33,12,10,9,17,10,16,9,9,7,5,7,10,5,5,8,4,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Coquimbo,SAPU,Consultorio Emilio Schaffhauser
