Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Del Maule,SAR,SAR Parral
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27895,451,448,441,460,391,330,368,419,388,382,507,505,506,457,553,481,449,467,481,432,520,565,618,569,586,632,450,511,486,465,461,460,541,536,523,538,503,678,567,653,737,701,667,618,641,677,687,662,741,662,590,734,2017,Del Maule,SAR,SAR Parral
TOTAL CAUSAS SISTEMA RESPIRATORIO,11887,131,139,121,99,91,86,98,101,95,154,242,247,272,219,249,229,228,240,239,253,313,371,378,342,338,344,242,273,277,244,232,247,296,301,283,279,266,326,219,242,292,262,238,220,217,223,211,205,201,182,147,143,2017,Del Maule,SAR,SAR Parral
IRA Alta (J00-J06),10055,121,125,108,83,81,77,82,90,87,136,226,226,239,193,218,207,199,207,196,219,265,315,315,288,277,283,206,222,224,194,189,212,256,244,231,213,213,256,191,206,231,212,205,183,192,188,183,165,163,147,134,132,2017,Del Maule,SAR,SAR Parral
Influenza (J09-J11),12,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2017,Del Maule,SAR,SAR Parral
Neumonía (J12-J18),119,0,3,3,3,0,0,1,0,2,2,2,1,1,4,1,1,1,1,4,2,1,3,3,1,4,5,3,2,0,2,5,5,3,1,1,7,2,5,5,1,2,4,2,6,2,2,2,3,1,3,0,1,2017,Del Maule,SAR,SAR Parral
Bronquitis/bronquiolitis aguda (J20-J21),1404,8,6,6,9,6,9,7,8,5,10,14,18,31,18,26,17,23,27,36,27,42,51,59,45,48,46,27,45,45,41,35,27,32,41,46,56,45,46,16,31,48,42,24,24,17,21,17,20,22,22,7,5,2017,Del Maule,SAR,SAR Parral
Crisis obstructiva bronquial (J40-J46),233,2,3,3,4,1,0,5,1,1,2,0,2,1,4,3,4,4,3,2,2,3,0,1,4,8,10,6,4,8,7,3,3,4,15,4,2,5,19,7,3,8,4,4,6,6,7,5,12,8,3,4,3,2017,Del Maule,SAR,SAR Parral
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",64,0,2,1,0,3,0,2,2,0,2,0,0,0,0,1,0,1,2,1,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,3,0,3,1,0,5,4,4,7,6,1,2,2017,Del Maule,SAR,SAR Parral
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Del Maule,SAR,SAR Parral
