Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,6929,136,110,128,146,149,129,150,100,107,105,164,154,206,158,124,130,138,148,138,132,182,161,198,205,151,165,116,130,120,129,95,151,128,132,138,113,115,134,214,140,87,139,123,94,202,219,118,87,60,44,36,51,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
TOTAL CAUSAS SISTEMA RESPIRATORIO,1759,31,16,19,11,28,10,15,5,13,16,41,39,47,29,25,23,27,24,28,49,51,69,84,89,61,53,45,34,33,30,19,44,42,33,33,22,37,30,66,39,31,44,44,31,50,49,46,19,16,7,9,3,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
IRA Alta (J00-J06),517,6,0,2,0,5,2,0,0,0,2,4,1,8,0,3,3,1,2,2,1,1,0,1,0,1,0,9,9,2,12,4,29,4,1,0,0,18,22,53,24,26,37,35,27,36,44,41,16,12,3,5,3,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Influenza (J09-J11),46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,5,1,1,6,7,2,0,0,0,1,0,1,10,0,1,0,1,2,1,1,0,0,1,1,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Neumonía (J12-J18),25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,1,0,0,0,3,1,0,0,0,1,1,1,0,2,0,1,0,3,0,1,0,0,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Bronquitis/bronquiolitis aguda (J20-J21),193,1,3,3,3,4,0,2,0,1,3,2,4,4,2,3,1,4,3,5,7,8,6,3,10,12,2,5,0,1,4,3,2,7,2,9,1,8,3,9,4,3,5,7,2,8,1,3,2,3,2,3,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Crisis obstructiva bronquial (J40-J46),21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,0,2,0,0,0,1,2,1,1,0,0,0,1,1,1,0,1,1,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",957,24,13,12,8,19,7,13,5,11,11,34,34,35,27,19,19,22,19,21,41,40,59,78,79,47,47,30,18,29,12,4,3,26,30,24,21,8,2,1,0,0,1,1,0,0,2,0,0,0,1,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
TOTAL CAUSAS SISTEMA CIRCULATORIO,66,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,3,1,5,1,3,4,7,3,6,12,2,1,3,0,2,1,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Infarto agudo miocardio,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Accidente vascular encefálico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Crisis hipertensiva,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,3,1,0,1,1,0,0,1,0,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Arritmia grave,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Otras causas circulatorias,43,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,3,6,1,4,12,2,0,3,0,1,1,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,3868,105,94,107,133,121,119,135,95,94,89,123,115,159,127,99,106,111,124,110,83,131,91,114,116,90,111,48,56,87,56,31,3,76,99,105,91,38,19,31,23,13,19,19,12,33,41,22,15,9,7,4,9,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Accidentes del tránsito,26,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,6,2,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
Otras causas externas,3842,104,94,107,133,121,119,135,91,94,88,123,115,159,127,99,106,111,124,108,83,131,91,114,115,90,111,48,54,81,54,30,0,76,99,105,91,36,18,31,23,13,19,19,12,33,41,22,15,9,7,4,9,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
DIARREA AGUDA (A00-A09),129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,17,0,0,0,0,7,8,15,3,2,4,9,1,18,13,6,4,5,3,1,5,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
TOTAL DEMÁS CAUSAS,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,39,0,43,43,84,10,0,0,0,30,76,97,74,38,68,44,47,95,104,42,48,27,27,20,33,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Del Reloncaví,SAPU,Centro de Salud Familiar Río Negro Hornopirén
