Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,16443,274,304,285,341,316,269,313,326,321,239,174,220,386,360,323,355,258,249,306,302,339,355,371,402,384,348,279,290,248,283,292,281,307,313,310,325,300,376,343,316,332,337,367,358,344,334,321,316,303,323,362,363,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
TOTAL CAUSAS SISTEMA RESPIRATORIO,4550,40,36,42,29,19,33,44,47,50,39,46,56,119,94,83,86,87,74,79,103,136,174,181,215,173,145,99,120,98,89,89,102,101,115,129,133,101,122,84,92,92,102,85,106,73,67,61,60,52,54,46,48,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
IRA Alta (J00-J06),3480,29,22,29,18,11,25,30,34,28,29,43,48,97,75,62,60,62,62,58,76,108,137,149,186,148,115,77,92,69,59,61,75,81,75,77,112,80,79,57,80,81,87,71,59,50,48,54,51,44,48,38,34,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
Influenza (J09-J11),14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
Neumonía (J12-J18),95,0,0,0,1,1,2,0,1,3,2,0,0,0,1,4,2,1,1,0,0,0,6,2,2,0,3,3,6,3,4,5,2,2,6,1,3,3,3,2,1,2,3,1,0,0,1,5,0,3,0,0,4,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
Bronquitis/bronquiolitis aguda (J20-J21),422,1,3,1,1,1,2,2,4,11,5,1,5,13,7,6,11,8,6,11,10,13,19,18,19,13,13,4,10,11,13,10,15,8,22,12,9,8,22,17,5,8,9,4,3,9,3,1,5,3,1,4,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
Crisis obstructiva bronquial (J40-J46),387,8,7,9,9,6,4,9,8,4,3,2,2,8,10,9,9,14,4,9,13,12,10,6,5,12,11,15,6,12,13,12,6,8,7,18,6,9,9,7,6,0,1,7,18,3,2,1,4,2,5,1,6,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",152,0,4,3,0,0,0,3,0,4,0,0,1,1,1,1,2,2,0,1,1,3,2,5,3,0,3,0,6,3,0,1,4,1,5,21,2,1,9,1,0,1,2,1,26,11,13,0,0,0,0,2,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Chépica
