Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,29511,498,503,474,570,618,531,532,526,480,489,594,603,632,558,618,557,539,515,532,560,686,806,717,678,576,622,512,502,455,504,497,581,573,585,547,552,537,650,582,543,542,594,594,562,597,558,587,573,550,540,595,585,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
TOTAL CAUSAS SISTEMA RESPIRATORIO,5123,39,52,43,36,46,72,32,61,61,53,103,131,148,131,137,96,102,93,98,142,235,271,186,172,113,133,110,125,88,80,65,123,105,122,93,96,110,116,87,91,76,79,100,74,79,76,67,73,80,62,95,65,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
IRA Alta (J00-J06),4114,35,46,35,24,28,67,22,53,50,45,90,115,131,119,129,80,93,77,74,117,195,217,164,154,93,102,81,99,64,66,53,88,76,94,68,75,75,84,68,67,51,46,74,59,50,58,56,61,63,49,78,56,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Influenza (J09-J11),4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Neumonía (J12-J18),195,1,0,2,0,1,0,2,1,6,2,2,2,9,0,2,4,0,3,3,7,4,5,5,2,8,11,11,6,6,2,2,6,2,4,11,5,7,4,7,5,5,1,7,1,3,4,3,3,3,3,1,1,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Bronquitis/bronquiolitis aguda (J20-J21),517,3,3,2,3,0,4,3,7,4,4,10,11,8,11,5,11,6,9,14,12,27,37,13,8,9,17,11,11,11,6,7,19,21,17,9,8,20,19,10,10,6,13,10,6,10,10,6,6,9,8,11,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Crisis obstructiva bronquial (J40-J46),12,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",281,0,3,4,6,11,1,5,0,1,2,1,3,0,1,1,1,3,4,7,6,9,12,4,8,3,3,7,2,7,6,3,10,6,7,5,8,8,9,2,9,14,19,9,8,16,4,2,3,5,2,5,6,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
TOTAL CAUSAS SISTEMA CIRCULATORIO,304,8,10,4,5,10,5,5,6,5,4,8,5,5,9,5,12,7,8,7,4,3,7,3,3,4,4,4,15,9,6,5,10,5,8,6,7,14,4,6,4,0,11,5,4,5,4,1,1,3,4,5,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Infarto agudo miocardio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Accidente vascular encefálico,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Crisis hipertensiva,288,8,10,4,5,9,5,5,6,5,4,8,5,5,9,5,12,6,8,7,4,3,7,3,3,4,4,4,5,9,6,5,10,5,8,6,7,14,4,6,4,0,7,5,4,5,4,1,1,3,4,5,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Arritmia grave,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Otras causas circulatorias,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,164,6,4,0,0,2,3,8,1,1,2,2,1,6,1,0,0,1,0,1,5,4,6,0,2,0,1,0,2,2,0,0,0,0,0,0,1,2,0,0,0,65,11,0,0,14,4,0,1,3,0,0,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Accidentes del tránsito,79,6,4,0,0,2,3,8,1,1,2,2,1,6,1,0,0,1,0,1,5,4,6,0,2,0,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,4,0,1,3,0,0,2,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
Otras causas externas,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,11,0,0,14,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
DIARREA AGUDA (A00-A09),85,0,1,1,0,3,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,1,0,1,0,0,2,2,2,1,2,2,4,13,12,2,1,3,1,2,2,1,0,5,4,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
TOTAL DEMÁS CAUSAS,23835,445,436,426,529,557,449,487,456,413,429,480,466,473,417,476,448,429,414,426,409,444,522,528,501,458,484,397,352,355,418,426,448,463,453,446,446,410,528,487,444,388,481,487,483,496,473,517,496,463,474,490,512,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Las Cabras
