Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7662,140,129,92,125,136,141,177,168,128,134,175,182,152,136,185,171,122,146,133,112,144,126,148,173,129,181,127,128,159,138,129,117,136,131,132,139,157,224,157,144,172,162,198,142,132,172,153,155,157,125,137,154,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
TOTAL CAUSAS SISTEMA RESPIRATORIO,2199,20,17,10,8,14,17,25,16,14,35,60,56,52,46,63,51,32,29,37,24,43,38,51,79,58,86,49,44,71,49,31,44,70,46,56,58,57,74,73,41,44,39,64,48,40,36,38,33,54,17,21,21,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
IRA Alta (J00-J06),805,8,4,2,5,11,8,22,9,6,18,13,12,6,5,11,10,2,5,5,13,1,17,13,25,24,37,10,4,46,6,8,18,21,14,14,26,32,11,40,15,21,26,44,24,28,24,1,16,18,15,17,14,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
Influenza (J09-J11),17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
Neumonía (J12-J18),61,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,3,0,0,1,0,2,3,0,0,3,1,2,6,4,8,5,4,0,0,1,0,2,1,1,4,1,2,1,0,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
Bronquitis/bronquiolitis aguda (J20-J21),142,2,0,1,0,1,3,0,1,2,3,5,6,8,3,1,0,4,2,1,0,3,0,1,3,2,4,6,1,11,1,1,5,5,5,4,5,3,2,9,1,4,6,6,0,0,1,4,1,4,0,1,0,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
Crisis obstructiva bronquial (J40-J46),41,0,1,0,0,0,3,3,0,0,0,1,1,0,4,0,1,2,0,2,0,0,1,0,1,1,3,0,0,3,0,1,0,1,2,0,1,2,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1133,10,12,7,3,2,3,0,6,6,14,39,37,37,34,51,40,22,22,28,10,39,20,37,47,24,39,27,39,9,39,21,21,40,24,36,20,16,53,18,21,19,7,13,22,6,10,32,11,31,0,2,7,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Libertador B. O'Higgins,SAPU,Consultorio Paredones
