Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,22861,374,389,375,339,319,296,318,389,337,407,470,520,473,458,484,463,425,513,456,453,562,553,547,532,526,512,472,400,361,404,390,381,445,459,412,432,433,489,418,421,445,472,499,458,431,429,485,411,506,480,382,456,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
TOTAL CAUSAS SISTEMA RESPIRATORIO,8505,89,93,103,83,70,58,75,83,68,139,205,208,176,175,222,181,177,215,213,209,306,331,342,310,301,284,250,195,161,169,157,158,195,166,161,152,148,165,131,141,132,142,131,117,130,116,142,115,118,150,77,70,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
IRA Alta (J00-J06),6315,70,76,82,73,54,43,63,65,56,94,155,110,126,121,153,112,135,156,114,115,216,246,177,231,218,238,187,148,119,129,119,130,158,134,123,120,130,133,99,117,107,117,109,102,98,93,109,88,96,124,65,62,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Influenza (J09-J11),6,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Neumonía (J12-J18),101,2,0,0,1,1,1,1,1,0,3,2,1,1,0,3,1,2,2,2,2,2,3,2,2,4,6,2,5,4,1,5,7,6,3,4,3,1,2,1,0,3,0,2,0,1,0,2,0,1,1,1,1,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Bronquitis/bronquiolitis aguda (J20-J21),713,0,4,2,0,6,0,2,4,4,7,7,16,14,11,7,3,7,8,19,23,17,30,41,36,34,26,34,28,27,23,18,14,19,17,18,22,3,21,13,17,15,11,12,6,14,10,8,9,12,7,4,3,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Crisis obstructiva bronquial (J40-J46),373,7,4,4,1,3,1,5,2,2,7,4,5,8,1,12,15,5,7,7,8,6,9,8,21,14,13,23,13,7,10,12,5,10,8,6,6,12,7,8,3,5,6,2,3,6,7,11,9,7,4,2,2,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",997,10,9,13,8,6,13,4,11,6,28,37,76,25,41,47,50,28,42,71,61,65,43,114,20,30,1,4,1,4,6,3,2,2,4,10,1,2,2,10,4,2,8,6,6,11,6,12,9,2,14,5,2,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
TOTAL CAUSAS SISTEMA CIRCULATORIO,424,7,6,5,7,10,6,6,2,5,9,8,3,4,6,5,13,16,9,7,9,15,11,11,10,10,14,13,11,12,12,6,3,10,6,8,12,14,13,11,6,5,5,9,8,5,5,5,7,5,5,7,7,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Infarto agudo miocardio,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Accidente vascular encefálico,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Crisis hipertensiva,288,6,5,2,5,8,3,4,2,3,7,8,2,3,5,2,7,14,4,6,7,8,8,9,5,7,13,8,9,7,10,4,1,8,4,5,6,12,10,8,3,4,3,7,3,2,4,2,5,2,3,4,1,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Arritmia grave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
Otras causas circulatorias,126,1,1,2,2,2,3,2,0,2,2,0,1,1,1,3,5,2,5,1,2,6,3,1,5,3,1,5,1,4,2,2,1,1,2,3,6,2,3,3,3,1,2,2,4,3,1,3,2,2,2,3,6,2017,Metropolitano Norte,SAPU,Centro de Salud Familiar Batuco
