Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7104,124,135,157,118,103,101,114,112,121,85,80,104,124,122,111,139,97,103,129,120,127,137,120,122,149,154,144,126,118,138,154,192,169,170,177,148,175,180,137,142,137,169,162,152,173,184,141,138,142,148,159,121,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
TOTAL CAUSAS SISTEMA RESPIRATORIO,2859,36,27,26,27,17,37,32,21,25,25,18,42,46,31,42,57,36,42,56,65,68,80,69,48,95,97,85,70,56,71,60,108,99,91,107,67,86,81,61,49,42,56,60,56,64,67,43,49,44,47,41,34,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
IRA Alta (J00-J06),1768,27,20,19,16,12,27,24,16,21,16,12,30,32,22,28,34,21,25,35,53,46,43,32,27,65,53,54,44,33,38,38,58,55,51,49,31,52,54,38,21,32,43,36,36,42,48,27,30,24,28,30,20,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
Influenza (J09-J11),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
Neumonía (J12-J18),153,2,1,2,0,0,3,2,0,0,1,0,0,3,4,2,1,3,2,1,1,2,3,9,4,2,6,4,7,4,4,4,8,7,6,7,8,3,4,3,2,1,0,7,0,1,6,2,6,1,1,1,2,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
Bronquitis/bronquiolitis aguda (J20-J21),735,5,4,5,8,4,6,5,4,4,6,2,10,8,2,8,10,9,10,14,7,12,23,21,14,18,29,25,15,16,22,15,38,28,26,42,25,29,22,17,22,9,12,14,19,20,9,12,8,16,12,5,9,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
Crisis obstructiva bronquial (J40-J46),33,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,2,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",154,0,2,0,3,1,1,1,1,0,2,4,2,3,2,2,4,2,3,4,0,2,7,4,2,9,8,2,4,3,7,3,4,9,8,7,3,1,1,3,4,0,1,3,1,1,4,2,3,3,3,2,3,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,Posta de Salud Rural Villa Alhué
