Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,SAPU-Garín
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,48941,1032,963,947,875,835,827,826,862,744,879,996,989,951,939,1038,1053,966,1036,942,990,1042,950,1134,1085,1097,1124,953,841,788,805,832,836,1024,1004,909,852,887,1003,860,826,918,923,973,960,991,990,954,928,860,921,955,1026,2017,Metropolitano Occidente,SAPU,SAPU-Garín
TOTAL CAUSAS SISTEMA RESPIRATORIO,15343,194,196,160,132,158,166,133,157,113,191,297,276,305,300,363,307,322,357,324,449,524,466,632,584,542,523,423,364,297,303,282,323,392,365,297,260,307,307,224,217,226,237,276,290,257,252,280,218,185,191,204,195,2017,Metropolitano Occidente,SAPU,SAPU-Garín
IRA Alta (J00-J06),11506,153,156,127,105,126,125,109,121,76,162,223,223,231,243,288,236,246,277,249,345,408,351,444,414,375,331,320,248,215,234,212,222,261,274,225,200,231,214,159,159,161,170,184,225,194,208,211,191,147,151,183,163,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Influenza (J09-J11),50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,8,1,5,3,3,1,1,2,0,0,0,0,1,0,0,1,0,2,0,0,1,2,5,4,1,0,0,1,0,1,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Neumonía (J12-J18),552,4,4,7,3,5,8,3,8,11,4,7,2,10,6,7,2,10,9,5,11,21,10,20,29,29,30,8,33,23,16,14,20,26,19,11,11,13,11,10,11,5,7,11,10,4,2,4,2,5,4,3,4,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Bronquitis/bronquiolitis aguda (J20-J21),1578,25,16,12,16,13,14,9,12,8,15,18,22,28,25,34,33,33,33,26,36,61,64,94,83,97,92,57,66,41,38,29,33,45,39,20,23,30,26,26,25,11,18,24,19,20,15,21,6,8,8,5,6,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Crisis obstructiva bronquial (J40-J46),532,5,14,9,3,8,7,7,12,7,2,12,10,8,10,9,22,10,11,15,12,7,12,21,21,17,21,4,10,10,9,11,12,10,6,8,7,12,17,5,6,13,9,14,14,11,9,11,4,3,11,7,7,2017,Metropolitano Occidente,SAPU,SAPU-Garín
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1125,7,6,5,5,6,12,5,4,11,8,37,19,28,14,24,14,23,25,27,37,26,24,50,34,23,48,32,7,8,6,16,35,50,27,32,19,19,39,24,15,34,28,39,21,28,18,32,15,21,17,6,15,2017,Metropolitano Occidente,SAPU,SAPU-Garín
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,SAPU-Garín
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,SAPU-Garín
TOTAL CAUSAS SISTEMA CIRCULATORIO,1185,22,18,24,22,16,31,18,18,11,22,23,24,22,24,25,37,34,32,28,30,27,21,22,30,24,24,19,15,17,27,19,17,22,33,18,20,20,27,24,16,16,19,30,32,15,26,20,23,20,20,18,23,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Infarto agudo miocardio,71,1,0,2,2,2,1,1,4,3,1,0,0,2,1,1,0,2,2,1,1,2,2,0,1,2,4,0,0,1,4,0,0,0,0,1,2,1,1,2,0,1,1,1,4,1,2,0,1,3,3,2,2,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Accidente vascular encefálico,57,1,1,0,0,1,1,1,3,1,2,1,0,0,1,1,1,1,0,1,0,1,0,1,2,2,1,4,0,0,1,1,0,2,0,0,1,2,2,2,0,0,0,3,2,2,4,1,0,2,1,1,2,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Crisis hipertensiva,592,7,9,7,11,4,14,13,3,4,8,10,13,15,8,8,17,22,18,13,22,19,13,15,20,10,16,13,14,10,10,5,12,10,9,11,13,14,14,18,11,8,15,8,15,11,10,12,9,5,8,5,3,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Arritmia grave,69,5,2,1,0,0,0,0,1,1,0,0,0,0,0,1,5,3,2,4,2,1,1,2,0,2,0,2,1,0,3,3,0,1,5,1,0,1,1,0,1,1,0,4,3,0,1,2,0,1,1,3,1,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Otras causas circulatorias,396,8,6,14,9,9,15,3,7,2,11,12,11,5,14,14,14,6,10,9,5,4,5,4,7,8,3,0,0,6,9,10,5,9,19,5,4,2,9,2,4,6,3,14,8,1,9,5,13,9,7,7,15,2017,Metropolitano Occidente,SAPU,SAPU-Garín
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,7320,160,147,203,174,139,160,159,119,124,122,195,168,178,150,149,153,139,150,142,115,105,97,111,120,131,158,121,113,115,152,140,142,137,176,121,129,136,162,122,139,150,106,126,105,154,147,155,139,139,131,126,169,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Accidentes del tránsito,28,0,1,9,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,2017,Metropolitano Occidente,SAPU,SAPU-Garín
Otras causas externas,7292,160,146,194,174,139,160,159,119,124,121,195,168,178,144,149,152,139,150,142,115,105,97,111,120,131,157,121,113,115,152,138,142,137,176,121,129,136,162,122,139,150,106,126,104,154,144,155,139,138,130,126,168,2017,Metropolitano Occidente,SAPU,SAPU-Garín
DIARREA AGUDA (A00-A09),2200,27,74,117,19,25,51,35,42,44,64,52,42,52,38,36,26,56,41,41,31,25,24,29,45,34,42,21,34,36,28,11,33,34,47,41,43,52,57,49,61,51,39,53,28,51,39,57,45,24,34,18,102,2017,Metropolitano Occidente,SAPU,SAPU-Garín
TOTAL DEMÁS CAUSAS,22893,629,528,443,528,497,419,481,526,452,480,429,479,394,427,465,530,415,456,407,365,361,342,340,306,366,377,369,315,323,295,380,321,439,383,432,400,372,450,441,393,475,522,488,505,514,526,442,503,492,545,589,537,2017,Metropolitano Occidente,SAPU,SAPU-Garín
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,SAPU-Garín
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Occidente,SAPU,SAPU-Garín
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Occidente,SAPU,SAPU-Garín
