Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,58798,1190,1247,1219,1185,1157,1145,1165,1257,1218,1328,1380,1353,1220,1301,1290,1201,1085,861,897,918,952,876,899,904,872,909,949,1048,1174,1266,1182,1232,1074,1249,1248,1264,1121,1180,1361,1037,1144,1074,1105,1047,1131,1309,1277,1230,1100,1036,1197,734,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,2695,35,74,81,57,58,48,47,55,56,86,78,81,37,65,71,85,63,25,30,60,51,48,59,67,69,76,59,68,70,69,66,62,47,62,61,51,36,50,36,25,42,28,47,35,28,41,30,24,27,24,28,17,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
IRA Alta (J00-J06),528,4,21,19,17,24,12,11,9,14,20,24,27,7,14,12,27,12,2,7,2,7,4,15,7,12,6,8,14,9,9,16,10,10,13,12,13,8,8,6,2,5,5,7,5,1,8,4,4,7,3,5,0,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Influenza (J09-J11),52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,4,1,1,0,3,9,9,4,2,4,0,0,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Neumonía (J12-J18),835,18,14,13,12,16,11,8,14,6,10,8,15,15,8,17,10,18,10,6,40,22,33,24,27,21,21,17,25,28,26,26,28,11,25,25,17,17,16,12,9,14,10,20,12,13,9,14,5,10,11,13,5,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Bronquitis/bronquiolitis aguda (J20-J21),257,3,3,2,1,1,2,1,0,2,1,2,5,3,1,6,1,0,6,3,7,8,1,9,14,15,9,10,8,9,9,14,11,7,9,4,3,4,3,6,4,13,6,5,5,2,7,1,3,2,1,1,4,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Crisis obstructiva bronquial (J40-J46),315,3,4,6,2,5,1,3,8,2,5,3,6,10,4,8,5,9,3,9,5,6,3,5,9,9,7,6,8,7,7,7,5,13,7,8,10,2,11,6,4,7,4,8,6,5,9,7,9,5,4,4,6,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",708,7,32,41,25,12,22,24,24,32,50,41,28,2,38,28,41,23,4,2,5,4,6,5,10,9,24,9,9,15,14,3,8,2,8,10,8,5,12,4,5,3,3,7,7,7,8,4,3,3,5,5,2,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
TOTAL CAUSAS SISTEMA CIRCULATORIO,3269,70,58,62,49,76,61,54,64,94,84,77,82,59,87,73,73,68,58,132,59,60,34,42,48,72,92,70,73,48,92,52,71,65,58,55,50,73,66,54,50,45,53,44,47,40,53,58,60,50,45,64,45,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Infarto agudo miocardio,148,4,3,4,2,1,2,4,4,5,4,5,4,2,0,1,4,1,4,0,6,5,1,1,1,5,4,1,3,2,2,1,2,4,6,2,6,3,8,6,3,2,1,4,2,2,0,1,2,1,3,3,1,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Accidente vascular encefálico,696,13,13,11,7,12,11,11,14,7,17,17,12,8,14,20,13,21,11,9,10,12,4,10,16,13,12,15,17,12,23,20,16,15,17,11,17,13,19,13,15,11,13,10,12,9,8,19,14,17,10,21,11,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Crisis hipertensiva,220,3,10,9,11,14,8,7,6,6,10,5,5,10,7,13,2,0,4,4,7,4,1,5,1,4,2,4,5,3,8,2,5,5,1,5,2,7,2,0,1,0,2,1,2,0,5,0,0,0,0,2,0,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Arritmia grave,259,4,2,0,2,0,1,3,2,5,3,1,0,1,6,3,7,1,12,4,3,6,6,7,6,9,6,13,12,4,9,3,15,8,9,6,3,8,6,4,4,6,3,3,6,7,5,5,3,3,6,5,3,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Otras causas circulatorias,1946,46,30,38,27,49,39,29,38,71,50,49,61,38,60,36,47,45,27,115,33,33,22,19,24,41,68,37,36,27,50,26,33,33,25,31,22,42,31,31,27,26,34,26,25,22,35,33,41,29,26,33,30,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,14992,386,417,437,427,394,367,397,452,418,458,449,460,407,436,425,374,236,0,0,0,2,29,26,42,0,101,79,82,325,344,314,350,247,347,356,345,312,261,375,306,289,287,294,327,333,376,372,322,349,252,377,231,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Accidentes del tránsito,1360,22,28,33,44,14,23,40,39,26,57,38,57,30,31,28,50,41,0,0,0,0,3,7,5,0,5,2,10,48,27,12,27,25,24,45,42,56,31,37,32,22,22,23,27,46,23,41,28,24,27,27,11,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
Otras causas externas,13632,364,389,404,383,380,344,357,413,392,401,411,403,377,405,397,324,195,0,0,0,2,26,19,37,0,96,77,72,277,317,302,323,222,323,311,303,256,230,338,274,267,265,271,300,287,353,331,294,325,225,350,220,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
DIARREA AGUDA (A00-A09),609,4,29,29,30,28,14,20,28,35,34,40,30,6,27,22,31,16,23,14,13,14,8,6,9,5,8,12,11,3,4,2,4,4,3,8,2,4,4,5,2,0,0,6,4,0,2,1,5,0,0,0,0,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
TOTAL DEMÁS CAUSAS,37233,695,669,610,622,601,655,647,658,615,666,736,700,711,686,699,638,702,755,721,786,825,757,766,738,726,632,729,814,728,757,748,745,711,779,768,816,696,799,891,654,768,706,714,634,730,837,816,819,674,715,728,441,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,6321,133,111,131,121,137,140,140,119,93,139,142,136,132,144,138,123,106,86,116,105,100,134,113,125,125,129,147,152,141,135,148,161,113,112,130,111,141,105,129,97,137,105,124,88,99,120,112,105,103,94,120,74,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
- CAUSAS SISTEMA CIRCULATORIO,1217,28,17,24,25,33,32,22,22,23,30,37,31,26,28,33,24,13,14,16,22,14,24,16,26,31,32,33,43,18,28,23,33,27,25,27,23,27,24,23,23,26,18,22,10,10,17,21,15,17,11,20,10,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
- CAUSAS SISTEMA RESPIRATORIO,915,16,33,24,23,21,17,21,25,23,32,23,23,9,31,25,21,22,8,12,19,16,23,16,24,26,24,24,25,23,21,25,27,14,11,15,16,12,11,12,8,21,6,15,6,10,16,8,4,3,14,9,2,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
- TRAUMATISMOS Y ENVENENAMIENTOS,1151,29,21,27,20,26,37,32,19,15,14,25,20,23,29,19,24,13,14,25,12,13,23,21,21,18,18,22,31,35,22,23,29,19,23,23,17,27,25,17,15,23,11,23,29,13,27,16,21,27,20,31,24,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
- LAS DEMÁS CAUSAS,3038,60,40,56,53,57,54,65,53,32,63,57,62,74,56,61,54,58,50,63,52,57,64,60,54,50,55,68,53,65,64,77,72,53,53,65,55,75,45,77,51,67,70,64,43,66,60,67,65,56,49,60,38,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
CIRUGÍAS DE URGENCIA,748,17,22,23,20,19,21,16,14,16,21,18,19,8,11,12,15,19,6,6,6,14,13,8,16,15,10,20,22,12,14,23,16,15,17,24,15,14,7,12,13,14,27,10,14,5,9,15,6,10,2,12,15,2017,Metropolitano Oriente,Hospital,"Hospital Del Salvador (Santiago, Providencia)"
