Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,71104,1423,1273,1233,1284,1303,1300,1270,1235,1352,1453,1526,1700,1659,1575,1612,1575,1457,1444,1366,1449,1446,1384,1349,1332,1193,1080,944,1123,1110,1228,1304,1204,1270,1285,1253,1343,1281,1298,1507,1407,1367,1465,1461,1390,1419,1536,1555,1480,1481,1377,1328,1415,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,12858,172,156,128,128,153,128,149,134,116,140,233,277,266,281,377,368,309,320,300,347,456,390,479,454,373,334,245,317,280,271,243,278,281,298,251,260,186,211,198,220,215,221,206,163,230,242,205,193,191,147,154,184,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
IRA Alta (J00-J06),6861,106,97,81,77,92,78,86,88,72,85,147,168,192,168,246,210,191,195,167,227,256,242,248,216,151,121,85,97,76,105,110,121,129,141,130,120,92,132,103,109,129,113,115,91,113,124,102,101,112,90,92,122,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
Influenza (J09-J11),46,0,0,0,0,0,0,0,0,4,0,4,1,2,2,0,1,0,3,2,1,0,2,3,6,2,2,0,2,2,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
Neumonía (J12-J18),1368,17,12,9,15,9,9,19,9,6,13,8,15,8,17,22,30,18,22,17,19,29,30,42,48,56,45,26,55,54,46,47,43,37,36,35,51,32,22,33,41,20,33,29,18,23,31,17,25,21,20,19,10,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
Bronquitis/bronquiolitis aguda (J20-J21),1549,14,17,8,9,10,7,8,5,5,5,19,38,14,19,38,53,48,61,60,53,42,33,75,66,67,60,48,51,52,55,28,44,37,48,25,30,20,24,25,17,23,13,12,20,31,26,19,17,11,10,14,15,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
Crisis obstructiva bronquial (J40-J46),2252,22,19,16,19,31,29,29,24,24,25,44,43,37,56,54,47,35,25,38,35,102,65,78,98,65,84,78,100,80,58,45,47,58,52,45,46,27,19,27,40,36,53,31,24,33,44,48,33,21,21,19,23,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",782,13,11,14,8,11,5,7,8,5,12,11,12,13,19,17,27,17,14,16,12,27,18,33,20,32,22,8,12,16,7,12,22,20,19,16,13,15,14,10,13,6,9,19,10,29,16,19,17,26,6,10,14,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Sur,Hospital,"Hospital El Pino (Santiago, San Bernardo)"
