Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,31761,535,529,556,540,542,443,397,518,519,529,563,620,590,616,664,630,619,686,570,594,672,738,926,859,778,785,657,564,569,555,584,598,739,695,630,626,564,689,615,551,557,660,653,641,625,590,642,572,573,516,483,595,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
TOTAL CAUSAS SISTEMA RESPIRATORIO,11203,141,116,138,116,134,122,79,103,85,155,197,244,208,227,262,219,257,254,227,264,341,424,557,497,378,333,295,242,210,187,229,258,304,287,243,254,219,255,200,155,169,173,182,208,182,147,178,103,105,105,102,133,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
IRA Alta (J00-J06),8352,113,100,112,93,100,108,67,81,62,123,172,205,171,197,231,181,214,195,166,210,283,298,443,363,247,215,208,141,141,128,160,187,225,215,168,180,150,152,133,121,134,124,133,151,130,111,135,71,77,62,86,79,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
Influenza (J09-J11),263,7,2,6,4,2,3,4,1,4,2,1,5,1,0,5,1,2,2,2,0,0,16,11,7,11,6,2,22,8,6,9,11,4,9,9,11,4,9,6,4,6,9,2,5,3,0,0,2,1,8,1,7,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
Neumonía (J12-J18),375,1,4,2,1,2,0,1,2,2,3,2,4,3,1,4,0,2,3,2,0,6,11,15,19,31,23,29,21,9,9,14,10,10,21,6,14,12,10,7,1,4,4,6,4,2,3,11,8,2,3,2,9,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
Bronquitis/bronquiolitis aguda (J20-J21),1421,16,8,12,13,17,6,3,11,11,16,20,21,23,23,13,25,16,29,24,23,43,39,52,83,55,71,49,48,36,31,34,33,44,27,42,32,43,58,42,22,17,20,19,25,26,16,15,9,13,13,10,24,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
Crisis obstructiva bronquial (J40-J46),420,3,1,5,2,11,5,3,6,4,8,2,8,8,5,9,9,12,7,8,9,7,16,13,12,15,8,6,8,12,10,10,12,12,8,10,8,8,13,8,5,5,12,12,10,5,10,14,8,6,4,2,6,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",372,1,1,1,3,2,0,1,2,2,3,0,1,2,1,0,3,11,18,25,22,2,44,23,13,19,10,1,2,4,3,2,5,9,7,8,9,2,13,4,2,3,4,10,13,16,7,3,5,6,15,1,8,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
TOTAL CAUSAS SISTEMA CIRCULATORIO,315,6,1,4,5,6,1,4,5,3,7,5,5,2,3,2,2,4,1,2,3,2,4,4,3,21,1,3,2,4,17,7,12,5,8,18,3,8,7,9,9,6,3,17,8,19,4,4,3,7,11,7,8,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
Infarto agudo miocardio,14,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2017,Metropolitano Sur,SAPU,Centro de Salud Familiar San Joaquín
