Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,73788,1346,1231,1365,1303,1236,1113,1178,1184,1217,1305,1518,1577,1571,1569,1423,1525,1496,1544,1436,1440,1590,1555,1755,1736,1690,1724,1476,1295,1235,1265,1364,1312,1490,1460,1312,1428,1299,1491,1387,1245,1427,1405,1480,1524,1385,1453,1552,1477,1183,1355,1419,1442,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
TOTAL CAUSAS SISTEMA RESPIRATORIO,26083,319,255,312,281,229,220,246,230,202,285,497,522,545,510,491,511,463,577,569,644,843,867,1074,1007,990,945,707,645,536,494,560,566,644,534,531,536,498,469,418,374,481,450,488,489,381,410,489,361,332,336,336,384,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
IRA Alta (J00-J06),17258,234,189,214,175,140,167,180,165,142,228,388,374,394,360,340,359,331,419,382,432,553,562,745,683,587,565,382,341,333,270,346,371,425,329,338,341,319,258,245,231,319,293,362,357,273,280,325,230,215,243,239,285,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
Influenza (J09-J11),138,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,2,1,4,4,6,22,12,29,14,6,6,9,1,0,0,0,1,0,0,2,0,0,0,2,1,1,1,3,1,1,0,0,1,1,0,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
Neumonía (J12-J18),2132,21,17,22,15,17,16,5,8,13,10,20,27,32,30,35,35,35,27,32,25,63,43,101,80,92,97,86,103,67,65,45,50,73,59,46,53,36,54,52,35,30,57,34,42,42,31,34,33,22,21,22,22,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
Bronquitis/bronquiolitis aguda (J20-J21),3669,31,20,29,38,28,15,26,21,17,28,34,47,39,48,46,62,44,79,106,107,157,117,160,146,222,161,108,110,72,75,109,77,86,75,87,92,88,81,52,57,83,60,66,54,31,50,84,55,69,36,43,41,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
Crisis obstructiva bronquial (J40-J46),2129,23,21,22,30,26,14,20,17,24,15,50,66,74,39,67,48,49,46,39,34,37,78,28,57,45,94,96,72,51,60,46,50,45,58,46,35,35,63,59,43,35,20,21,21,24,42,26,26,19,26,20,27,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",757,10,8,25,23,18,8,15,18,2,4,5,8,6,33,3,5,4,4,9,42,29,61,18,29,15,14,29,13,4,23,14,18,15,12,14,15,18,13,10,8,12,19,4,14,8,6,19,17,7,9,11,9,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAPU,SAPU-Santiago de Nueva Extremadura
