Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,54104,993,1003,995,964,897,866,842,1042,968,956,1067,1176,1118,1132,1170,1034,1124,1017,1038,1088,1199,1240,1148,1182,1263,1174,1046,957,918,952,960,1051,1111,1117,1139,1064,1033,1064,1155,962,1068,996,1073,1035,1132,1012,935,1037,996,824,771,1000,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
TOTAL CAUSAS SISTEMA RESPIRATORIO,16469,191,178,189,178,159,167,164,168,137,164,278,336,397,346,390,333,374,352,379,450,547,558,584,573,666,546,446,385,312,270,300,378,428,397,387,384,321,353,346,254,290,253,280,244,245,221,231,237,207,165,125,206,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
IRA Alta (J00-J06),13193,167,146,158,150,133,137,133,139,110,144,244,297,334,311,321,284,329,294,305,371,462,444,463,462,508,400,316,287,218,188,220,298,326,298,301,310,255,295,280,201,223,207,223,191,197,159,180,187,166,145,108,168,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Influenza (J09-J11),155,1,2,0,0,0,0,2,1,1,1,1,4,3,1,2,3,2,0,7,4,9,11,13,10,19,5,10,5,4,3,3,3,5,1,3,3,2,1,1,0,1,0,0,0,1,4,1,0,1,1,0,0,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Neumonía (J12-J18),542,2,6,5,6,4,7,4,6,8,2,8,8,7,4,6,7,5,12,8,13,15,13,24,22,29,28,13,13,26,13,17,17,13,16,24,11,9,11,9,5,5,7,8,13,8,10,8,12,7,1,3,4,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Bronquitis/bronquiolitis aguda (J20-J21),1619,5,9,8,2,8,13,13,12,7,9,17,15,25,17,26,28,24,20,39,37,32,69,55,52,89,79,71,44,43,51,46,43,46,58,42,40,38,31,43,38,46,22,29,24,27,27,23,21,18,15,6,17,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Crisis obstructiva bronquial (J40-J46),210,2,3,3,0,1,1,2,4,3,2,1,1,2,5,8,8,2,10,11,11,13,5,17,6,3,3,8,12,3,1,1,1,6,2,1,3,2,1,4,1,4,6,3,4,8,2,4,2,1,2,0,1,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",750,14,12,15,20,13,9,10,6,8,6,7,11,26,8,27,3,12,16,9,14,16,16,12,21,18,31,28,24,18,14,13,16,32,22,16,17,15,14,9,9,11,11,17,12,4,19,15,15,14,1,8,16,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
TOTAL CAUSAS SISTEMA CIRCULATORIO,722,24,30,30,14,11,14,10,11,20,18,7,18,16,11,12,12,14,17,20,8,20,11,14,15,12,15,11,13,12,15,11,13,15,13,17,11,14,12,11,10,19,15,13,12,17,13,6,10,14,9,6,6,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Infarto agudo miocardio,44,1,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,2,1,1,1,2,2,1,1,0,1,0,0,0,1,2,0,0,2,0,1,0,3,2,2,0,2,1,1,0,2,2,2,0,0,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Accidente vascular encefálico,27,0,0,2,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,2,1,1,0,1,1,0,1,0,1,0,0,2,0,0,1,1,0,0,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Crisis hipertensiva,491,20,23,21,5,7,8,8,9,14,11,6,13,9,8,5,9,9,11,16,6,13,8,10,10,9,12,9,9,8,11,7,7,12,9,10,6,12,7,7,5,14,12,10,7,16,9,5,6,5,4,1,3,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
Arritmia grave,14,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,2017,Metropolitano Suroriente,SAPU,SAPU-Villa O'Higgins
