Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,54333,920,864,839,870,825,770,786,825,823,860,1065,1063,1003,1006,1116,1153,938,1123,1024,1000,1182,1219,1242,1215,1241,1172,1091,871,948,926,909,986,1152,1056,1077,1102,1086,1270,1079,1042,1111,1101,1254,1198,1132,1117,1137,1144,1118,1098,950,1234,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
TOTAL CAUSAS SISTEMA RESPIRATORIO,21476,223,215,191,202,179,166,181,180,191,254,391,420,382,441,481,459,339,476,431,509,655,721,743,760,757,649,588,401,437,352,404,468,545,487,485,503,512,525,400,395,403,400,415,455,383,395,408,377,292,284,251,315,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
IRA Alta (J00-J06),13662,160,144,135,158,127,110,140,138,126,185,263,288,267,277,279,311,224,277,289,319,391,434,470,400,424,432,331,240,238,178,216,267,295,289,267,299,370,352,250,267,261,254,274,334,250,273,297,262,214,203,190,223,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Influenza (J09-J11),190,0,1,0,2,0,1,1,0,0,0,0,1,1,0,0,3,0,2,1,1,3,9,18,18,24,9,10,10,8,2,7,2,2,0,1,3,7,4,3,5,1,3,5,5,6,6,4,1,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Neumonía (J12-J18),475,2,5,4,7,6,3,4,4,3,1,0,9,6,6,17,8,6,2,2,18,4,15,10,16,30,19,11,7,23,19,12,22,18,17,18,13,8,9,15,3,6,6,6,9,7,3,5,4,7,4,7,9,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Bronquitis/bronquiolitis aguda (J20-J21),2428,22,23,10,16,10,20,9,11,11,17,19,46,24,33,36,38,31,56,37,27,80,92,88,122,102,78,98,51,65,69,57,62,77,84,103,91,58,62,39,42,43,44,40,40,48,45,27,34,24,15,22,30,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Crisis obstructiva bronquial (J40-J46),1187,14,12,18,6,7,11,11,6,16,9,23,16,21,24,29,22,21,34,26,18,34,30,40,59,42,33,44,23,29,23,35,28,39,28,32,15,25,21,23,22,19,25,19,27,24,25,23,17,12,7,10,10,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3534,25,30,24,13,29,21,16,21,35,42,86,60,63,101,120,77,57,105,76,126,143,141,117,145,135,78,94,70,74,61,77,87,114,69,64,82,44,77,70,56,73,68,71,40,48,43,52,59,35,55,22,43,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
TOTAL CAUSAS SISTEMA CIRCULATORIO,884,10,8,4,15,11,7,9,10,13,15,17,14,19,17,18,18,17,18,18,20,15,16,9,10,20,14,24,9,7,13,17,20,18,20,127,21,18,17,22,23,17,19,15,21,8,14,10,18,9,8,13,14,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Infarto agudo miocardio,12,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Accidente vascular encefálico,38,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,1,0,2,0,0,2,2,0,1,0,0,0,2,0,2,1,2,4,0,0,2,2,1,0,0,1,0,2,1,0,0,1,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Crisis hipertensiva,426,4,1,0,8,9,2,4,6,8,9,11,4,14,10,10,13,7,7,14,8,6,9,4,6,6,8,12,5,7,8,12,11,11,14,15,10,7,8,17,17,9,7,10,13,1,7,5,12,6,4,4,6,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Arritmia grave,27,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,1,0,1,0,1,1,0,1,2,1,0,0,2,0,2,1,0,0,1,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Otras causas circulatorias,381,3,4,1,7,1,5,3,3,3,6,5,9,5,5,8,5,9,7,4,11,9,4,4,4,12,4,12,2,0,4,3,6,6,3,111,8,7,8,3,4,5,8,4,8,6,5,3,3,2,4,8,7,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,840,20,13,8,16,8,14,22,20,18,19,14,16,13,9,14,8,13,10,10,8,6,19,7,9,8,21,18,15,19,19,15,17,18,22,25,10,23,20,13,17,16,16,20,23,22,11,15,24,26,27,14,32,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Accidentes del tránsito,29,10,0,0,0,1,7,1,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
Otras causas externas,811,10,13,8,16,7,7,21,20,14,17,14,14,13,9,14,8,13,10,10,8,6,19,7,9,8,21,18,15,19,19,15,17,18,22,25,10,23,20,13,17,16,16,20,21,22,11,15,24,26,27,14,32,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
DIARREA AGUDA (A00-A09),945,9,12,13,14,17,24,5,9,14,24,10,18,18,23,23,23,19,22,16,12,62,15,21,8,16,15,16,11,10,16,15,13,16,23,6,11,6,29,15,22,22,23,24,16,10,23,23,18,26,30,27,32,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
TOTAL DEMÁS CAUSAS,30188,658,616,623,623,610,559,569,606,587,548,633,595,571,516,580,645,550,597,549,451,444,448,462,428,440,473,445,435,475,526,458,468,555,504,434,557,527,679,629,585,653,643,780,683,709,674,681,707,765,749,645,841,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,1,2,4,1,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
- CAUSAS SISTEMA RESPIRATORIO,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
- TRAUMATISMOS Y ENVENENAMIENTOS,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Metropolitano Suroriente,SAR,SAR Padre Manuel Villaseca
