Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,22087,369,358,319,288,294,322,361,319,324,347,423,451,431,385,356,412,353,388,445,450,621,562,563,563,517,536,405,437,376,362,395,377,422,519,433,506,524,683,562,427,514,459,465,395,449,370,397,376,422,361,307,387,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
TOTAL CAUSAS SISTEMA RESPIRATORIO,9995,94,72,71,77,77,84,100,68,95,118,173,229,200,145,136,165,167,175,248,285,378,295,387,398,319,253,219,202,188,152,179,164,219,271,233,277,225,361,273,189,201,243,194,161,209,137,161,161,179,154,113,121,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
IRA Alta (J00-J06),7466,75,51,54,56,63,73,84,52,66,90,143,170,157,115,99,139,127,151,203,214,298,234,282,246,247,175,154,142,130,90,127,123,165,198,155,185,154,269,195,149,140,195,148,136,155,101,117,133,153,123,78,87,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Influenza (J09-J11),545,7,4,4,0,0,0,2,4,3,6,0,21,16,6,12,6,4,3,10,21,25,7,48,38,17,16,8,5,7,25,13,8,12,6,11,16,7,35,14,9,21,6,1,0,19,4,7,6,7,7,7,4,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Neumonía (J12-J18),59,2,1,1,1,0,0,1,0,0,0,2,0,0,0,1,2,1,1,0,1,0,1,2,3,0,1,1,1,0,1,1,4,3,1,3,4,1,1,1,1,0,3,3,2,1,2,1,0,1,0,1,1,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Bronquitis/bronquiolitis aguda (J20-J21),1601,9,14,9,14,10,5,7,6,18,16,22,31,22,18,19,13,28,17,32,43,47,47,49,98,49,53,51,49,47,33,37,24,32,58,51,58,60,45,47,27,36,29,34,18,27,23,30,15,13,17,20,24,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Crisis obstructiva bronquial (J40-J46),214,1,2,2,3,2,5,6,3,6,3,4,3,4,5,3,4,2,2,3,6,5,5,2,12,5,7,4,4,4,3,1,2,7,6,10,10,1,6,10,2,2,6,3,4,2,4,4,3,2,1,4,4,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",110,0,0,1,3,2,1,0,3,2,3,2,4,1,1,2,1,5,1,0,0,3,1,4,1,1,1,1,1,0,0,0,3,0,2,3,4,2,5,6,1,2,4,5,1,5,3,2,4,3,6,3,1,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
TOTAL CAUSAS SISTEMA CIRCULATORIO,177,3,7,0,3,1,2,2,3,3,4,2,4,6,4,2,6,2,6,3,2,5,4,1,1,2,5,2,2,5,5,5,1,4,4,5,5,2,8,6,2,4,2,2,4,3,2,2,6,5,4,2,2,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Infarto agudo miocardio,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Accidente vascular encefálico,9,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Crisis hipertensiva,69,1,1,0,2,1,1,2,1,0,2,1,4,1,3,0,4,0,4,3,0,3,0,0,0,1,4,0,0,2,1,3,0,0,1,2,0,1,0,4,0,3,2,1,2,1,0,1,2,1,1,1,1,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Arritmia grave,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Otras causas circulatorias,79,2,5,0,1,0,0,0,2,1,2,1,0,4,0,2,2,1,2,0,2,2,4,1,1,0,1,1,2,1,1,2,1,2,3,2,4,1,4,1,2,0,0,1,2,2,2,0,3,3,2,1,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,113,0,1,3,2,3,3,8,2,4,2,8,0,0,6,1,4,4,3,0,0,0,0,2,2,0,1,0,0,0,1,1,1,0,3,4,0,3,2,4,0,0,7,0,1,2,5,8,1,0,2,0,9,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Accidentes del tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
Otras causas externas,113,0,1,3,2,3,3,8,2,4,2,8,0,0,6,1,4,4,3,0,0,0,0,2,2,0,1,0,0,0,1,1,1,0,3,4,0,3,2,4,0,0,7,0,1,2,5,8,1,0,2,0,9,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
DIARREA AGUDA (A00-A09),1586,35,31,32,36,31,42,47,23,27,41,67,27,22,43,19,28,24,21,10,19,28,18,19,14,22,24,22,22,23,25,21,20,29,42,35,35,47,80,45,36,34,31,35,18,43,24,31,30,25,15,32,36,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
TOTAL DEMÁS CAUSAS,10216,237,247,213,170,182,191,204,223,195,182,173,191,203,187,198,209,156,183,184,144,210,245,154,148,174,253,162,211,160,179,189,191,170,199,156,189,247,232,234,200,275,176,234,211,192,202,195,178,213,186,160,219,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,Talcahuano,SAPU,Centro de Salud Familiar Bellavista
