Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,19806,337,356,386,321,322,349,343,329,307,333,412,428,380,374,434,402,389,415,430,439,449,432,430,428,376,419,379,332,338,370,337,327,367,361,387,413,369,392,394,381,343,380,396,423,401,445,412,427,384,335,352,341,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
TOTAL CAUSAS SISTEMA RESPIRATORIO,5267,53,64,56,29,34,32,50,42,41,47,93,86,96,93,88,97,81,128,153,188,193,154,148,178,138,153,144,115,100,117,91,90,120,120,143,109,126,129,115,105,114,89,93,97,88,106,130,120,89,72,78,52,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
IRA Alta (J00-J06),3404,28,27,25,20,15,23,32,27,33,33,77,64,59,66,58,61,60,93,121,130,127,105,101,111,77,92,89,70,47,49,49,57,82,77,90,76,76,82,77,59,78,59,65,59,54,79,90,75,59,43,61,37,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
Influenza (J09-J11),134,1,6,1,0,1,1,0,0,0,0,0,0,2,4,8,2,1,6,0,3,2,0,0,0,2,11,6,2,2,8,9,2,5,0,1,2,3,2,5,9,3,2,4,4,0,0,3,5,1,1,0,4,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
Neumonía (J12-J18),396,12,12,12,1,4,1,8,4,4,1,5,7,8,4,6,5,3,3,7,9,12,8,3,14,15,15,11,7,13,11,10,8,14,9,15,2,11,8,8,8,7,5,7,7,12,5,7,7,11,7,1,2,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
Bronquitis/bronquiolitis aguda (J20-J21),891,7,6,12,3,4,3,4,1,1,8,7,8,13,12,10,21,9,12,19,28,31,20,19,27,26,23,25,21,31,35,19,16,15,30,26,27,26,30,17,21,22,19,14,22,15,18,29,31,16,16,14,2,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
Crisis obstructiva bronquial (J40-J46),99,0,0,0,0,2,1,2,1,3,4,3,4,7,2,0,4,1,11,0,0,5,0,0,2,3,2,1,0,0,4,0,0,1,1,3,2,5,5,2,3,1,2,2,2,1,0,0,0,0,2,2,3,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",343,5,13,6,5,8,3,4,9,0,1,1,3,7,5,6,4,7,3,6,18,16,21,25,24,15,10,12,15,7,10,4,7,3,3,8,0,5,2,6,5,3,2,1,3,6,4,1,2,2,3,0,4,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
TOTAL CAUSAS SISTEMA CIRCULATORIO,781,17,10,25,17,17,29,12,12,19,27,22,14,23,11,20,20,10,17,8,23,7,14,15,11,9,16,14,10,5,21,7,8,14,10,11,21,18,11,16,20,16,12,13,11,13,16,10,21,14,27,12,5,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
Infarto agudo miocardio,36,1,0,0,0,1,0,0,0,3,0,0,1,2,0,1,1,2,2,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,2,1,2,0,0,0,1,1,4,0,3,0,0,0,0,0,0,0,2017,Ñuble,Hospital,Hospital Comunitario de Salud Familiar de Quirihue
