Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,15198,282,210,254,213,218,188,214,229,236,248,290,295,289,242,284,122,-,-,-,96,306,292,306,321,413,403,465,472,391,343,294,351,438,423,386,309,299,332,416,162,322,354,367,371,341,355,359,317,339,332,342,367,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
TOTAL CAUSAS SISTEMA RESPIRATORIO,7872,136,81,66,61,59,46,75,63,75,89,148,179,146,135,171,64,-,-,-,60,188,155,158,198,252,254,304,297,250,180,165,201,287,243,244,177,171,198,221,79,155,165,202,210,181,160,165,144,150,161,157,146,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
IRA Alta (J00-J06),5922,112,69,32,41,43,36,68,56,48,70,123,147,111,115,99,37,-,-,-,55,132,108,125,131,169,197,241,244,164,104,109,165,205,180,179,130,121,170,183,62,105,110,143,189,152,117,118,98,117,143,132,117,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
Influenza (J09-J11),8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
Neumonía (J12-J18),60,1,0,1,0,0,1,0,2,0,1,0,0,0,0,2,1,-,-,-,0,3,0,0,2,3,1,3,1,4,1,7,1,4,1,1,0,0,0,4,0,2,3,1,0,1,0,2,3,0,0,1,2,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
Bronquitis/bronquiolitis aguda (J20-J21),1032,14,7,19,11,7,8,5,4,14,6,14,17,22,13,16,17,-,-,-,4,40,30,14,33,46,35,32,27,45,38,24,17,57,40,40,30,28,9,20,11,24,39,35,6,14,17,17,19,15,3,15,14,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
Crisis obstructiva bronquial (J40-J46),250,4,3,2,5,2,0,0,0,3,3,2,5,11,2,12,6,-,-,-,0,6,10,12,13,9,5,12,12,15,10,7,4,6,5,6,1,6,2,2,1,3,2,11,3,5,2,6,3,3,4,1,3,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",600,5,2,11,4,7,1,2,1,10,9,9,8,2,5,40,3,-,-,-,1,7,7,7,19,25,16,16,13,22,27,18,13,15,17,17,16,16,17,12,5,21,11,12,12,9,24,22,21,14,11,8,10,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
TOTAL CAUSAS SISTEMA CIRCULATORIO,229,3,3,6,3,8,9,5,5,4,3,3,3,2,8,1,2,-,-,-,0,3,1,3,4,11,6,2,6,7,7,3,14,5,5,4,2,0,7,4,3,7,11,4,7,6,7,5,2,4,7,4,0,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
Infarto agudo miocardio,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
Accidente vascular encefálico,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,2018,Araucanía Sur,SAPU,SAPU-Santa Rosa
