Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,118268,2179,2349,2236,2143,2175,2147,2145,2261,2239,2203,2359,2514,2317,2413,2258,2258,2251,2227,2328,2184,2314,2153,2219,2414,2503,2558,2509,2559,2283,2049,2210,2193,2238,2401,2332,2410,2283,2031,2281,2073,2318,2164,2217,2110,2155,2241,2504,2325,2289,2397,2173,2176,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
TOTAL CAUSAS SISTEMA RESPIRATORIO,16860,156,184,178,184,173,147,180,179,141,147,265,309,228,251,270,249,241,260,262,268,336,260,370,474,511,582,676,691,612,462,404,406,453,457,399,445,427,435,370,295,326,321,310,266,279,313,339,320,298,281,221,249,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
IRA Alta (J00-J06),6846,73,84,93,98,90,59,94,96,63,83,149,151,122,106,117,112,119,120,123,118,156,106,142,200,186,219,238,215,151,129,127,134,127,170,154,191,169,150,138,120,122,119,136,100,141,132,139,152,142,135,103,133,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
Influenza (J09-J11),260,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,2,1,2,10,21,24,23,42,33,18,13,8,4,6,12,6,4,1,3,5,2,0,4,1,0,1,3,5,0,0,0,0,1,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
Neumonía (J12-J18),2183,9,30,17,20,16,32,24,27,26,14,18,37,19,36,36,30,24,27,31,23,39,33,47,53,56,79,91,91,90,65,67,71,56,56,57,67,66,54,56,43,43,42,38,36,32,54,51,30,29,42,23,30,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
Bronquitis/bronquiolitis aguda (J20-J21),4767,33,27,27,26,22,19,26,27,18,22,38,67,59,68,70,65,59,54,52,68,102,80,108,135,160,194,244,268,279,184,145,122,190,159,142,117,139,154,104,78,79,95,71,78,52,75,79,71,64,50,51,51,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
Crisis obstructiva bronquial (J40-J46),1681,24,24,22,25,24,16,18,16,18,12,32,30,15,25,24,25,19,34,40,27,25,23,37,39,57,53,37,60,43,42,35,51,51,41,27,40,35,49,43,32,54,33,41,31,26,20,35,47,34,29,24,17,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1123,17,19,19,15,21,21,18,13,15,16,27,24,13,15,22,17,20,24,16,30,13,16,26,26,28,14,24,24,31,29,22,24,23,19,13,26,17,25,24,20,28,28,23,21,27,29,30,20,29,25,20,17,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,Hospital,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Angeles)
