Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,Hospital,Hospital de Yumbel
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,28544,528,529,614,609,532,550,551,510,519,548,557,690,657,595,547,524,510,515,545,511,493,530,522,557,572,586,601,602,553,485,487,516,558,526,595,608,526,599,555,518,561,550,530,546,576,531,539,567,519,481,475,539,2018,Bíobío,Hospital,Hospital de Yumbel
TOTAL CAUSAS SISTEMA RESPIRATORIO,6254,68,54,71,66,61,66,60,46,53,93,139,174,124,114,113,87,88,102,116,121,131,138,166,163,190,214,210,175,172,129,128,125,133,143,134,145,120,147,148,130,123,158,117,131,156,118,120,126,103,78,61,106,2018,Bíobío,Hospital,Hospital de Yumbel
IRA Alta (J00-J06),3369,39,31,37,44,25,37,39,34,39,51,93,111,84,75,66,56,54,63,67,64,83,91,95,78,87,96,86,68,76,51,60,72,65,68,56,70,61,75,80,69,72,79,65,61,98,60,63,83,53,42,31,66,2018,Bíobío,Hospital,Hospital de Yumbel
Influenza (J09-J11),271,3,2,7,2,2,7,2,4,2,20,5,10,7,5,7,5,3,2,15,10,4,11,11,12,17,10,11,7,2,3,1,2,2,2,6,1,0,6,4,4,3,3,0,4,4,4,5,2,3,2,1,4,2018,Bíobío,Hospital,Hospital de Yumbel
Neumonía (J12-J18),279,4,5,4,2,9,1,3,1,0,4,1,5,6,5,2,9,5,10,2,8,4,4,3,6,2,10,13,12,10,10,10,8,3,7,8,4,4,3,3,6,3,10,5,6,2,4,12,4,3,5,5,4,2018,Bíobío,Hospital,Hospital de Yumbel
Bronquitis/bronquiolitis aguda (J20-J21),1753,12,8,8,14,13,7,9,2,4,6,26,38,20,17,24,11,17,18,19,33,30,19,47,56,64,87,88,76,68,47,45,32,47,54,49,54,44,45,45,37,38,55,41,52,41,34,28,30,32,22,17,23,2018,Bíobío,Hospital,Hospital de Yumbel
Crisis obstructiva bronquial (J40-J46),446,8,7,14,3,8,12,7,4,7,10,12,6,7,12,11,6,5,6,12,6,9,10,6,9,19,7,9,8,13,16,7,5,15,11,10,11,8,16,12,10,5,7,5,5,4,11,4,5,7,6,5,8,2018,Bíobío,Hospital,Hospital de Yumbel
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",136,2,1,1,1,4,2,0,1,1,2,2,4,0,0,3,0,4,3,1,0,1,3,4,2,1,4,3,4,3,2,5,6,1,1,5,5,3,2,4,4,2,4,1,3,7,5,8,2,5,1,2,1,2018,Bíobío,Hospital,Hospital de Yumbel
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,Hospital,Hospital de Yumbel
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,Hospital,Hospital de Yumbel
TOTAL CAUSAS SISTEMA CIRCULATORIO,677,12,20,16,13,7,12,14,10,14,13,17,6,12,14,15,12,14,8,6,15,10,14,11,17,20,10,12,11,14,14,18,12,24,17,16,17,12,8,13,5,15,16,16,12,7,18,14,8,11,11,7,17,2018,Bíobío,Hospital,Hospital de Yumbel
Infarto agudo miocardio,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,Bíobío,Hospital,Hospital de Yumbel
Accidente vascular encefálico,128,3,4,2,1,2,5,2,2,3,6,4,1,0,2,4,3,1,1,3,4,6,0,2,5,2,2,3,1,1,1,2,4,5,3,4,2,5,1,0,1,5,0,2,0,1,0,5,1,3,2,1,5,2018,Bíobío,Hospital,Hospital de Yumbel
Crisis hipertensiva,108,1,3,2,3,0,1,0,1,0,0,3,1,2,1,3,2,3,1,0,3,1,3,2,1,4,1,1,5,1,2,4,4,4,4,3,2,3,2,0,1,1,0,6,2,1,3,4,5,1,4,2,1,2018,Bíobío,Hospital,Hospital de Yumbel
Arritmia grave,96,3,2,0,1,1,4,1,1,2,1,2,0,3,4,4,2,1,3,1,3,0,2,0,5,6,4,1,2,3,1,1,2,1,3,3,3,1,0,2,0,0,4,1,1,0,3,0,1,1,2,1,3,2018,Bíobío,Hospital,Hospital de Yumbel
