Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,SAPU,SAPU-Paillihue
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,43107,644,639,767,720,674,708,768,704,757,809,975,1076,901,890,880,887,926,970,903,860,1069,951,979,1088,1267,1276,1435,1226,1217,1018,932,834,884,901,806,791,708,734,607,599,619,731,681,694,646,624,640,681,559,556,334,562,2018,Bíobío,SAPU,SAPU-Paillihue
TOTAL CAUSAS SISTEMA RESPIRATORIO,20720,229,180,208,173,153,171,200,185,193,296,504,648,462,411,371,404,398,452,386,402,585,499,558,607,763,832,900,768,795,620,517,432,505,568,445,451,426,373,285,282,309,356,295,297,258,273,235,298,243,215,118,186,2018,Bíobío,SAPU,SAPU-Paillihue
IRA Alta (J00-J06),13857,157,136,153,126,110,142,157,138,149,230,378,467,376,306,245,302,281,340,242,270,387,340,367,356,466,449,537,411,467,332,323,275,317,371,326,314,276,261,180,212,228,236,205,192,191,197,170,221,175,147,86,137,2018,Bíobío,SAPU,SAPU-Paillihue
Influenza (J09-J11),99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,1,2,3,5,10,2,6,5,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2018,Bíobío,SAPU,SAPU-Paillihue
Neumonía (J12-J18),96,0,2,1,3,0,0,0,0,1,1,0,0,2,3,2,0,2,4,2,1,2,5,0,3,8,6,9,7,3,2,1,2,2,2,2,2,2,0,3,2,1,1,2,0,0,1,2,0,1,0,0,1,2018,Bíobío,SAPU,SAPU-Paillihue
Bronquitis/bronquiolitis aguda (J20-J21),5801,54,30,39,37,31,13,31,29,34,50,107,165,59,89,109,89,97,92,127,120,181,142,144,220,269,340,326,323,304,264,170,141,159,177,94,121,123,92,86,56,67,101,76,80,54,60,50,38,49,43,22,27,2018,Bíobío,SAPU,SAPU-Paillihue
Crisis obstructiva bronquial (J40-J46),609,13,7,11,4,9,14,10,14,6,10,13,12,11,8,12,12,13,14,12,6,11,10,7,21,13,32,23,13,16,14,15,9,17,13,16,8,11,16,11,8,10,8,5,18,9,9,9,7,11,12,5,11,2018,Bíobío,SAPU,SAPU-Paillihue
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",258,5,5,4,3,3,2,2,4,3,5,6,4,14,5,3,1,4,2,3,5,4,2,4,6,5,2,0,4,3,2,3,0,9,5,7,5,12,4,5,4,3,10,7,7,4,6,4,13,7,13,5,10,2018,Bíobío,SAPU,SAPU-Paillihue
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Bíobío,SAPU,SAPU-Paillihue
