Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,202,0,10,5,-,1,8,0,0,-,-,-,8,-,8,13,-,26,-,-,-,-,-,-,-,-,28,8,-,12,-,9,15,-,-,17,20,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
TOTAL CAUSAS SISTEMA RESPIRATORIO,100,0,1,1,-,0,4,0,0,-,-,-,3,-,4,7,-,6,-,-,-,-,-,-,-,-,17,6,-,7,-,6,7,-,-,12,13,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
IRA Alta (J00-J06),50,0,1,1,-,0,4,0,0,-,-,-,3,-,3,6,-,5,-,-,-,-,-,-,-,-,14,0,-,2,-,5,3,-,-,1,2,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Influenza (J09-J11),14,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,1,3,-,1,-,0,0,-,-,4,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Neumonía (J12-J18),7,0,0,0,-,0,0,0,0,-,-,-,0,-,1,0,-,1,-,-,-,-,-,-,-,-,0,0,-,1,-,0,2,-,-,0,2,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Bronquitis/bronquiolitis aguda (J20-J21),9,0,0,0,-,0,0,0,0,-,-,-,0,-,0,1,-,0,-,-,-,-,-,-,-,-,2,0,-,1,-,1,0,-,-,1,3,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Crisis obstructiva bronquial (J40-J46),2,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,1,-,0,0,-,-,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",18,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,0,3,-,1,-,0,2,-,-,5,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
TOTAL CAUSAS SISTEMA CIRCULATORIO,1,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,0,0,-,-,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Infarto agudo miocardio,0,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,0,0,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Accidente vascular encefálico,0,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,0,0,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
Crisis hipertensiva,1,0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,-,0,0,-,-,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,Centro de Salud Familiar Sotaquí
