Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,37660,770,682,665,717,654,667,668,622,750,753,883,932,840,704,654,671,632,618,779,714,730,778,795,773,841,923,858,807,791,723,603,543,674,754,828,419,734,751,572,704,683,842,829,782,736,764,776,758,683,601,631,599,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
TOTAL CAUSAS SISTEMA RESPIRATORIO,12155,109,147,118,124,120,117,141,68,176,190,254,355,219,216,190,177,216,207,271,276,229,271,328,340,359,432,415,383,366,309,266,224,321,321,350,166,257,239,184,228,241,280,273,214,197,227,222,200,164,158,163,137,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
IRA Alta (J00-J06),5523,42,70,46,40,57,30,65,10,69,69,125,140,50,15,0,40,58,54,73,109,61,94,89,83,86,68,58,79,56,46,11,25,159,241,267,128,207,197,157,179,211,230,218,180,159,205,173,160,145,134,135,120,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Influenza (J09-J11),130,0,0,2,0,0,2,0,0,3,2,4,3,1,8,0,2,0,6,5,1,0,0,3,5,4,0,9,0,0,5,1,3,14,9,18,6,3,1,0,1,0,1,0,1,2,0,1,2,0,0,2,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Neumonía (J12-J18),137,0,3,5,1,3,1,1,0,0,2,0,0,0,0,2,0,1,2,4,4,0,2,5,4,3,2,3,3,6,4,6,2,3,10,6,1,4,2,1,2,0,1,6,2,0,3,1,11,1,2,4,8,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Bronquitis/bronquiolitis aguda (J20-J21),1066,7,8,5,4,9,3,6,12,13,7,19,17,24,14,17,17,12,23,17,25,11,16,25,24,30,34,44,50,49,32,21,23,37,29,31,23,27,24,12,30,15,23,44,21,31,7,25,20,14,11,15,9,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Crisis obstructiva bronquial (J40-J46),504,3,7,16,17,9,1,12,8,2,4,15,23,23,15,43,3,5,4,11,3,6,27,15,12,9,3,10,3,10,1,49,0,57,7,6,2,4,3,9,4,4,6,3,1,1,3,13,4,1,3,4,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",4795,57,59,44,62,42,80,57,38,89,106,91,172,121,164,128,115,140,118,161,134,151,132,191,212,227,325,291,248,245,221,178,171,51,25,22,6,12,12,5,12,11,19,2,9,4,9,9,3,3,8,3,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
TOTAL CAUSAS SISTEMA CIRCULATORIO,409,13,2,13,12,4,14,7,7,12,5,10,3,5,4,3,4,5,6,3,9,4,16,8,3,9,8,4,4,2,11,9,2,4,10,18,5,24,14,8,5,9,5,13,10,10,8,5,12,9,4,5,10,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Infarto agudo miocardio,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Accidente vascular encefálico,9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Crisis hipertensiva,197,2,2,7,8,2,4,4,6,9,2,8,1,3,4,2,2,2,2,1,8,1,15,3,3,9,2,2,4,2,7,0,1,1,6,5,4,7,5,0,1,6,2,4,4,5,2,2,4,3,2,1,5,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Arritmia grave,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,0,1,4,1,1,0,0,2,0,1,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Otras causas circulatorias,173,10,0,6,3,2,10,3,1,2,2,0,1,2,0,1,0,2,4,0,1,3,1,3,0,0,6,2,0,0,2,9,1,2,4,12,1,15,9,5,3,3,2,4,4,4,5,3,6,6,0,4,4,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1899,2,6,2,3,4,8,10,0,24,9,9,20,25,22,0,12,19,12,13,11,6,26,36,16,42,13,26,8,6,11,0,1,22,69,37,48,55,108,46,78,65,65,91,110,85,90,71,96,104,74,86,97,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Accidentes del tránsito,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
Otras causas externas,1898,2,6,2,3,4,8,10,0,24,9,9,20,25,22,0,12,19,12,13,11,6,26,36,16,42,13,26,8,6,11,0,1,22,69,37,48,55,108,46,78,65,65,90,110,85,90,71,96,104,74,86,97,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
DIARREA AGUDA (A00-A09),1003,26,19,13,15,15,12,10,13,5,16,4,10,15,6,8,10,18,19,15,6,19,25,6,25,16,8,9,3,8,4,3,1,24,19,37,3,10,18,15,32,24,46,52,28,30,29,67,50,45,26,36,30,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
TOTAL DEMÁS CAUSAS,22194,620,508,519,563,511,516,500,534,533,533,606,544,576,456,453,468,374,374,477,412,472,440,417,389,415,462,404,409,409,388,325,315,303,335,386,197,388,372,319,361,344,446,400,420,414,410,411,400,361,339,341,325,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Coquimbo,SAPU,SAPU-Marcos Macuada
