Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,62695,1167,1237,1241,1173,1168,1134,1190,1174,1160,1205,1232,1240,1218,1235,1225,1184,1175,1138,1021,1208,1069,1111,1151,1174,1253,1320,1230,1162,1083,1155,1146,1214,1263,1281,1198,1254,1199,1122,1217,1205,1254,1202,1287,1160,1254,1362,1339,1394,1259,1184,1242,1226,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
TOTAL CAUSAS SISTEMA RESPIRATORIO,7573,83,98,88,87,80,64,80,69,87,94,128,138,140,106,112,93,128,138,116,141,155,124,182,195,271,262,287,254,206,178,152,195,175,185,159,178,153,169,150,136,163,137,164,152,163,166,169,143,126,129,110,115,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
IRA Alta (J00-J06),3831,40,65,56,49,41,34,52,31,55,64,89,100,91,45,66,43,69,74,52,72,91,49,97,99,104,114,130,111,76,58,69,97,66,91,65,81,71,92,79,62,83,63,78,82,87,85,103,77,69,74,64,76,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Influenza (J09-J11),51,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,1,0,1,0,0,0,2,0,3,5,6,0,2,3,7,1,1,0,3,0,1,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Neumonía (J12-J18),1043,16,12,12,20,19,11,16,20,14,12,20,12,18,13,12,18,18,9,14,13,15,20,25,21,30,32,27,41,29,44,17,21,19,25,24,28,21,14,18,11,17,19,34,20,20,25,24,19,25,27,16,16,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Bronquitis/bronquiolitis aguda (J20-J21),1977,16,16,15,10,14,9,8,13,13,13,14,17,27,18,16,20,33,45,34,41,36,44,43,51,111,91,102,77,83,60,47,59,69,55,52,52,47,38,39,43,49,34,35,43,45,42,25,34,27,19,20,13,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Crisis obstructiva bronquial (J40-J46),408,6,5,4,5,4,4,2,3,3,2,4,6,3,7,10,4,6,9,13,10,12,7,12,9,17,14,10,17,8,9,10,10,13,9,7,12,6,10,11,16,9,12,11,6,6,7,6,7,0,3,6,6,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",263,5,0,1,3,2,6,2,2,2,2,1,1,1,18,8,8,1,1,2,5,1,4,3,15,6,6,12,8,8,4,2,7,7,5,8,5,7,14,3,4,4,9,4,1,4,7,9,6,5,6,4,4,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
TOTAL CAUSAS SISTEMA CIRCULATORIO,2524,61,52,58,51,55,44,49,37,46,33,48,42,53,46,59,41,27,42,39,50,29,57,35,42,48,54,50,51,47,51,59,47,73,65,51,53,45,50,32,53,50,44,40,36,46,54,47,51,62,44,62,63,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Infarto agudo miocardio,181,9,6,3,7,1,3,1,3,2,0,3,5,1,2,6,4,2,5,3,4,1,7,2,6,5,2,4,5,4,2,8,5,3,3,3,5,2,2,4,1,4,1,2,3,2,1,4,0,5,5,5,5,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Accidente vascular encefálico,734,14,15,16,11,19,14,13,14,23,13,12,12,12,17,15,8,6,12,10,21,9,16,14,12,18,20,13,17,17,13,14,10,15,10,15,20,14,12,8,18,11,12,10,11,11,19,16,14,16,13,21,18,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Crisis hipertensiva,304,5,3,12,9,6,2,2,2,3,4,4,1,9,6,8,7,3,3,3,2,4,7,4,5,7,1,3,8,5,12,8,11,23,16,8,6,3,5,4,8,11,4,5,4,6,7,3,2,7,6,1,6,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Arritmia grave,325,4,8,6,5,6,5,8,5,3,5,8,7,11,4,11,8,4,4,7,3,4,5,3,3,5,13,13,1,5,8,7,3,10,12,6,6,5,10,3,11,3,5,8,5,8,11,10,6,5,1,5,3,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
Otras causas circulatorias,980,29,20,21,19,23,20,25,13,15,11,21,17,20,17,19,14,12,18,16,20,11,22,12,16,13,18,17,20,16,16,22,18,22,24,19,16,21,21,13,15,21,22,15,13,19,16,14,29,29,19,30,31,2018,Del Maule,Hospital,Hospital Presidente Carlos Ibáñez del Campo (Linares)
