Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,41676,919,838,802,787,742,661,933,831,362,799,724,884,399,1004,922,948,1000,930,926,985,914,707,874,752,871,924,832,762,683,812,780,949,1000,1003,1046,1044,1013,991,818,808,873,785,656,473,864,927,829,233,371,840,243,603,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
TOTAL CAUSAS SISTEMA RESPIRATORIO,7070,96,69,81,79,64,46,61,69,41,89,115,156,68,131,97,124,139,157,120,162,183,119,136,135,158,181,222,191,155,162,150,239,297,254,284,284,230,239,158,156,143,164,81,89,121,124,145,54,51,101,25,75,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
IRA Alta (J00-J06),4177,74,41,53,63,40,24,32,32,38,64,80,98,45,82,62,71,93,86,76,94,114,79,84,79,94,88,154,96,56,71,84,115,170,148,136,171,142,153,85,99,93,94,40,49,78,74,95,32,30,62,14,50,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Influenza (J09-J11),703,2,5,3,4,4,1,1,10,1,3,7,18,5,21,5,11,11,18,7,11,8,4,9,15,13,20,8,9,25,20,15,59,31,31,48,30,23,29,29,12,11,15,10,10,13,14,14,2,5,17,2,4,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Neumonía (J12-J18),336,2,1,4,1,1,2,9,2,0,4,4,4,2,3,6,3,5,9,7,5,7,5,5,1,13,8,10,22,14,16,9,7,14,9,21,11,8,8,2,5,10,9,6,3,7,16,8,2,1,2,2,1,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Bronquitis/bronquiolitis aguda (J20-J21),667,2,9,3,2,7,6,2,7,1,7,10,19,7,8,12,14,9,19,10,25,21,6,15,19,12,11,16,22,23,14,10,19,22,31,30,35,21,19,11,16,12,14,12,16,3,13,12,9,9,4,4,7,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Crisis obstructiva bronquial (J40-J46),947,6,12,13,5,6,11,2,8,1,8,11,16,9,14,7,19,15,23,19,23,30,22,21,13,23,44,29,34,33,35,31,35,58,27,47,29,30,25,21,22,12,24,12,7,11,5,12,6,2,9,2,8,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",240,10,1,5,4,6,2,15,10,0,3,3,1,0,3,5,6,6,2,1,4,3,3,2,8,3,10,5,8,4,6,1,4,2,8,2,8,6,5,10,2,5,8,1,4,9,2,4,3,4,7,1,5,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
TOTAL CAUSAS SISTEMA CIRCULATORIO,775,22,15,25,8,13,10,12,14,7,30,12,10,5,18,15,10,13,10,18,14,11,10,13,9,21,20,18,16,11,21,39,16,13,17,13,24,12,25,21,10,30,17,13,11,15,18,17,5,6,12,3,7,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Infarto agudo miocardio,21,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Accidente vascular encefálico,55,4,1,2,1,5,0,2,1,1,1,1,3,0,0,2,2,1,0,2,0,1,3,0,0,2,3,0,2,1,1,3,0,1,2,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Crisis hipertensiva,207,9,6,5,1,1,1,3,2,0,2,8,1,0,7,5,2,3,6,7,3,2,3,1,5,6,3,5,6,3,9,5,6,5,5,3,2,4,7,10,2,11,4,6,2,6,4,3,3,2,1,0,1,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Arritmia grave,135,2,1,2,1,0,1,0,2,3,5,1,1,2,3,1,2,4,1,1,3,3,1,2,2,3,5,4,1,3,5,4,4,1,4,4,6,0,4,3,1,10,1,1,1,2,5,10,2,1,4,0,2,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Otras causas circulatorias,357,7,7,16,5,7,7,7,7,3,21,1,4,3,8,7,4,5,1,6,7,3,3,10,2,10,9,9,7,4,4,26,6,5,5,4,15,8,14,6,7,8,12,5,8,5,9,4,0,3,7,2,4,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,7882,168,195,140,143,158,157,133,98,61,89,109,110,66,139,137,151,167,149,178,172,143,125,184,86,165,174,238,454,350,211,114,148,163,188,168,184,159,152,137,165,130,77,127,87,176,189,173,49,89,178,52,127,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Accidentes del tránsito,90,0,0,0,0,0,0,1,1,3,1,4,2,2,3,0,0,7,0,3,0,15,1,7,0,2,6,0,0,2,1,2,1,4,3,0,2,1,1,0,2,0,0,2,0,1,0,1,0,5,4,0,0,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
Otras causas externas,7792,168,195,140,143,158,157,132,97,58,88,105,108,64,136,137,151,160,149,175,172,128,124,177,86,163,168,238,454,348,210,112,147,159,185,168,182,158,151,137,163,130,77,125,87,175,189,172,49,84,174,52,127,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
DIARREA AGUDA (A00-A09),3217,135,89,61,90,65,64,85,81,43,102,61,81,35,86,159,71,99,62,56,66,53,31,36,37,39,25,46,31,30,16,36,40,56,34,53,76,68,82,71,55,63,59,47,34,70,87,69,16,37,100,26,103,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
TOTAL DEMÁS CAUSAS,22732,498,470,495,467,442,384,642,569,210,489,427,527,225,630,514,592,582,552,554,571,524,422,505,485,488,524,308,70,137,402,441,506,471,510,528,476,544,493,431,422,507,468,388,252,482,509,425,109,188,449,137,291,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,1421,23,24,23,33,24,23,35,28,14,24,20,29,14,28,35,41,28,32,33,36,29,22,31,36,35,27,28,25,29,37,28,31,39,36,39,36,38,35,26,26,26,21,26,19,13,23,22,3,19,33,15,21,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
- CAUSAS SISTEMA CIRCULATORIO,136,2,1,0,0,5,4,2,2,1,2,2,2,1,2,4,2,3,3,6,3,0,1,3,1,5,2,2,4,3,4,3,1,3,8,2,2,6,2,0,1,3,5,1,3,0,4,1,1,8,6,2,2,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
- CAUSAS SISTEMA RESPIRATORIO,231,2,0,3,3,2,1,1,4,2,2,5,5,0,5,6,7,5,2,1,4,2,4,7,5,6,8,4,10,7,10,6,12,8,5,5,7,13,9,7,7,6,2,6,3,0,2,1,2,0,5,1,1,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,Hospital,Hospital San Vicente de Tagua-Tagua
