Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,6309,101,136,125,130,142,114,111,140,138,141,164,156,135,143,150,139,140,134,126,99,150,105,93,95,114,99,75,97,105,109,102,117,117,89,122,137,112,124,145,146,97,116,130,106,132,151,141,137,71,123,108,80,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
TOTAL CAUSAS SISTEMA RESPIRATORIO,1242,24,22,16,17,21,8,10,5,9,10,22,47,34,29,30,19,44,23,34,19,32,28,14,24,46,20,15,17,27,33,34,25,47,17,41,27,47,30,26,26,15,27,42,15,17,13,7,29,10,25,13,10,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
IRA Alta (J00-J06),705,18,15,12,14,15,6,7,1,4,4,14,40,24,22,28,9,30,19,16,9,10,15,5,14,36,6,7,6,15,24,16,18,11,8,24,19,22,2,7,0,1,13,34,7,9,8,3,20,7,18,5,8,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
Influenza (J09-J11),6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
Neumonía (J12-J18),82,1,1,2,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,5,1,1,1,1,0,0,0,4,0,2,2,4,2,10,4,5,3,4,3,2,1,0,1,3,1,3,3,0,3,0,0,3,0,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
Bronquitis/bronquiolitis aguda (J20-J21),199,1,5,0,1,1,0,1,0,1,4,4,4,5,4,0,2,1,1,5,2,6,4,4,3,5,6,4,7,5,7,12,3,4,2,11,2,4,9,5,6,10,7,4,7,3,1,2,2,1,6,5,0,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
Crisis obstructiva bronquial (J40-J46),71,1,0,0,0,0,0,0,1,2,0,1,2,4,1,2,4,7,0,2,0,1,1,3,6,4,1,0,2,3,0,2,0,4,0,0,0,0,3,1,0,0,2,1,0,2,0,1,3,2,0,0,2,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",179,3,0,2,2,5,1,1,3,1,2,2,1,1,1,0,3,6,3,6,7,14,6,0,1,0,7,0,2,2,0,0,2,18,2,1,3,17,13,11,19,4,3,0,0,0,1,1,1,0,1,0,0,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
TOTAL CAUSAS SISTEMA CIRCULATORIO,84,4,4,1,6,0,1,0,3,1,4,0,1,2,1,4,3,4,1,3,0,0,2,0,1,1,1,1,0,1,1,1,0,2,3,1,0,2,0,0,0,0,6,4,1,1,3,2,1,1,2,1,2,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
Infarto agudo miocardio,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2018,Libertador B. O'Higgins,SAPU,Centro de Salud Familiar Doñihue
