Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,38642,659,664,634,659,605,580,638,686,581,665,844,745,746,772,735,724,801,738,693,709,705,647,665,680,808,805,722,811,836,724,720,857,858,864,781,838,782,732,819,802,836,746,773,766,835,784,832,786,717,749,724,760,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
TOTAL CAUSAS SISTEMA RESPIRATORIO,14669,170,171,141,136,137,137,176,193,144,193,326,371,334,328,281,277,321,303,288,301,325,265,306,320,343,403,355,446,424,363,334,394,408,374,315,385,329,296,278,287,336,304,295,252,274,233,271,222,180,225,217,182,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
IRA Alta (J00-J06),11464,136,138,104,105,112,111,157,173,118,164,281,308,287,270,218,208,248,227,216,228,238,211,240,220,235,306,231,280,253,244,254,308,315,316,250,299,266,268,222,244,300,267,247,202,233,198,225,185,116,187,175,120,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Influenza (J09-J11),213,0,0,0,0,1,0,0,0,0,1,0,0,2,5,2,2,0,3,3,0,1,0,2,3,1,8,10,18,13,23,5,15,10,4,8,5,7,2,4,0,0,2,2,2,0,1,2,2,21,0,0,23,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Neumonía (J12-J18),159,2,0,0,1,0,1,1,5,3,0,7,2,1,0,1,7,7,7,1,11,5,3,7,2,2,5,1,9,11,2,5,5,0,8,6,3,3,0,2,1,0,2,4,2,3,1,1,1,1,4,0,3,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Bronquitis/bronquiolitis aguda (J20-J21),1606,14,23,17,22,14,10,11,9,12,18,27,51,29,45,30,38,48,55,51,49,72,40,39,36,44,47,62,49,88,40,43,50,53,21,21,43,24,13,32,22,14,16,24,23,20,15,10,13,20,12,12,15,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Crisis obstructiva bronquial (J40-J46),476,8,10,10,5,10,12,2,2,8,9,10,7,13,8,15,7,6,8,16,7,6,8,15,17,12,7,8,15,13,10,12,9,8,7,5,10,9,8,11,9,3,2,12,19,12,10,9,8,7,15,3,4,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",751,10,0,10,3,0,3,5,4,3,1,1,3,2,0,15,15,12,3,1,6,3,3,3,42,49,30,43,75,46,44,15,7,22,18,25,25,20,5,7,11,19,15,6,4,6,8,24,13,15,7,27,17,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
TOTAL CAUSAS SISTEMA CIRCULATORIO,446,7,5,15,4,7,9,4,5,3,4,6,2,7,10,7,5,3,6,8,5,8,6,5,12,5,4,8,7,5,3,8,10,9,11,12,8,11,87,8,8,10,6,9,14,8,1,7,2,6,8,7,11,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Infarto agudo miocardio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Accidente vascular encefálico,13,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Crisis hipertensiva,154,5,0,5,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,1,2,6,6,0,1,4,9,5,3,10,5,10,7,5,5,6,2,5,10,4,0,6,2,5,3,3,7,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Arritmia grave,17,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Otras causas circulatorias,260,2,5,5,4,6,8,2,4,1,4,5,2,7,10,5,3,3,3,6,4,4,5,3,4,4,2,2,1,4,2,4,1,4,8,2,2,1,79,2,3,4,3,4,4,3,1,1,0,1,5,4,4,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1254,37,69,36,61,72,60,55,41,48,52,63,43,58,48,52,46,42,33,47,37,50,45,48,5,11,0,2,6,5,4,3,2,10,4,8,5,2,0,2,1,0,1,8,1,1,2,3,3,12,4,3,3,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Accidentes del tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
Otras causas externas,1254,37,69,36,61,72,60,55,41,48,52,63,43,58,48,52,46,42,33,47,37,50,45,48,5,11,0,2,6,5,4,3,2,10,4,8,5,2,0,2,1,0,1,8,1,1,2,3,3,12,4,3,3,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
DIARREA AGUDA (A00-A09),962,28,21,22,22,21,16,9,8,11,25,26,25,21,49,28,21,24,29,35,18,23,14,22,14,33,12,10,8,13,9,11,15,6,6,12,24,11,10,32,12,31,10,9,11,17,14,19,18,19,7,25,26,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
TOTAL DEMÁS CAUSAS,21311,417,398,420,436,368,358,394,439,375,391,423,304,326,337,367,375,411,367,315,348,299,317,284,329,416,386,347,344,389,345,364,436,425,469,434,416,429,339,499,494,459,425,452,488,535,534,532,541,500,505,472,538,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Central,SAPU,Consultorio Los Nogales
