Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,15365,277,278,261,197,228,221,204,229,207,269,313,360,345,328,306,299,346,285,303,280,341,259,307,307,297,320,310,343,338,245,274,325,351,342,303,335,314,305,320,311,283,294,325,312,351,302,316,310,290,294,285,220,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
TOTAL CAUSAS SISTEMA RESPIRATORIO,5771,61,61,58,32,42,50,39,62,71,85,142,160,144,107,104,102,141,113,108,119,126,111,137,175,168,153,166,160,174,123,118,137,169,145,128,143,137,120,117,109,102,117,106,106,135,91,93,89,81,95,80,59,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
IRA Alta (J00-J06),4090,38,51,41,27,35,40,33,56,52,72,115,124,114,75,80,79,106,82,91,93,79,77,90,111,116,121,104,111,109,72,79,90,117,102,104,97,97,72,53,61,76,77,66,68,107,66,63,82,63,63,52,41,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Influenza (J09-J11),40,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,5,1,1,0,1,1,0,1,1,1,1,2,0,1,4,1,1,2,2,3,1,0,0,2,1,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Neumonía (J12-J18),84,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,4,0,2,0,0,2,3,2,2,1,3,2,3,7,1,7,6,4,1,2,4,2,2,0,1,4,0,3,1,0,3,0,2,2,2,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Bronquitis/bronquiolitis aguda (J20-J21),756,6,7,7,3,5,5,2,6,10,6,17,9,12,26,17,10,23,22,10,13,25,21,25,40,29,13,21,18,31,20,21,14,33,25,12,22,3,20,11,23,12,13,10,19,12,7,3,3,10,9,15,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Crisis obstructiva bronquial (J40-J46),340,2,2,5,0,1,1,3,0,1,5,5,18,6,1,2,4,3,5,4,6,6,6,8,9,8,13,16,20,12,10,9,6,10,7,4,14,1,9,25,9,1,6,13,5,6,2,14,1,3,9,1,3,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",461,15,0,5,1,1,3,1,0,7,0,4,9,7,5,5,9,4,4,1,7,11,4,10,13,12,4,22,8,18,13,7,18,3,6,3,7,31,15,24,13,11,17,17,9,8,16,10,3,3,12,10,15,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
TOTAL CAUSAS SISTEMA CIRCULATORIO,169,3,4,3,3,2,0,0,2,3,2,5,7,5,2,1,2,5,3,1,9,2,1,0,2,2,4,2,4,5,2,5,5,3,3,2,6,2,6,5,5,6,5,3,2,3,4,6,5,1,1,2,3,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Infarto agudo miocardio,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Accidente vascular encefálico,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Crisis hipertensiva,136,3,4,1,3,1,0,0,2,3,2,1,7,4,2,1,2,3,3,0,8,1,1,0,2,1,4,2,4,5,2,3,3,3,2,2,5,2,6,3,4,5,3,1,2,1,4,5,4,1,1,2,2,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Arritmia grave,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Otras causas circulatorias,15,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,1,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,826,25,15,10,9,24,20,12,17,12,23,13,16,23,21,16,18,9,17,14,25,18,7,11,9,4,17,9,7,12,6,15,16,15,12,10,21,8,12,26,9,16,13,28,20,28,15,22,24,24,30,14,9,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Accidentes del tránsito,30,0,0,0,0,0,3,0,1,0,2,0,0,1,0,0,0,1,4,4,2,5,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
Otras causas externas,796,25,15,10,9,24,17,12,16,12,21,13,16,22,21,16,18,8,13,10,23,13,7,11,9,3,16,8,7,12,6,15,16,15,11,10,21,8,10,26,9,16,13,28,19,28,15,22,24,24,30,14,9,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
DIARREA AGUDA (A00-A09),240,0,1,5,4,9,1,1,2,2,5,2,7,1,14,6,4,1,8,4,0,1,6,4,3,3,4,1,4,2,1,5,4,2,15,7,9,9,4,19,11,6,4,8,0,3,4,6,8,1,5,3,1,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
TOTAL DEMÁS CAUSAS,8359,188,197,185,149,151,150,152,146,119,154,151,170,172,184,179,173,190,144,176,127,194,134,155,118,120,142,132,168,145,113,131,163,162,167,156,156,158,163,153,177,153,155,180,184,182,188,189,184,183,163,186,148,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Norte,SAPU,SAPU-Libertadores
