Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Occidente,SAR,SAR Renca
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,97896,1481,1495,1549,1597,1563,1570,1576,1561,1558,1750,1965,2070,2002,2009,1858,1896,1981,1844,1914,1768,1876,1738,1875,1791,2004,2073,1995,1915,2015,1772,1978,2252,2244,2051,2024,2048,2045,1777,1865,2086,2116,2009,2037,1851,1897,1917,2028,2032,1923,1971,1876,1808,2018,Metropolitano Occidente,SAR,SAR Renca
TOTAL CAUSAS SISTEMA RESPIRATORIO,25556,214,203,211,210,217,218,275,211,207,263,509,570,499,420,446,417,535,505,545,464,597,537,628,581,656,742,738,753,747,659,636,824,840,730,660,650,639,519,507,497,564,522,505,431,439,435,432,434,398,432,344,341,2018,Metropolitano Occidente,SAR,SAR Renca
IRA Alta (J00-J06),18968,140,140,148,158,166,162,178,153,153,206,415,460,373,304,337,327,406,388,437,296,440,413,483,448,479,570,522,525,500,438,436,602,602,549,511,498,467,367,351,403,444,391,377,326,343,328,327,328,284,344,262,263,2018,Metropolitano Occidente,SAR,SAR Renca
Influenza (J09-J11),233,4,3,4,3,3,7,14,8,5,7,7,9,12,14,15,3,11,11,1,55,1,4,8,0,0,1,3,4,7,0,0,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Metropolitano Occidente,SAR,SAR Renca
Neumonía (J12-J18),805,14,11,14,7,8,9,18,10,4,8,6,12,12,7,9,8,9,6,9,17,13,15,19,10,16,19,15,26,39,27,37,32,31,26,28,10,27,27,26,15,15,12,11,16,13,13,15,7,11,6,10,20,2018,Metropolitano Occidente,SAR,SAR Renca
Bronquitis/bronquiolitis aguda (J20-J21),3518,30,23,25,19,27,25,34,26,26,20,57,59,71,71,54,54,82,56,58,62,109,84,80,94,128,103,139,137,153,137,115,116,157,86,64,83,84,71,88,35,48,71,62,42,39,52,42,45,57,38,45,35,2018,Metropolitano Occidente,SAR,SAR Renca
Crisis obstructiva bronquial (J40-J46),1298,16,21,12,14,13,13,21,13,14,21,21,27,27,22,24,20,21,38,28,31,31,21,35,27,22,26,31,34,26,33,30,33,29,41,22,24,36,33,22,22,39,34,28,24,23,17,23,26,22,28,20,19,2018,Metropolitano Occidente,SAR,SAR Renca
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",734,10,5,8,9,0,2,10,1,5,1,3,3,4,2,7,5,6,6,12,3,3,0,3,2,11,23,28,27,22,24,18,41,20,26,33,33,24,20,20,22,18,14,27,23,21,25,25,28,24,16,7,4,2018,Metropolitano Occidente,SAR,SAR Renca
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Metropolitano Occidente,SAR,SAR Renca
