Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,30207,522,615,535,500,518,455,492,500,477,525,651,662,646,629,619,630,569,530,572,651,662,615,643,643,677,664,653,637,594,541,494,574,555,580,633,610,639,543,609,523,608,594,622,576,591,581,614,474,545,579,526,510,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
TOTAL CAUSAS SISTEMA RESPIRATORIO,8075,115,108,78,72,60,50,53,70,64,90,191,218,182,165,196,120,134,143,127,167,195,182,215,220,266,234,260,275,235,204,171,168,168,154,198,166,172,166,169,136,158,165,170,156,187,162,166,110,126,126,98,94,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
IRA Alta (J00-J06),4844,69,70,53,47,38,27,38,43,41,54,133,147,113,103,135,82,104,95,83,113,139,114,127,126,139,135,154,151,108,121,86,99,74,95,116,85,95,93,98,70,99,105,99,100,112,102,98,57,80,65,54,60,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
Influenza (J09-J11),492,6,3,1,7,4,2,1,3,4,6,14,15,11,4,4,4,3,4,3,8,7,10,15,4,21,23,28,37,43,17,14,13,28,16,15,12,13,11,6,8,5,3,8,1,6,2,4,2,2,5,4,2,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
Neumonía (J12-J18),328,12,2,7,4,3,3,3,4,0,1,5,4,5,4,9,7,2,6,2,5,2,7,14,8,10,6,4,4,11,5,17,12,10,9,6,10,7,7,9,7,7,9,9,9,8,5,3,5,7,6,5,2,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
Bronquitis/bronquiolitis aguda (J20-J21),1707,19,23,8,11,9,8,3,7,12,15,21,34,39,21,34,17,17,31,27,32,30,40,42,62,75,48,57,66,60,50,34,30,41,29,45,48,35,40,41,36,37,37,40,25,43,45,44,30,23,43,24,19,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
Crisis obstructiva bronquial (J40-J46),529,8,6,5,3,5,8,3,2,1,6,14,12,12,15,10,9,6,3,11,7,17,9,15,16,18,20,13,12,8,6,15,13,13,3,15,10,16,14,10,13,9,10,11,17,12,6,14,13,10,7,9,9,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",175,1,4,4,0,1,2,5,11,6,8,4,6,2,18,4,1,2,4,1,2,0,2,2,4,3,2,4,5,5,5,5,1,2,2,1,1,6,1,5,2,1,1,3,4,6,2,3,3,4,0,2,2,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Osorno,Hospital,Hospital de Purranque Dr. Juan Hepp Dubiau
