Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valdivia,SAR,SAR La Unión
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27324,318,344,378,339,346,348,376,379,395,448,483,549,512,553,494,470,443,506,492,539,578,550,545,558,567,580,578,548,564,548,557,544,637,617,647,626,604,671,572,584,615,636,613,632,619,594,569,557,552,521,492,537,2018,Valdivia,SAR,SAR La Unión
TOTAL CAUSAS SISTEMA RESPIRATORIO,10792,83,70,71,65,62,55,75,83,94,133,189,258,186,225,157,175,154,185,187,200,249,229,261,271,278,297,289,262,284,261,268,241,314,302,273,272,257,286,237,233,268,282,271,255,246,253,224,207,182,191,173,169,2018,Valdivia,SAR,SAR La Unión
IRA Alta (J00-J06),7337,59,45,45,47,41,42,53,61,71,88,160,192,147,147,115,129,97,134,124,162,178,158,171,171,174,179,189,192,182,193,173,181,179,214,189,159,172,197,152,152,179,207,173,166,145,168,161,145,123,122,115,119,2018,Valdivia,SAR,SAR La Unión
Influenza (J09-J11),402,0,3,2,0,0,1,1,2,1,14,4,8,3,17,8,8,7,6,5,2,3,0,2,16,12,11,14,9,8,16,21,14,31,12,6,16,16,7,14,11,9,9,9,8,7,7,2,3,2,6,6,3,2018,Valdivia,SAR,SAR La Unión
Neumonía (J12-J18),256,5,2,4,2,0,2,0,1,1,1,5,5,6,3,3,0,4,2,3,5,2,2,4,6,12,16,6,7,13,3,3,2,7,6,1,9,6,5,8,5,5,5,10,10,11,14,3,6,4,1,5,5,2018,Valdivia,SAR,SAR La Unión
Bronquitis/bronquiolitis aguda (J20-J21),2369,18,17,14,13,18,8,17,15,18,25,14,42,28,47,23,31,44,35,49,21,55,61,79,69,64,78,65,42,65,36,66,42,86,61,68,83,56,63,53,62,65,50,69,65,67,53,45,44,34,54,37,35,2018,Valdivia,SAR,SAR La Unión
Crisis obstructiva bronquial (J40-J46),316,1,2,2,2,3,2,0,4,2,5,4,10,1,10,7,6,2,8,4,6,9,5,4,8,9,12,14,8,13,13,5,2,6,7,8,3,7,9,5,1,9,11,6,5,12,7,10,5,11,3,4,4,2018,Valdivia,SAR,SAR La Unión
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",112,0,1,4,1,0,0,4,0,1,0,2,1,1,1,1,1,0,0,2,4,2,3,1,1,7,1,1,4,3,0,0,0,5,2,1,2,0,5,5,2,1,0,4,1,4,4,3,4,8,5,6,3,2018,Valdivia,SAR,SAR La Unión
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valdivia,SAR,SAR La Unión
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valdivia,SAR,SAR La Unión
