Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,26815,559,535,525,477,476,491,470,485,444,540,626,651,587,544,511,515,535,517,549,554,526,496,528,461,500,516,479,464,460,522,504,557,540,508,504,487,494,492,534,551,509,526,502,510,539,521,560,537,479,498,483,437,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
TOTAL CAUSAS SISTEMA RESPIRATORIO,5782,71,58,78,56,42,52,61,33,63,81,170,214,132,91,101,91,111,101,123,129,127,127,130,118,121,163,127,138,147,124,156,184,179,142,139,128,116,113,124,133,114,130,135,122,98,78,88,88,81,112,69,73,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
IRA Alta (J00-J06),3874,42,46,59,34,32,35,45,23,49,65,140,158,92,54,58,78,78,67,86,93,88,71,88,77,81,108,90,75,63,82,90,119,122,90,70,85,86,77,89,88,76,86,84,85,65,61,73,50,53,77,44,47,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Influenza (J09-J11),108,0,0,0,0,0,1,0,1,0,0,1,1,1,4,2,3,2,1,1,2,1,2,4,6,0,5,2,7,2,5,4,13,5,7,2,2,1,0,2,3,0,2,4,1,2,2,2,0,0,0,2,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Neumonía (J12-J18),200,2,1,3,2,2,5,4,0,3,2,1,4,3,0,7,3,4,4,3,3,4,3,6,4,1,3,3,5,4,7,10,4,10,6,10,7,4,3,7,7,5,6,1,2,3,3,1,1,2,5,0,7,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Bronquitis/bronquiolitis aguda (J20-J21),1013,12,5,12,14,5,7,6,4,4,6,12,21,20,13,12,4,22,19,23,16,30,29,20,20,24,36,25,21,37,15,45,37,31,30,41,32,22,24,22,20,23,26,32,25,13,6,8,20,14,19,20,9,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Crisis obstructiva bronquial (J40-J46),158,4,0,0,2,0,1,1,0,1,1,7,9,2,6,7,2,1,3,4,5,1,3,7,3,6,6,2,3,0,2,6,3,3,8,7,0,2,0,1,2,7,1,5,1,5,1,1,0,4,5,1,6,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",429,11,6,4,4,3,3,5,5,6,7,9,21,14,14,15,1,4,7,6,10,3,19,5,8,9,5,5,27,41,13,1,8,8,1,9,2,1,9,3,13,3,9,9,8,10,5,3,17,8,6,2,4,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
TOTAL CAUSAS SISTEMA CIRCULATORIO,251,8,4,7,4,6,11,3,1,4,13,5,1,7,6,7,8,6,6,7,8,7,7,11,3,8,4,2,2,1,8,4,3,2,2,8,2,1,3,3,3,4,1,7,1,3,2,1,3,4,7,6,6,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Infarto agudo miocardio,20,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Accidente vascular encefálico,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Crisis hipertensiva,84,1,0,2,1,2,5,0,0,0,9,4,1,3,3,1,3,4,3,1,4,5,0,2,1,3,2,1,1,0,4,0,0,1,0,0,1,1,1,2,1,3,0,2,1,1,0,1,1,0,1,0,1,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Arritmia grave,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Otras causas circulatorias,129,5,4,4,3,4,6,2,1,3,4,1,0,4,3,5,3,0,1,6,3,2,4,7,1,2,1,1,1,1,3,3,3,1,1,7,1,0,2,0,2,1,1,3,0,1,1,0,2,2,5,4,4,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,4623,101,116,110,80,109,98,106,106,72,101,127,108,106,88,103,109,111,90,89,110,71,78,99,91,88,87,67,57,47,111,82,73,68,76,73,85,65,84,69,92,84,99,87,91,95,91,104,75,65,78,81,70,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Accidentes del tránsito,239,17,17,12,0,5,4,0,2,1,1,8,16,4,1,2,2,0,6,1,6,1,3,4,6,1,4,16,1,5,10,1,1,1,2,0,4,2,4,3,4,7,19,13,2,1,8,3,0,2,3,2,1,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
Otras causas externas,4384,84,99,98,80,104,94,106,104,71,100,119,92,102,87,101,107,111,84,88,104,70,75,95,85,87,83,51,56,42,101,81,72,67,74,73,81,63,80,66,88,77,80,74,89,94,83,101,75,63,75,79,69,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
DIARREA AGUDA (A00-A09),1787,47,43,37,42,36,37,43,52,42,43,43,42,37,62,46,51,40,41,50,32,48,22,53,23,35,26,32,15,16,25,21,17,27,20,33,24,24,28,32,34,25,33,29,30,31,27,38,42,33,24,30,24,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
TOTAL DEMÁS CAUSAS,14372,332,314,293,295,283,293,257,293,263,302,281,286,305,297,254,256,267,279,280,275,273,262,235,226,248,236,251,252,249,254,241,280,264,268,251,248,288,264,306,289,282,263,244,266,312,323,329,329,296,277,297,264,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,25,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,2,2,1,3,0,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
- CAUSAS SISTEMA RESPIRATORIO,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
- LAS DEMÁS CAUSAS,14,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,Hospital,Hospital San José (Casablanca)
