Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,34429,576,588,551,553,520,548,498,498,565,638,815,824,694,686,681,643,617,649,673,685,663,570,662,660,728,809,761,697,772,734,776,836,839,793,775,710,713,712,784,627,707,719,597,596,593,589,621,621,621,570,527,545,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
TOTAL CAUSAS SISTEMA RESPIRATORIO,13441,163,157,150,117,136,114,124,109,145,247,362,411,319,282,288,256,240,287,243,288,331,229,294,263,340,380,379,340,379,352,403,394,402,374,314,305,294,274,291,222,278,238,190,198,186,162,223,219,241,198,158,152,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
IRA Alta (J00-J06),11296,129,126,113,94,114,97,99,97,128,222,310,359,265,238,228,205,194,233,197,233,273,162,239,218,288,325,319,279,298,277,344,322,334,315,268,280,258,259,263,192,244,201,176,170,162,138,177,197,211,168,142,116,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
Neumonía (J12-J18),80,3,0,3,3,1,0,3,3,0,1,1,1,0,2,2,1,1,1,0,2,2,5,2,0,0,2,1,1,3,1,2,0,4,1,4,3,4,1,4,0,0,2,0,2,0,0,3,0,2,2,1,0,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
Bronquitis/bronquiolitis aguda (J20-J21),1240,26,17,28,13,9,8,17,4,13,15,18,43,39,27,49,34,32,28,27,34,35,41,32,25,30,43,44,46,44,52,36,54,46,41,34,8,17,6,14,18,11,8,7,9,5,11,9,5,6,7,7,8,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
Crisis obstructiva bronquial (J40-J46),354,3,11,4,3,1,5,3,4,1,2,8,4,3,2,3,6,6,8,12,11,7,5,8,9,11,6,8,13,15,20,15,15,15,11,5,8,8,4,4,6,10,1,0,3,4,6,13,6,6,6,0,6,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",471,2,3,2,4,11,4,2,1,3,7,25,4,12,13,6,10,7,17,7,8,14,16,13,11,11,4,7,1,19,2,6,3,3,6,3,6,7,4,6,6,13,26,7,14,15,7,21,11,16,15,8,22,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Valparaíso San Antonio,SAPU,Centro de Salud Familiar Diputado Manuel Bustos Huerta de San Antonio
