Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,40947,829,678,807,793,809,772,759,827,696,765,823,790,746,831,798,678,622,831,559,832,779,831,829,777,807,830,765,794,730,746,801,882,837,917,847,862,851,865,871,817,791,776,820,675,808,835,830,808,721,718,774,708,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
TOTAL CAUSAS SISTEMA RESPIRATORIO,8471,107,80,77,73,90,87,79,94,82,114,180,215,157,164,140,120,108,184,120,167,164,162,194,162,183,200,219,234,216,199,237,263,266,313,250,263,251,220,197,164,182,171,198,127,142,130,140,117,104,124,132,109,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
IRA Alta (J00-J06),5851,77,49,52,47,59,63,54,68,58,80,144,174,121,116,105,94,74,136,91,121,113,117,141,111,108,141,122,154,130,129,163,187,167,217,175,189,152,148,141,107,113,114,129,85,103,84,100,86,77,83,103,79,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
Influenza (J09-J11),97,1,0,0,1,3,0,2,1,0,0,1,2,0,3,0,1,0,1,1,2,0,1,1,1,3,3,14,4,6,3,2,7,5,1,4,7,3,0,2,1,1,3,0,1,0,1,1,0,0,2,1,0,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
Neumonía (J12-J18),549,5,8,2,4,9,4,2,4,5,7,11,4,8,10,5,1,9,10,5,10,13,6,11,11,20,11,24,11,26,15,20,23,23,12,12,19,17,15,11,12,8,13,14,6,10,14,11,5,8,10,8,7,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
Bronquitis/bronquiolitis aguda (J20-J21),1456,12,13,11,12,12,15,12,13,13,17,16,23,17,20,20,17,17,26,20,26,26,31,31,34,45,31,49,51,43,40,38,39,51,71,48,39,69,43,30,34,43,31,42,24,14,21,17,21,16,21,17,14,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
Crisis obstructiva bronquial (J40-J46),340,10,8,9,7,5,2,7,4,3,5,4,9,5,13,7,5,7,7,2,7,9,5,9,4,4,10,4,8,7,9,8,5,12,9,6,5,6,11,11,7,12,6,5,3,9,4,7,3,2,6,2,6,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",178,2,2,3,2,2,3,2,4,3,5,4,3,6,2,3,2,1,4,1,1,3,2,1,1,3,4,6,6,4,3,6,2,8,3,5,4,4,3,2,3,5,4,8,8,6,6,4,2,1,2,1,3,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,Viña Del Mar Quillota,Hospital,Hospital San Agustín (La Ligua)
