Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Atacama,SAPU,Consultorio Alto del Carmen
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,5060,81,98,111,83,77,87,98,102,94,67,98,106,105,111,87,101,103,101,109,130,118,123,107,91,99,88,99,90,86,61,110,151,151,143,109,144,110,70,107,107,129,82,85,57,59,66,78,57,95,84,71,84,2019,Atacama,SAPU,Consultorio Alto del Carmen
TOTAL CAUSAS SISTEMA RESPIRATORIO,1590,18,18,20,11,9,4,13,10,10,11,23,37,24,32,21,20,41,22,36,58,69,62,47,37,44,32,44,40,28,20,35,90,79,56,44,71,42,21,44,31,34,30,36,11,9,9,11,7,12,19,19,19,2019,Atacama,SAPU,Consultorio Alto del Carmen
IRA Alta (J00-J06),1410,18,18,20,11,9,4,13,10,8,9,17,34,23,28,14,13,32,14,26,43,53,62,42,18,39,31,42,35,25,20,35,87,77,51,43,68,40,20,42,28,33,29,30,8,7,8,10,3,10,15,17,18,2019,Atacama,SAPU,Consultorio Alto del Carmen
Influenza (J09-J11),6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Atacama,SAPU,Consultorio Alto del Carmen
Neumonía (J12-J18),13,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,Atacama,SAPU,Consultorio Alto del Carmen
Bronquitis/bronquiolitis aguda (J20-J21),59,0,0,0,0,0,0,0,0,2,1,6,2,1,0,0,2,1,0,2,0,1,0,2,1,4,0,1,1,2,0,0,0,2,4,1,2,1,0,2,1,1,1,6,0,0,1,0,2,2,3,0,1,2019,Atacama,SAPU,Consultorio Alto del Carmen
Crisis obstructiva bronquial (J40-J46),6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2019,Atacama,SAPU,Consultorio Alto del Carmen
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,8,8,8,14,13,0,3,18,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,1,2,0,2019,Atacama,SAPU,Consultorio Alto del Carmen
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Atacama,SAPU,Consultorio Alto del Carmen
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Atacama,SAPU,Consultorio Alto del Carmen
