Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7452,131,117,142,115,109,101,110,107,103,136,117,126,167,131,163,166,156,121,158,160,186,153,141,169,161,105,115,137,130,109,118,118,139,172,170,170,144,160,162,162,162,183,202,166,182,175,135,160,139,120,133,138,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
TOTAL CAUSAS SISTEMA RESPIRATORIO,2230,33,20,24,22,17,7,16,19,18,10,32,35,48,30,34,40,52,43,53,65,86,85,64,62,63,25,27,40,51,38,35,42,33,64,82,71,51,46,43,49,68,80,102,47,49,48,24,37,28,22,18,32,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
IRA Alta (J00-J06),1865,30,14,22,14,15,5,15,11,16,7,28,32,45,29,30,37,40,33,47,59,76,75,54,52,59,21,18,34,43,35,21,36,28,56,73,57,42,36,34,44,56,72,73,40,35,37,17,30,23,21,14,24,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Influenza (J09-J11),14,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Neumonía (J12-J18),76,1,1,1,0,0,2,0,1,1,0,0,0,2,0,1,1,1,4,2,2,1,1,4,5,1,0,2,0,3,1,4,0,0,1,0,1,1,3,3,0,4,4,5,3,6,1,0,0,0,0,0,2,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Bronquitis/bronquiolitis aguda (J20-J21),177,2,3,1,1,0,0,1,2,1,1,2,3,1,1,0,2,5,3,2,2,7,4,4,3,2,3,3,3,4,2,6,2,3,5,6,11,4,6,4,5,4,2,15,3,4,6,7,4,2,1,3,6,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Crisis obstructiva bronquial (J40-J46),55,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,1,0,0,1,1,4,0,0,0,1,3,2,1,0,4,2,1,1,1,1,1,0,0,0,4,1,5,1,3,4,0,2,2,0,1,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",43,0,0,0,7,2,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,1,1,2,2,1,0,1,1,0,0,0,2,1,1,1,1,1,1,2,0,0,1,4,0,1,0,0,1,1,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
TOTAL CAUSAS SISTEMA CIRCULATORIO,35,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,2,2,0,2,0,0,3,1,0,0,1,0,0,2,3,1,0,0,1,1,1,1,0,1,0,0,1,0,1,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Infarto agudo miocardio,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Accidente vascular encefálico,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Crisis hipertensiva,23,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Arritmia grave,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Otras causas circulatorias,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,457,29,23,17,31,38,12,38,9,0,0,23,29,11,31,56,34,0,11,37,1,0,1,0,2,1,0,0,0,0,0,1,1,0,1,1,0,0,8,1,0,0,0,1,2,3,0,1,0,0,3,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Accidentes del tránsito,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
Otras causas externas,450,29,23,17,31,38,12,38,9,0,0,23,29,8,31,56,34,0,11,37,1,0,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,8,0,0,0,0,1,2,2,0,1,0,0,2,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
DIARREA AGUDA (A00-A09),78,0,0,1,2,0,1,0,0,2,0,1,0,0,2,3,1,14,2,2,1,0,0,0,0,3,1,1,2,0,1,0,0,1,1,0,1,0,2,0,3,0,1,3,3,2,3,12,1,1,2,2,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
TOTAL DEMÁS CAUSAS,4652,68,74,99,60,53,81,56,78,82,125,61,62,107,68,70,90,90,64,66,91,100,67,77,103,92,79,85,95,79,67,81,75,105,105,87,98,91,101,117,110,94,101,95,113,127,124,97,122,110,92,113,105,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Chiloé,SAPU,Centro de Salud Familiar Puqueldón
