Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Aguas Negras
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,57514,1135,1025,931,959,1036,996,978,939,969,1060,1220,1204,1215,1186,1188,1273,1186,1233,1106,1185,1388,1273,1291,1270,1234,1212,1095,1059,1064,949,986,1105,1129,1092,1064,1036,1165,1216,1066,1013,1088,1128,1033,1130,1119,967,1036,1100,1065,1052,1041,1024,2019,Del Maule,SAR,SAR Aguas Negras
TOTAL CAUSAS SISTEMA RESPIRATORIO,22232,299,271,190,192,229,192,218,191,206,284,415,491,495,453,484,510,511,510,501,605,760,654,758,789,702,678,616,521,503,373,429,534,565,483,460,444,513,547,417,379,372,463,401,365,327,223,263,322,302,267,297,258,2019,Del Maule,SAR,SAR Aguas Negras
IRA Alta (J00-J06),14503,214,190,146,139,171,140,151,150,172,223,319,360,362,325,308,346,365,306,352,413,470,356,396,361,400,452,360,244,275,227,294,345,385,311,338,287,348,344,274,256,236,294,281,227,249,139,163,223,218,197,212,189,2019,Del Maule,SAR,SAR Aguas Negras
Influenza (J09-J11),365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,31,26,57,86,69,10,20,30,10,11,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Aguas Negras
Neumonía (J12-J18),152,0,3,2,0,1,1,2,0,2,0,4,0,2,0,2,0,3,6,4,4,5,11,10,4,4,5,5,3,5,5,2,1,2,5,2,1,4,9,5,2,6,1,3,1,2,4,0,9,0,0,0,0,2019,Del Maule,SAR,SAR Aguas Negras
Bronquitis/bronquiolitis aguda (J20-J21),6295,64,70,35,43,35,41,45,31,27,46,81,117,117,116,111,155,128,136,94,146,239,244,283,315,214,174,223,232,196,120,105,171,158,143,112,141,143,178,132,94,118,154,100,119,62,69,87,81,66,54,73,57,2019,Del Maule,SAR,SAR Aguas Negras
Crisis obstructiva bronquial (J40-J46),813,17,7,5,9,20,10,15,10,5,12,9,12,12,11,58,9,14,58,47,38,15,17,9,20,13,36,8,12,16,10,27,12,17,19,8,14,16,12,6,26,12,13,12,16,11,6,8,6,11,10,9,8,2019,Del Maule,SAR,SAR Aguas Negras
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",104,4,1,2,1,2,0,5,0,0,2,2,2,2,1,5,0,1,2,1,4,0,0,3,3,2,1,0,0,1,0,1,0,1,3,0,1,2,4,0,1,0,1,5,2,3,5,5,3,7,6,3,4,2019,Del Maule,SAR,SAR Aguas Negras
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Aguas Negras
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Aguas Negras
TOTAL CAUSAS SISTEMA CIRCULATORIO,577,7,9,12,16,6,12,9,8,13,14,21,7,11,4,10,11,5,9,12,11,17,12,15,9,6,18,18,13,15,7,4,9,15,12,7,8,7,12,16,13,15,6,8,13,9,10,12,14,14,13,10,13,2019,Del Maule,SAR,SAR Aguas Negras
Infarto agudo miocardio,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,Del Maule,SAR,SAR Aguas Negras
Accidente vascular encefálico,16,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2019,Del Maule,SAR,SAR Aguas Negras
Crisis hipertensiva,283,2,2,1,12,3,5,5,6,7,6,12,2,4,1,6,5,4,5,7,3,11,7,9,7,3,9,9,6,7,4,4,6,2,8,3,3,4,7,10,8,7,4,4,5,4,3,2,4,5,7,6,7,2019,Del Maule,SAR,SAR Aguas Negras
Arritmia grave,41,1,5,0,0,0,1,1,1,0,1,2,0,0,0,1,0,1,1,1,1,1,0,1,0,0,3,2,1,1,1,0,0,1,0,2,2,0,0,0,1,2,0,0,2,0,1,0,0,1,1,1,0,2019,Del Maule,SAR,SAR Aguas Negras
Otras causas circulatorias,224,3,2,11,2,3,6,3,1,6,7,7,5,7,1,3,5,0,2,4,7,5,4,3,0,3,6,4,4,5,1,0,3,10,2,2,3,3,4,6,3,6,2,4,5,5,6,9,10,8,5,3,5,2019,Del Maule,SAR,SAR Aguas Negras
