Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Villa Alegre
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,34123,588,571,509,493,518,543,540,556,570,539,625,743,643,632,579,719,640,774,638,718,794,703,696,660,639,696,675,619,690,610,584,565,719,719,662,637,673,887,718,650,684,696,689,744,649,643,684,722,689,711,682,796,2019,Del Maule,SAR,SAR Villa Alegre
TOTAL CAUSAS SISTEMA RESPIRATORIO,10125,119,97,73,72,61,51,76,81,94,102,188,271,202,169,167,226,268,291,251,317,316,256,303,279,281,272,261,214,248,171,158,205,253,254,214,211,248,286,220,208,199,210,224,181,166,121,148,188,156,181,158,159,2019,Del Maule,SAR,SAR Villa Alegre
IRA Alta (J00-J06),8229,104,81,52,54,50,39,73,61,81,80,168,235,177,135,146,203,214,258,208,273,257,212,231,237,229,221,206,170,193,148,126,163,204,190,190,176,198,234,170,150,142,173,183,135,125,83,107,144,119,151,135,135,2019,Del Maule,SAR,SAR Villa Alegre
Influenza (J09-J11),6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
Neumonía (J12-J18),240,4,5,5,3,1,0,0,2,0,2,3,3,5,4,1,1,5,3,2,1,7,10,6,3,4,8,9,5,4,6,8,5,7,15,1,4,9,4,2,7,9,7,9,9,8,5,6,2,1,4,2,4,2019,Del Maule,SAR,SAR Villa Alegre
Bronquitis/bronquiolitis aguda (J20-J21),1349,6,10,9,12,7,8,3,10,7,8,14,29,15,20,18,13,36,24,33,38,40,25,51,32,37,39,42,35,42,14,18,28,39,41,20,30,33,43,44,44,44,26,28,30,28,26,28,34,30,22,18,18,2019,Del Maule,SAR,SAR Villa Alegre
Crisis obstructiva bronquial (J40-J46),174,4,1,6,1,2,1,0,4,2,6,3,4,3,5,1,5,8,5,6,2,9,0,5,2,5,1,2,1,6,2,4,3,2,8,2,1,7,5,3,5,3,3,4,3,3,3,3,3,3,1,1,2,2019,Del Maule,SAR,SAR Villa Alegre
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",127,0,0,1,2,1,3,0,4,4,6,0,0,2,5,1,3,3,1,2,3,3,9,10,5,6,3,2,3,2,1,2,6,1,0,1,0,0,0,1,2,1,1,0,4,2,4,4,5,3,3,2,0,2019,Del Maule,SAR,SAR Villa Alegre
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Villa Alegre
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Villa Alegre
TOTAL CAUSAS SISTEMA CIRCULATORIO,285,6,6,6,5,3,5,8,3,9,6,4,4,8,12,11,11,14,10,7,4,9,11,5,6,7,4,4,2,4,2,2,7,4,3,2,3,6,5,3,2,5,5,6,3,2,5,10,3,3,4,1,5,2019,Del Maule,SAR,SAR Villa Alegre
Infarto agudo miocardio,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
Accidente vascular encefálico,9,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
Crisis hipertensiva,152,5,2,4,1,2,0,5,3,6,5,3,1,6,8,8,7,12,6,3,2,5,6,3,4,2,1,3,0,4,1,2,6,2,1,1,1,1,1,1,1,1,2,3,2,0,2,4,0,0,1,0,2,2019,Del Maule,SAR,SAR Villa Alegre
Arritmia grave,38,0,0,0,0,0,0,1,0,0,1,0,1,1,1,2,1,0,1,2,1,1,3,0,1,2,3,0,1,0,1,0,0,1,0,0,0,5,1,1,0,2,1,0,0,2,0,0,0,0,0,0,1,2019,Del Maule,SAR,SAR Villa Alegre
Otras causas circulatorias,74,1,3,2,4,1,5,0,0,3,0,1,1,1,2,1,1,1,3,2,1,2,2,1,0,2,0,1,1,0,0,0,0,1,1,1,2,0,3,0,1,2,1,0,1,0,3,5,2,3,3,1,2,2019,Del Maule,SAR,SAR Villa Alegre
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,2926,51,67,64,68,78,90,63,73,57,53,55,61,60,62,65,65,40,58,42,45,50,40,33,35,52,52,51,27,39,62,46,33,39,48,41,55,42,64,45,59,51,62,73,74,49,49,74,68,81,83,68,64,2019,Del Maule,SAR,SAR Villa Alegre
Accidentes del tránsito,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,3,3,2,11,3,4,3,9,6,0,2,1,1,4,1,5,3,1,2,2,3,3,6,2,4,1,4,8,2,6,2019,Del Maule,SAR,SAR Villa Alegre
Otras causas externas,2813,51,67,64,68,78,90,63,73,57,53,55,61,60,62,65,65,40,58,39,45,46,39,30,32,50,41,48,23,36,53,40,33,37,47,40,51,41,59,42,58,49,60,70,71,43,47,70,67,77,75,66,58,2019,Del Maule,SAR,SAR Villa Alegre
DIARREA AGUDA (A00-A09),858,14,12,7,17,3,3,11,4,8,20,3,8,14,23,34,8,11,4,11,13,12,9,16,6,6,9,17,20,12,13,7,6,12,5,11,11,14,18,25,37,21,20,13,17,27,28,13,71,14,28,49,63,2019,Del Maule,SAR,SAR Villa Alegre
TOTAL DEMÁS CAUSAS,19929,398,389,359,331,373,394,382,395,402,358,375,399,359,366,302,409,307,411,327,339,407,387,339,334,293,359,342,356,387,362,371,314,411,409,394,357,363,514,425,344,408,399,373,469,405,440,439,392,435,415,406,505,2019,Del Maule,SAR,SAR Villa Alegre
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Villa Alegre
- CORONAVIRUS (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Maule,SAR,SAR Villa Alegre
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Del Maule,SAR,SAR Villa Alegre
