Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,108475,1691,1725,1745,1714,1701,1686,1680,1756,1664,1659,2095,2205,2218,2341,2387,2040,2433,2196,2300,2371,2401,2612,2634,2577,2488,2187,2198,2249,1860,1735,1739,1895,2084,2305,2390,2337,2321,1936,2452,2301,2496,2480,1906,1752,1971,1825,1967,1899,1893,2135,2006,1837,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
TOTAL CAUSAS SISTEMA RESPIRATORIO,16950,210,166,161,142,108,130,133,151,148,149,289,408,317,334,369,349,397,322,358,428,464,476,612,658,549,478,527,463,380,272,239,250,377,381,443,429,449,402,389,354,425,409,359,283,206,190,210,199,197,287,250,274,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
IRA Alta (J00-J06),8744,109,85,76,79,53,70,82,78,85,92,175,223,178,180,226,196,262,191,215,269,271,281,338,365,264,214,233,209,129,93,92,125,194,208,233,190,242,204,191,165,221,202,158,120,85,94,97,87,98,135,133,149,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
Influenza (J09-J11),978,10,5,8,4,3,3,7,2,5,2,8,33,13,10,16,11,20,8,10,17,32,31,55,94,67,51,37,20,27,13,7,4,9,19,26,36,23,36,22,22,25,36,20,15,10,6,7,7,8,10,8,0,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
Neumonía (J12-J18),1955,24,22,22,13,10,15,20,11,16,15,17,22,24,41,34,23,30,27,30,36,32,40,61,71,81,67,84,73,58,48,60,33,44,35,49,46,46,48,42,50,50,50,65,51,27,15,29,31,22,32,30,33,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
Bronquitis/bronquiolitis aguda (J20-J21),2255,29,16,18,12,9,16,10,27,12,10,28,49,42,36,36,46,26,39,38,63,67,62,89,58,55,74,81,68,65,57,35,40,44,46,65,69,69,58,51,52,58,51,54,38,26,29,39,30,31,52,42,38,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
Crisis obstructiva bronquial (J40-J46),1730,14,18,21,18,15,11,8,13,17,16,42,48,39,31,34,36,38,30,31,29,34,33,37,37,53,54,67,58,65,37,23,21,50,45,45,53,39,30,51,37,31,42,41,36,32,24,22,29,23,34,15,23,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1288,24,20,16,16,18,15,6,20,13,14,19,33,21,36,23,37,21,27,34,14,28,29,32,33,29,18,25,35,36,24,22,27,36,28,25,35,30,26,32,28,40,28,21,23,26,22,16,15,15,24,22,31,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Del Reloncaví,Hospital,Hospital de Puerto Montt
