Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,55981,1056,1039,1080,1114,1017,1109,1044,1034,1033,1056,1106,1019,1035,958,1067,982,964,1047,967,1005,998,929,982,1084,1190,1151,1191,1200,1079,1092,1142,1161,1208,1247,1323,1220,1110,1109,1225,1031,1063,1036,930,1033,1062,1079,1057,1110,1113,1003,1076,1015,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,4140,56,46,55,54,47,53,50,58,45,49,41,55,59,52,61,72,72,80,67,73,107,113,124,121,140,173,146,132,105,106,109,90,127,116,123,90,87,112,104,74,87,64,67,61,56,71,50,42,37,48,49,64,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
IRA Alta (J00-J06),492,8,4,6,5,4,13,5,5,2,6,5,6,8,5,10,12,9,14,7,9,16,13,8,7,13,24,19,12,8,17,13,11,5,7,22,19,7,10,12,11,12,7,7,7,8,7,8,8,10,7,9,5,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
Influenza (J09-J11),186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,4,11,9,14,26,21,15,10,10,7,7,2,3,4,7,5,1,5,5,5,1,1,3,1,1,0,0,0,0,0,0,0,1,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
Neumonía (J12-J18),1875,22,20,26,29,24,19,21,26,22,23,21,28,27,29,31,33,41,35,32,29,45,56,57,49,55,72,56,53,49,52,60,43,73,57,53,31,44,54,46,31,39,27,38,27,20,35,19,16,13,15,19,33,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
Bronquitis/bronquiolitis aguda (J20-J21),185,2,1,2,2,2,2,2,4,2,0,0,2,1,2,2,3,5,2,2,5,6,7,7,5,7,12,3,7,6,2,4,8,3,3,6,4,4,6,7,3,6,3,3,6,2,3,0,1,3,1,1,3,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
Crisis obstructiva bronquial (J40-J46),578,10,6,7,8,7,7,5,9,8,6,5,12,7,10,6,12,7,15,13,13,14,14,18,13,17,16,24,21,19,12,16,11,16,22,18,14,10,16,16,9,10,4,9,7,10,8,6,3,3,7,9,13,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",824,14,15,14,10,10,12,17,14,11,14,10,7,15,6,12,11,8,12,12,13,15,14,20,21,27,34,34,29,16,16,14,14,26,20,19,21,17,21,18,19,19,20,9,13,16,18,17,14,8,18,11,9,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
COVID 19 Sospechoso (U072),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Occidente,Hospital,"Hospital San Juan de Dios (Santiago, Santiago)"
