Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7310,81,72,91,72,67,50,71,85,75,63,78,73,87,87,117,83,92,137,100,91,153,110,147,213,245,234,219,227,221,167,154,146,162,204,194,173,169,219,176,158,184,183,175,188,170,145,174,160,122,151,156,139,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
TOTAL CAUSAS SISTEMA RESPIRATORIO,3052,31,21,20,12,15,13,16,20,11,27,27,22,27,38,30,29,34,50,32,33,87,63,76,124,157,159,117,127,143,83,90,62,67,98,88,84,87,88,87,66,73,73,68,67,42,38,41,40,33,48,36,32,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
IRA Alta (J00-J06),13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
Influenza (J09-J11),63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,9,2,2,6,5,6,3,4,6,1,7,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
Neumonía (J12-J18),39,4,1,0,0,0,0,0,2,1,1,0,1,1,0,0,0,2,0,2,0,2,0,0,2,4,0,1,2,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
Bronquitis/bronquiolitis aguda (J20-J21),651,8,4,5,3,1,1,3,6,3,4,6,4,2,5,4,4,8,13,6,7,12,13,14,15,44,53,29,30,31,32,23,12,19,32,18,23,20,23,20,13,5,9,7,15,2,4,5,10,8,7,3,3,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
Crisis obstructiva bronquial (J40-J46),27,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2259,19,16,13,8,14,12,13,12,6,22,21,16,24,33,26,25,24,23,22,24,64,35,60,101,104,100,84,91,105,50,59,47,37,64,68,61,65,65,67,53,68,64,60,52,39,34,35,28,25,41,32,28,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Occidente,SAPU,Centro de Salud Familiar San Pedro
