Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,106226,1810,1639,1462,1479,1465,1427,1411,1373,1411,1655,2235,2532,2507,2509,2495,2341,2556,2615,2588,2999,2659,2588,2690,2519,2425,2378,2418,2373,2009,1495,1839,1951,2114,2327,2453,2422,1993,1665,2411,2103,2364,2161,1301,1490,1746,1472,1812,1648,1828,1668,1645,1750,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,24985,285,249,230,193,218,189,187,209,202,235,381,473,429,418,437,540,586,620,730,782,833,835,897,959,944,879,829,865,837,648,517,555,669,641,690,566,503,540,490,381,472,397,341,274,228,197,226,193,244,261,242,239,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
IRA Alta (J00-J06),13278,201,176,168,141,149,126,134,147,142,159,243,314,257,262,283,337,384,380,472,472,468,462,490,465,394,361,288,271,252,207,206,275,319,275,323,263,241,298,256,198,282,220,190,144,153,110,143,124,173,168,155,157,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
Influenza (J09-J11),1780,12,7,3,3,3,4,4,3,3,1,9,9,18,13,19,23,20,46,53,78,100,122,109,143,144,120,84,94,60,32,23,27,46,41,41,41,33,26,30,15,22,20,15,7,9,8,8,3,1,7,10,8,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
Neumonía (J12-J18),1861,20,10,9,11,18,3,6,6,5,9,11,14,17,18,19,31,27,31,29,40,31,43,60,59,111,71,85,95,108,70,60,49,56,69,61,68,50,42,49,44,50,37,25,22,14,12,14,13,11,21,17,10,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
Bronquitis/bronquiolitis aguda (J20-J21),6235,42,42,38,28,33,35,33,35,35,43,74,95,105,88,86,115,115,123,132,151,190,170,187,249,247,251,307,340,332,295,188,166,200,186,205,150,137,143,111,101,86,76,79,72,36,46,36,30,35,38,45,53,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
Crisis obstructiva bronquial (J40-J46),1268,6,12,8,7,12,11,7,8,12,14,32,35,27,23,25,26,26,24,31,33,31,26,35,32,33,59,51,46,57,25,26,24,32,49,36,27,34,21,23,20,25,31,25,22,11,13,12,11,16,17,9,10,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",563,4,2,4,3,3,10,3,10,5,9,12,6,5,14,5,8,14,16,13,8,13,12,16,11,15,17,14,19,28,19,14,14,16,21,24,17,8,10,21,3,7,13,7,7,5,8,13,12,8,10,6,1,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Sur,Hospital,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
