Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,40106,763,698,632,603,544,565,662,598,589,726,792,880,830,790,841,800,803,927,830,914,1046,944,993,818,828,728,766,763,855,637,724,740,885,953,948,922,911,955,973,852,894,797,315,697,599,603,652,579,697,700,744,801,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
TOTAL CAUSAS SISTEMA RESPIRATORIO,15624,197,178,129,120,103,89,140,117,129,170,233,389,351,273,330,336,343,436,422,520,597,522,569,462,435,361,411,423,470,312,305,320,436,462,427,436,417,412,379,301,318,285,118,179,135,126,112,142,176,207,184,180,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
IRA Alta (J00-J06),13079,173,149,113,97,86,78,124,104,107,147,205,338,292,236,280,285,313,394,366,442,501,454,483,379,347,282,333,331,368,194,250,256,356,397,360,377,360,362,327,255,251,227,91,137,121,114,92,118,151,177,155,144,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
Influenza (J09-J11),100,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,4,6,5,3,8,9,8,3,0,39,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
Neumonía (J12-J18),217,3,2,1,5,0,1,1,1,1,3,1,4,3,4,4,2,4,6,6,4,4,6,9,8,8,5,7,12,21,3,4,4,10,6,5,9,6,4,2,2,7,4,2,3,2,1,0,3,2,0,2,0,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
Bronquitis/bronquiolitis aguda (J20-J21),1650,16,18,9,8,14,6,11,3,15,11,18,36,37,25,34,36,20,28,40,64,73,48,58,63,59,57,51,47,66,59,34,45,54,48,45,37,32,39,39,34,36,35,14,28,7,6,9,12,17,18,21,10,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
Crisis obstructiva bronquial (J40-J46),406,5,7,4,7,1,3,2,5,5,8,9,10,7,5,7,9,3,5,9,9,12,4,12,7,9,6,10,15,14,15,11,13,15,8,13,12,10,3,5,7,12,12,10,6,5,2,8,7,2,7,6,8,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",172,0,2,2,1,1,0,2,4,1,1,0,1,12,3,4,4,2,1,0,1,3,4,2,2,4,2,2,15,1,2,4,2,1,3,4,0,9,4,6,3,12,7,1,5,0,3,3,2,4,5,0,15,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
TOTAL CAUSAS SISTEMA CIRCULATORIO,510,5,9,8,12,7,7,8,12,11,5,7,12,11,10,13,6,7,11,17,9,11,15,12,12,7,16,12,8,11,9,10,15,6,16,12,6,6,5,9,5,6,9,5,12,15,11,19,13,7,7,11,5,2019,Metropolitano Sur,SAPU,SAPU Padre Joan Alsina
