Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,90811,1724,1642,1678,1534,1576,1595,1604,1599,1609,1643,1882,1856,1666,2018,2158,2031,1992,2019,2103,1929,1804,1883,2001,1598,1946,1865,1937,1887,1750,1574,1721,1699,1788,1883,1702,1947,1718,1684,1888,1812,2005,1933,1435,1054,1575,1408,1136,1662,1821,1459,1674,1704,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
TOTAL CAUSAS SISTEMA RESPIRATORIO,3538,34,20,41,46,20,24,35,24,18,9,27,35,31,52,51,47,70,52,64,113,101,123,157,141,141,207,101,146,143,111,72,90,131,105,125,73,80,61,55,79,72,67,36,37,36,33,15,43,52,31,35,26,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
IRA Alta (J00-J06),1855,18,13,23,18,9,15,18,8,8,7,14,22,21,25,22,28,47,30,39,70,68,73,82,62,49,87,31,58,64,45,32,51,78,38,71,40,43,48,34,41,28,42,18,27,28,25,12,23,34,24,23,21,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
Influenza (J09-J11),222,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,6,1,6,12,9,25,28,25,28,6,8,3,2,0,5,9,8,18,2,5,1,0,1,2,2,0,0,0,1,0,2,0,0,0,0,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
Neumonía (J12-J18),368,5,1,2,8,1,3,3,4,4,2,0,4,2,9,2,1,6,5,3,6,3,7,15,10,17,17,14,13,20,10,14,9,19,26,8,11,11,2,7,16,14,5,4,0,3,0,0,8,5,2,4,3,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
Bronquitis/bronquiolitis aguda (J20-J21),924,8,5,12,8,6,3,10,11,4,0,8,5,4,10,19,16,16,8,13,23,17,33,25,40,47,71,46,65,55,51,26,22,22,32,26,17,19,9,14,16,18,16,12,9,0,2,2,6,10,1,6,0,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
Crisis obstructiva bronquial (J40-J46),85,0,1,2,3,0,0,3,0,0,0,2,1,3,2,5,1,0,1,5,4,0,1,6,1,3,2,2,1,1,3,0,2,2,1,1,2,2,1,0,2,2,0,1,1,1,3,1,2,3,1,2,2,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",84,2,0,1,8,4,2,1,1,2,0,3,3,1,6,2,0,0,2,3,4,1,0,4,0,0,2,2,1,0,0,0,1,1,0,1,1,0,0,0,3,8,2,1,0,4,2,0,2,0,3,0,0,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Suroriente,Hospital,Hospital Clínico Metropolitano La Florida Dra. Eloisa Diaz Insunza
