Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,26776,510,509,481,482,413,462,423,448,478,479,538,606,547,547,549,563,563,641,554,617,566,558,606,534,599,472,646,542,558,439,462,509,557,565,577,558,530,584,609,523,631,546,324,448,365,405,407,424,455,435,463,469,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
TOTAL CAUSAS SISTEMA RESPIRATORIO,9701,111,110,81,69,67,91,77,78,91,114,169,260,187,200,206,222,239,252,253,297,310,287,347,309,321,257,373,276,280,207,192,204,269,249,210,226,207,245,204,187,208,178,107,116,79,81,79,90,106,105,131,87,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
IRA Alta (J00-J06),6776,90,80,59,51,54,68,57,55,67,77,143,204,150,147,164,167,184,162,185,204,199,195,242,207,220,170,256,152,169,116,119,145,188,169,130,153,130,201,147,133,152,122,74,80,52,49,51,64,81,84,95,63,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
Influenza (J09-J11),286,0,2,0,1,0,0,0,0,2,0,0,1,5,4,3,1,7,11,9,21,21,7,19,16,29,15,15,21,17,7,5,4,10,5,10,4,8,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
Neumonía (J12-J18),386,8,5,3,1,3,1,2,5,2,4,3,7,8,9,7,12,5,10,2,1,4,8,14,14,9,9,13,28,24,8,13,13,12,10,12,7,8,7,9,6,6,12,4,8,6,5,5,2,3,0,2,7,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
Bronquitis/bronquiolitis aguda (J20-J21),1910,10,17,12,10,9,13,13,11,17,25,17,34,18,37,27,39,34,66,51,63,76,69,65,69,48,54,81,67,65,63,50,39,55,55,51,56,53,32,37,37,38,41,22,20,16,18,19,18,20,16,25,12,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
Crisis obstructiva bronquial (J40-J46),217,2,2,6,3,0,5,2,5,2,6,1,12,4,3,3,2,5,1,3,6,9,7,5,3,10,5,6,5,3,11,3,1,3,9,5,5,4,3,5,5,6,3,1,3,0,4,3,3,1,3,7,3,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",126,1,4,1,3,1,4,3,2,1,2,5,2,2,0,2,1,4,2,3,2,1,1,2,0,5,4,2,3,2,2,2,2,1,1,2,1,4,2,6,3,4,0,5,5,5,5,1,3,1,2,2,2,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Suroriente,SAPU,SAPU- Santa Amalia
