Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,37805,611,554,544,550,499,491,476,524,597,597,758,902,796,800,842,774,635,895,767,774,999,960,1028,888,904,785,818,830,846,590,653,723,818,916,822,901,843,796,929,834,918,775,139,519,638,447,665,637,704,685,708,701,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
TOTAL CAUSAS SISTEMA RESPIRATORIO,15393,168,132,119,101,84,97,102,96,132,159,268,396,324,315,299,302,286,415,381,431,576,537,620,560,569,447,492,503,474,311,290,319,409,430,366,373,370,325,360,287,347,265,49,155,173,120,149,159,169,185,215,182,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
IRA Alta (J00-J06),12911,151,107,93,76,74,83,87,85,113,130,246,350,286,290,261,257,243,325,321,393,513,453,506,447,446,379,402,420,371,242,232,241,327,362,293,324,319,283,320,249,291,222,36,132,147,92,116,129,147,155,189,155,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
Influenza (J09-J11),149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,52,0,5,5,5,11,34,13,4,2,1,4,2,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
Neumonía (J12-J18),167,2,0,1,1,2,3,3,3,3,0,1,0,2,2,2,1,10,4,3,1,5,8,6,4,6,1,3,3,3,3,5,8,7,7,4,4,3,3,5,2,5,5,2,3,0,1,6,2,3,2,1,3,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
Bronquitis/bronquiolitis aguda (J20-J21),1798,7,21,15,16,7,8,6,6,11,22,16,30,21,21,31,32,26,27,48,29,45,58,88,63,98,54,78,72,89,56,45,59,65,51,57,40,37,34,31,33,40,27,10,16,22,16,22,21,10,26,20,15,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
Crisis obstructiva bronquial (J40-J46),225,3,3,9,6,1,1,2,2,3,4,2,11,7,1,5,6,7,5,7,2,7,5,9,8,5,5,7,7,4,4,5,6,5,6,9,2,2,2,3,1,3,3,1,4,1,4,1,3,6,1,2,7,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",143,5,1,1,2,0,2,4,0,2,3,3,5,8,0,0,3,0,2,2,1,1,8,0,4,1,4,0,0,3,4,3,4,5,3,2,2,7,3,1,2,8,8,0,0,3,7,4,4,2,1,3,2,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
COVID 19 Sospechoso (U072),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,2019,Metropolitano Suroriente,SAPU,SAPU-El Roble
