Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Talcahuano,SAPU,SAPU Bellavista
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,24248,330,381,328,334,367,371,410,382,363,325,413,529,499,484,477,483,472,482,458,531,714,609,540,495,497,439,476,402,465,396,389,444,628,812,723,755,698,643,637,564,570,507,308,358,353,275,327,330,355,399,346,375,2019,Talcahuano,SAPU,SAPU Bellavista
TOTAL CAUSAS SISTEMA RESPIRATORIO,11214,110,117,79,94,73,77,80,80,92,88,173,286,263,227,203,183,209,212,196,280,464,353,317,299,281,230,257,200,234,179,141,224,351,490,451,483,434,335,325,294,291,270,140,134,110,60,89,117,123,154,120,142,2019,Talcahuano,SAPU,SAPU Bellavista
IRA Alta (J00-J06),9144,93,99,67,77,57,61,59,64,76,75,142,255,225,187,170,147,183,188,173,242,377,265,262,243,216,167,195,135,159,126,106,186,291,401,372,406,357,277,275,254,244,222,118,112,79,51,71,94,102,129,92,120,2019,Talcahuano,SAPU,SAPU Bellavista
Influenza (J09-J11),262,1,5,3,3,0,4,0,0,2,0,1,0,1,4,3,2,6,2,4,6,33,17,17,15,4,6,2,15,2,8,0,7,3,27,12,17,6,3,3,7,2,0,2,1,1,0,1,1,1,1,1,0,2019,Talcahuano,SAPU,SAPU Bellavista
Neumonía (J12-J18),58,0,0,0,2,0,2,2,0,0,2,0,2,0,2,1,0,1,1,1,0,2,1,3,3,3,1,3,0,1,0,1,1,6,1,0,0,2,1,4,2,0,0,0,0,4,0,0,0,0,0,2,1,2019,Talcahuano,SAPU,SAPU Bellavista
Bronquitis/bronquiolitis aguda (J20-J21),1474,9,10,6,7,10,5,7,13,9,5,25,27,32,19,22,20,16,18,16,30,51,58,33,35,46,55,45,46,62,38,32,26,46,56,65,56,68,45,38,27,39,42,14,17,19,8,15,18,15,16,20,17,2019,Talcahuano,SAPU,SAPU Bellavista
Crisis obstructiva bronquial (J40-J46),143,6,1,1,4,4,0,3,2,5,2,3,1,2,3,1,3,2,2,0,1,1,4,2,2,11,0,10,3,9,5,0,3,5,5,1,0,0,4,3,3,4,3,1,1,6,0,1,2,3,2,1,2,2019,Talcahuano,SAPU,SAPU Bellavista
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",133,1,2,2,1,2,5,9,1,0,4,2,1,3,12,6,11,1,1,2,1,0,8,0,1,1,1,2,1,1,2,2,1,0,0,1,4,1,5,2,1,2,3,5,3,1,1,1,2,2,6,4,2,2019,Talcahuano,SAPU,SAPU Bellavista
COVID 19 Sospechoso (U072),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,2019,Talcahuano,SAPU,SAPU Bellavista
COVID 19 Confirmado (U071),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,2019,Talcahuano,SAPU,SAPU Bellavista
TOTAL CAUSAS SISTEMA CIRCULATORIO,139,2,2,2,4,4,3,5,1,4,6,3,3,3,3,0,5,9,2,4,1,2,2,1,1,1,1,3,3,1,1,2,3,2,3,2,4,3,9,2,3,4,3,0,3,2,2,1,3,3,2,1,0,2019,Talcahuano,SAPU,SAPU Bellavista
Infarto agudo miocardio,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
Accidente vascular encefálico,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
Crisis hipertensiva,15,2,2,0,1,1,1,2,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
Arritmia grave,16,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
Otras causas circulatorias,99,0,0,1,3,2,2,3,1,4,6,2,2,2,1,0,3,2,2,4,0,1,2,1,0,1,1,2,1,0,0,2,2,2,3,1,4,3,8,2,3,4,3,0,3,1,1,1,3,2,1,1,0,2019,Talcahuano,SAPU,SAPU Bellavista
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,341,5,14,7,14,14,16,16,13,4,11,5,6,1,5,6,5,5,5,6,6,3,3,12,14,2,6,7,5,6,4,6,8,10,9,11,6,4,8,6,5,2,1,3,4,3,5,5,3,6,1,5,4,2019,Talcahuano,SAPU,SAPU Bellavista
Accidentes del tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
Otras causas externas,341,5,14,7,14,14,16,16,13,4,11,5,6,1,5,6,5,5,5,6,6,3,3,12,14,2,6,7,5,6,4,6,8,10,9,11,6,4,8,6,5,2,1,3,4,3,5,5,3,6,1,5,4,2019,Talcahuano,SAPU,SAPU Bellavista
DIARREA AGUDA (A00-A09),1983,32,42,49,45,34,41,81,68,48,46,52,35,48,42,69,86,49,42,34,30,28,32,14,34,16,32,18,11,6,15,42,27,31,62,58,54,62,38,59,48,22,34,26,27,37,22,35,24,13,19,31,33,2019,Talcahuano,SAPU,SAPU Bellavista
TOTAL DEMÁS CAUSAS,10571,181,206,191,177,242,234,228,220,215,174,180,199,184,207,199,204,200,221,218,214,217,219,196,147,197,170,191,183,218,197,198,182,234,248,201,208,195,253,245,214,251,199,139,190,201,186,197,183,210,223,189,196,2019,Talcahuano,SAPU,SAPU Bellavista
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAPU,SAPU Bellavista
- SOSPECHA CORONAVIRUS (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Talcahuano,SAPU,SAPU Bellavista
